,name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
32,ancient-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-bronze-dragon,22,dragon,Gargantuan,22,444,"fly, swim",lawful good,Legendary,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0
33,ancient-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-copper-dragon,21,dragon,Gargantuan,21,350,fly,chaotic good,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0
34,ancient-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-gold-dragon,24,dragon,Gargantuan,22,546,"fly, swim",lawful good,Legendary,Monster Manual (SRD),30.0,14.0,29.0,18.0,17.0,28.0
35,ancient-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-green-dragon,22,dragon,Gargantuan,21,385,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0
36,ancient-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-red-dragon,24,dragon,Gargantuan,22,546,fly,chaotic evil,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0
37,ancient-shadow,https://www.aidedd.org/dnd/monstres.php?vo=ancient-shadow,1,undead,Medium,13,32,,chaotic evil,,Extra (AideDD),6.0,16.0,14.0,6.0,10.0,8.0
38,ancient-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-silver-dragon,23,dragon,Gargantuan,22,487,fly,lawful good,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0
39,ancient-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-white-dragon,20,dragon,Gargantuan,20,333,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),26.0,10.0,26.0,10.0,13.0,14.0
40,androsphinx,https://www.aidedd.org/dnd/monstres.php?vo=androsphinx,17,monstrosity,Large,17,199,fly,lawful neutral,Legendary,Monster Manual (SRD),22.0,10.0,20.0,16.0,18.0,23.0
41,animated-armor,https://www.aidedd.org/dnd/monstres.php?vo=animated-armor,1,construct,Medium,18,33,,unaligned,,Monster Manual (SRD),14.0,11.0,13.0,1.0,3.0,1.0
42,ankheg,https://www.aidedd.org/dnd/monstres.php?vo=ankheg,2,monstrosity,Large,14,39,,unaligned,,Monster Manual (SRD),17.0,11.0,13.0,1.0,13.0,6.0
43,ankylosaurus,https://www.aidedd.org/dnd/monstres.php?vo=ankylosaurus,3,beast,Huge,15,68,,unaligned,,Monster Manual (SRD),19.0,11.0,15.0,2.0,12.0,5.0
44,annis-hag,https://www.aidedd.org/dnd/monstres.php?vo=annis-hag,6,fey,Large,17,75,,chaotic evil,,Volo's Guide to Monsters,21.0,12.0,14.0,13.0,14.0,15.0
45,ape,https://www.aidedd.org/dnd/monstres.php?vo=ape,1/2,beast,Medium,12,19,,unaligned,,Monster Manual (SRD),16.0,14.0,14.0,6.0,12.0,7.0
46,apprentice-wizard,,1/4,humanoid (any race),Medium,10,9,,any alignment,,Volo's Guide to Monsters,,,,,,
47,arcanaloth,,12,fiend (yugoloth),Medium,17,104,fly,neutral evil,,Monster Manual,,,,,,
48,archdruid,,12,humanoid (any race),Medium,16,132,,any alignment,,Volo's Guide to Monsters,,,,,,
49,archer,,3,humanoid (any race),Medium,16,75,,any alignment,,Volo's Guide to Monsters,,,,,,
50,archmage,https://www.aidedd.org/dnd/monstres.php?vo=archmage,12,humanoid (any race),Medium,12,99,,any alignment,,Monster Manual (SRD),10.0,14.0,12.0,20.0,15.0,16.0
51,armanite,,7,fiend (demon),Large,16,84,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
52,assassin,https://www.aidedd.org/dnd/monstres.php?vo=assassin,8,humanoid (any race),Medium,15,78,,any non-good alignment,,Monster Manual (SRD),11.0,16.0,14.0,13.0,11.0,10.0
53,assassin-vine,,3,plant,Large,13,85,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
54,astral-dreadnought,https://www.aidedd.org/dnd/monstres.php?vo=astral-dreadnought,21,monstrosity (titan),Gargantuan,20,297,fly,unaligned,Legendary,Mordenkainen's Tome of Foes,28.0,7.0,25.0,5.0,14.0,18.0
55,atropal,,13,undead (titan),Huge,7,225,fly,neutral evil,,Adventures (Tomb of Annihilation),,,,,,
56,aurochs,https://www.aidedd.org/dnd/monstres.php?vo=aurochs,2,beast,Large,11,38,,unaligned,,Volo's Guide to Monsters,20.0,10.0,19.0,2.0,12.0,5.0
57,autumn-eladrin,,10,fey (elf),Medium,19,127,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,
58,awakened-shrub,https://www.aidedd.org/dnd/monstres.php?vo=awakened-shrub,0,plant,Small,9,10,,unaligned,,Monster Manual (SRD),3.0,8.0,11.0,10.0,10.0,6.0
59,awakened-tree,https://www.aidedd.org/dnd/monstres.php?vo=awakened-tree,2,plant,Huge,13,59,,unaligned,,Monster Manual (SRD),19.0,6.0,15.0,10.0,10.0,7.0
60,axe-beak,https://www.aidedd.org/dnd/monstres.php?vo=axe-beak,1/4,beast,Large,11,19,,unaligned,,Monster Manual (SRD),14.0,12.0,12.0,2.0,10.0,5.0
61,azer,https://www.aidedd.org/dnd/monstres.php?vo=azer,2,elemental,Medium,17,39,,lawful neutral,,Monster Manual (SRD),17.0,12.0,15.0,12.0,13.0,10.0
62,babau,,4,fiend (demon),Medium,16,82,,chaotic evil,,Volo's Guide to Monsters,,,,,,
63,baboon,https://www.aidedd.org/dnd/monstres.php?vo=baboon,0,beast,Small,12,3,,unaligned,,Monster Manual (SRD),8.0,14.0,11.0,4.0,12.0,6.0
64,badger,https://www.aidedd.org/dnd/monstres.php?vo=badger,0,beast,Tiny,10,3,,unaligned,,Monster Manual (SRD),4.0,11.0,12.0,2.0,12.0,5.0
65,bael,,19,fiend (devil),Large,18,189,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
66,balhannoth,,11,aberration,Large,17,114,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
67,balor,https://www.aidedd.org/dnd/monstres.php?vo=balor,19,fiend (demon),Huge,19,262,fly,chaotic evil,,Monster Manual (SRD),26.0,15.0,22.0,20.0,16.0,22.0
68,banderhobb,,5,monstrosity,Large,15,84,,neutral evil,,Volo's Guide to Monsters,,,,,,
69,bandit,https://www.aidedd.org/dnd/monstres.php?vo=bandit,1/8,humanoid (any race),Medium,12,11,,any non-lawful alignment,,Monster Manual (SRD),11.0,12.0,12.0,10.0,10.0,10.0
70,bandit-captain,https://www.aidedd.org/dnd/monstres.php?vo=bandit-captain,2,humanoid (any race),Medium,15,65,,any non-lawful alignment,,Monster Manual (SRD),15.0,16.0,14.0,14.0,11.0,14.0
71,banshee,https://www.aidedd.org/dnd/monstres.php?vo=banshee,4,undead,Medium,12,58,fly,chaotic evil,,Monster Manual (SRD),1.0,14.0,10.0,12.0,11.0,17.0
72,baphomet,,23,fiend (demon),Huge,22,275,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
73,barbed-devil,https://www.aidedd.org/dnd/monstres.php?vo=barbed-devil,5,fiend (devil),Medium,15,110,,lawful evil,,Monster Manual (SRD),16.0,17.0,18.0,12.0,14.0,14.0
74,bard,,2,humanoid (any race),Medium,15,44,,any alignment,,Volo's Guide to Monsters,,,,,,
75,barghest,https://www.aidedd.org/dnd/monstres.php?vo=barghest,4,fiend (shapechanger),Large,17,90,,neutral evil,,Volo's Guide to Monsters,19.0,15.0,14.0,13.0,12.0,14.0
76,barlgura,https://www.aidedd.org/dnd/monstres.php?vo=barlgura,5,fiend (demon),Large,15,68,,chaotic evil,,Monster Manual (BR),18.0,15.0,16.0,7.0,14.0,9.0
77,basilisk,https://www.aidedd.org/dnd/monstres.php?vo=basilisk,3,monstrosity,Medium,15,52,,unaligned,,Monster Manual (SRD),16.0,8.0,15.0,2.0,8.0,7.0
78,bat,https://www.aidedd.org/dnd/monstres.php?vo=bat,0,beast,Tiny,12,1,fly,unaligned,,Monster Manual (SRD),2.0,15.0,8.0,2.0,12.0,4.0
79,bearded-devil,https://www.aidedd.org/dnd/monstres.php?vo=bearded-devil,3,fiend (devil),Medium,13,52,,lawful evil,,Monster Manual (SRD),16.0,15.0,15.0,9.0,11.0,11.0
80,behir,https://www.aidedd.org/dnd/monstres.php?vo=behir,11,monstrosity,Huge,17,168,,neutral evil,,Monster Manual (SRD),23.0,16.0,18.0,7.0,14.0,12.0
81,beholder,,13,aberration,Large,18,180,fly,lawful evil,Legendary,Monster Manual,,,,,,
82,beholder-zombie,,5,undead,Large,15,93,fly,neutral evil,,Monster Manual,,,,,,
83,belaphoss,https://www.aidedd.org/dnd/monstres.php?vo=belaphoss,20,fiend (demon),Huge,19,262,fly,chaotic evil,,Extra (Dragon Mag),26.0,15.0,22.0,20.0,16.0,22.0
84,berbalang,,2,aberration,Medium,14,38,fly,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
85,berserker,https://www.aidedd.org/dnd/monstres.php?vo=berserker,2,humanoid (any race),Medium,13,67,,any chaotic alignment,,Monster Manual (SRD),16.0,12.0,17.0,9.0,11.0,9.0
86,bheur-hag,,7,fey,Medium,17,91,,chaotic evil,,Volo's Guide to Monsters,,,,,,
87,black-abishai,,7,fiend (devil),Medium,15,58,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
88,black-bear,https://www.aidedd.org/dnd/monstres.php?vo=black-bear,1/2,beast,Medium,11,19,,unaligned,,Monster Manual (SRD),15.0,10.0,14.0,2.0,12.0,7.0
89,black-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=black-dragon-wyrmling,2,dragon,Medium,17,33,"fly, swim",chaotic evil,,Monster Manual (SRD),15.0,14.0,13.0,10.0,11.0,13.0
90,black-gauntlet-of-bane,,6,humanoid (human),Medium,16,51,,lawful evil,,Adventures (Descent into Avernus),,,,,,
91,black-pudding,https://www.aidedd.org/dnd/monstres.php?vo=black-pudding,4,ooze,Large,7,85,,unaligned,,Monster Manual (SRD),16.0,5.0,16.0,1.0,6.0,1.0
92,blackguard,,8,humanoid (any race),Medium,18,153,,any non-good alignment,,Volo's Guide to Monsters,,,,,,
93,blink-dog,https://www.aidedd.org/dnd/monstres.php?vo=blink-dog,1/4,fey,Medium,13,22,,lawful good,,Monster Manual (SRD),12.0,17.0,12.0,10.0,13.0,11.0
94,blood-hawk,https://www.aidedd.org/dnd/monstres.php?vo=blood-hawk,1/8,beast,Small,12,7,fly,unaligned,,Monster Manual (SRD),6.0,14.0,10.0,3.0,14.0,5.0
95,blue-abishai,,17,fiend (devil),Medium,19,195,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
96,blue-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=blue-dragon-wyrmling,3,dragon,Medium,17,52,fly,lawful evil,,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0
97,blue-slaad,,7,aberration,Large,15,123,,chaotic neutral,,Monster Manual,,,,,,
98,boar,https://www.aidedd.org/dnd/monstres.php?vo=boar,1/4,beast,Medium,11,11,,unaligned,,Monster Manual (SRD),13.0,11.0,12.0,2.0,9.0,5.0
99,bodak,,6,undead,Medium,15,58,,chaotic evil,,Volo's Guide to Monsters,,,,,,
100,boggle,,1/8,fey,Small,14,18,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
101,bone-devil,https://www.aidedd.org/dnd/monstres.php?vo=bone-devil,9,fiend (devil),Large,19,142,fly,lawful evil,,Monster Manual (SRD),18.0,16.0,18.0,13.0,14.0,16.0
102,bone-naga,,4,undead,Large,15,58,,lawful evil,,Monster Manual,,,,,,
103,boneclaw,,12,undead,Large,16,127,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
104,brass-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=brass-dragon-wyrmling,1,dragon,Medium,16,16,fly,chaotic good,,Monster Manual (SRD),15.0,10.0,13.0,10.0,11.0,13.0
105,brontosaurus,,5,beast,Gargantuan,15,121,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
106,bronze-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=bronze-dragon-wyrmling,2,dragon,Medium,17,32,"fly, swim",lawful good,,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0
107,brown-bear,https://www.aidedd.org/dnd/monstres.php?vo=brown-bear,1,beast,Large,11,34,,unaligned,,Monster Manual (SRD),19.0,10.0,16.0,2.0,13.0,7.0
108,bugbear,https://www.aidedd.org/dnd/monstres.php?vo=bugbear,1,humanoid (goblinoid),Medium,16,27,,chaotic evil,,Monster Manual (SRD),15.0,14.0,13.0,8.0,11.0,9.0
109,bugbear-chief,,3,humanoid (goblinoid),Medium,17,65,,chaotic evil,,Monster Manual,,,,,,
110,bulette,https://www.aidedd.org/dnd/monstres.php?vo=bulette,5,monstrosity,Large,17,94,,unaligned,,Monster Manual (SRD),19.0,11.0,21.0,2.0,10.0,5.0
111,bulezau,,3,fiend (demon),Medium,14,52,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
112,bullywug,https://www.aidedd.org/dnd/monstres.php?vo=bullywug,1/4,humanoid (bullywug),Medium,15,11,swim,neutral evil,,Monster Manual (BR),12.0,12.0,13.0,7.0,10.0,7.0
113,cadaver-collector,,14,construct,Large,17,189,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
114,cambion,,5,fiend,Medium,19,82,fly,any evil alignment,,Monster Manual,,,,,,
115,camel,https://www.aidedd.org/dnd/monstres.php?vo=camel,1/8,beast,Large,9,15,,unaligned,,Monster Manual (SRD),16.0,8.0,14.0,2.0,8.0,5.0
116,canoloth,,8,fiend (yugoloth),Medium,16,120,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
117,carrion-crawler,,2,monstrosity,Large,13,51,,unaligned,,Monster Manual,,,,,,
118,cat,https://www.aidedd.org/dnd/monstres.php?vo=cat,0,beast,Tiny,12,2,,unaligned,,Monster Manual (SRD),3.0,15.0,10.0,3.0,12.0,7.0
119,catoblepas,,5,monstrosity,Large,14,84,,unaligned,,Volo's Guide to Monsters,,,,,,
120,cave-fisher,,3,monstrosity,Medium,16,58,,unaligned,,Volo's Guide to Monsters,,,,,,
121,centaur,https://www.aidedd.org/dnd/monstres.php?vo=centaur,2,monstrosity,Large,12,45,,neutral good,,Monster Manual (SRD),18.0,14.0,14.0,9.0,13.0,11.0
122,chain-devil,https://www.aidedd.org/dnd/monstres.php?vo=chain-devil,8,fiend (devil),Medium,16,85,,lawful evil,,Monster Manual (SRD),18.0,15.0,18.0,11.0,12.0,14.0
123,champion,,9,humanoid (any race),Medium,18,143,,any alignment,,Volo's Guide to Monsters,,,,,,
124,chasme,,6,fiend (demon),Large,15,84,fly,chaotic evil,,Monster Manual,,,,,,
125,chimera,https://www.aidedd.org/dnd/monstres.php?vo=chimera,6,monstrosity,Large,14,114,fly,chaotic evil,,Monster Manual (SRD),19.0,11.0,19.0,3.0,14.0,10.0
126,chitine,,1/2,monstrosity,Small,14,18,,chaotic evil,,Volo's Guide to Monsters,,,,,,
127,choker,,1,aberration,Small,16,13,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
128,choldrith,,3,monstrosity,Medium,15,66,,chaotic evil,,Volo's Guide to Monsters,,,,,,
129,chuul,https://www.aidedd.org/dnd/monstres.php?vo=chuul,4,aberration,Large,16,93,swim,chaotic evil,,Monster Manual (SRD),19.0,10.0,16.0,5.0,11.0,5.0
130,clay-golem,https://www.aidedd.org/dnd/monstres.php?vo=clay-golem,9,construct,Large,14,133,,unaligned,,Monster Manual (SRD),20.0,9.0,18.0,3.0,8.0,1.0
131,cloaker,https://www.aidedd.org/dnd/monstres.php?vo=cloaker,8,aberration,Large,14,78,fly,chaotic neutral,,Monster Manual (SRD),17.0,15.0,12.0,13.0,12.0,14.0
132,cloud-giant,https://www.aidedd.org/dnd/monstres.php?vo=cloud-giant,9,giant,Huge,14,200,,neutral good ,,Monster Manual (SRD),27.0,10.0,22.0,12.0,16.0,16.0
133,cloud-giant-smiling-one,,11,giant (cloud giant),Huge,15,262,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
134,cockatrice,https://www.aidedd.org/dnd/monstres.php?vo=cockatrice,1/2,monstrosity,Small,11,27,fly,unaligned,,Monster Manual (SRD),6.0,12.0,12.0,2.0,13.0,5.0
135,commoner,https://www.aidedd.org/dnd/monstres.php?vo=commoner,0,humanoid (any race),Medium,10,4,,any alignment,,Monster Manual (SRD),10.0,10.0,10.0,10.0,10.0,10.0
136,conjurer,,6,humanoid (any race),Medium,12,40,,any alignment,,Volo's Guide to Monsters,,,,,,
137,constrictor-snake,https://www.aidedd.org/dnd/monstres.php?vo=constrictor-snake,1/4,beast,Large,12,13,swim,unaligned,,Monster Manual (SRD),15.0,14.0,12.0,1.0,10.0,3.0
138,copper-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=copper-dragon-wyrmling,1,dragon,Medium,16,22,fly,chaotic good,,Monster Manual (SRD),15.0,12.0,13.0,14.0,11.0,13.0
139,corpse-flower,,8,plant,Large,12,127,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
140,couatl,https://www.aidedd.org/dnd/monstres.php?vo=couatl,4,celestial,Medium,19,97,fly,lawful good,,Monster Manual (SRD),16.0,20.0,17.0,18.0,20.0,18.0
141,cow,https://www.aidedd.org/dnd/monstres.php?vo=cow,1/4,beast,Large,10,15,,unaligned,,Volo's Guide to Monsters,18.0,10.0,14.0,2.0,10.0,4.0
142,crab,https://www.aidedd.org/dnd/monstres.php?vo=crab,0,beast,Tiny,11,2,swim,unaligned,,Monster Manual (SRD),2.0,11.0,10.0,1.0,8.0,2.0
143,crag-cat,,1,beast,Large,13,34,,unaligned,,Adventures (Storm King's Thunder),,,,,,
144,cranium-rat,,0,beast,Tiny,12,2,,lawful evil,,Volo's Guide to Monsters,,,,,,
145,crawling-claw,https://www.aidedd.org/dnd/monstres.php?vo=crawling-claw,0,undead,Tiny,12,2,,neutral evil,,Monster Manual (BR),13.0,14.0,11.0,5.0,10.0,4.0
146,crocodile,https://www.aidedd.org/dnd/monstres.php?vo=crocodile,1/2,beast,Large,12,19,swim,unaligned,,Monster Manual (SRD),15.0,10.0,13.0,2.0,10.0,5.0
147,crokek-toeck,,14,fiend (demon),Gargantuan,15,297,swim,chaotic evil,,Adventures (Descent into Avernus),,,,,,
148,cult-fanatic,https://www.aidedd.org/dnd/monstres.php?vo=cult-fanatic,2,humanoid (any race),Medium,13,33,,any non-good alignment,,Monster Manual (SRD),11.0,14.0,12.0,10.0,13.0,14.0
149,cultist,https://www.aidedd.org/dnd/monstres.php?vo=cultist,1/8,humanoid (any race),Medium,12,9,,any non-good alignment,,Monster Manual (SRD),11.0,12.0,10.0,10.0,11.0,10.0
150,cyclops,https://www.aidedd.org/dnd/monstres.php?vo=cyclops,6,giant,Huge,14,138,,chaotic neutral,,Monster Manual (SRD),22.0,11.0,20.0,8.0,6.0,10.0
151,dao,https://www.aidedd.org/dnd/monstres.php?vo=dao,11,elemental,Large,18,187,fly,neutral evil,,Monster Manual (BR),23.0,12.0,24.0,12.0,13.0,14.0
152,darkling,,1/2,fey,Small,14,13,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
153,darkling-elder,,2,fey,Medium,15,27,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
154,darkmantle,https://www.aidedd.org/dnd/monstres.php?vo=darkmantle,1/2,monstrosity,Small,11,22,fly,unaligned,,Monster Manual (SRD),16.0,12.0,13.0,2.0,10.0,5.0
155,death-dog,https://www.aidedd.org/dnd/monstres.php?vo=death-dog,1,monstrosity,Medium,12,39,,neutral evil,,Monster Manual (SRD),15.0,14.0,14.0,3.0,13.0,6.0
156,death-kiss,,10,aberration,Large,16,161,fly,neutral evil,,Volo's Guide to Monsters,,,,,,
157,death-knight,,17,undead,Medium,20,180,,chaotic evil,,Monster Manual,,,,,,
158,death-slaad,,10,aberration (shapechanger),Medium,18,170,,chaotic evil,,Monster Manual,,,,,,
159,death-tyrant,,14,undead,Large,19,187,fly,lawful evil,Legendary,Monster Manual,,,,,,
160,death-s-head-of-bhaal,,5,humanoid (human),Medium,15,76,,chaotic evil,,Adventures (Descent into Avernus),,,,,,
161,deathlock,,4,undead,Medium,12,36,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
162,deathlock-mastermind,,8,undead,Medium,13,110,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
163,deathlock-wight,,3,undead,Medium,12,37,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
164,deep-gnome-svirfneblin,https://www.aidedd.org/dnd/monstres.php?vo=deep-gnome-svirfneblin,1/2,humanoid (gnome),Small,15,16,,neutral good,,Monster Manual (SRD),15.0,14.0,14.0,12.0,10.0,9.0
165,deep-scion,,3,humanoid (shapechanger),Medium,11,67,swim,neutral evil,,Volo's Guide to Monsters,,,,,,
166,deer,https://www.aidedd.org/dnd/monstres.php?vo=deer,0,beast,Medium,13,4,,unaligned,,Monster Manual (SRD),11.0,16.0,11.0,2.0,14.0,5.0
167,deinonychus,,1,beast,Medium,13,26,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
168,demilich,,18,undead,Tiny,20,80,fly,neutral evil,Legendary,Monster Manual,,,,,,
169,demogorgon,,26,fiend (demon),Huge,22,406,swim,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
170,derro,,1/4,humanoid (derro),Small,13,13,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
171,derro-savant,,3,humanoid (derro),Small,13,36,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
172,deva,https://www.aidedd.org/dnd/monstres.php?vo=deva,10,celestial,Medium,17,136,fly,lawful good,,Monster Manual (SRD),18.0,18.0,18.0,17.0,20.0,20.0
173,devilroot,https://www.aidedd.org/dnd/monstres.php?vo=devilroot,7,plant,Medium,15,105,,neutral evil,,Extra (AideDD),17.0,11.0,17.0,12.0,14.0,14.0
174,devourer,,13,fiend,Large,16,178,,chaotic evil,,Volo's Guide to Monsters,,,,,,
175,dhergoloth,,7,fiend (yugoloth),Medium,15,119,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
