,name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden,name_missing,isNamedCreature_missing,isNpc_missing,ac_missing,hp/average_missing,hp/formula_missing,alignment_missing,type_missing,swarm_missing,size_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing,save/cha_missing,save/int_missing,save/wis_missing,save/con_missing,save/dex_missing,save/str_missing,skill/arcana_missing,skill/history_missing,skill/insight_missing,skill/perception_missing,skill/performance_missing,skill/stealth_missing,skill/investigation_missing,skill/acrobatics_missing,skill/animal handling_missing,skill/athletics_missing,skill/deception_missing,skill/intimidation_missing,skill/medicine_missing,skill/nature_missing,skill/persuasion_missing,skill/religion_missing,skill/sleight of hand_missing,skill/survival_missing,initiative/advantageMode_missing,passive_missing,senseTags_missing,speed/walk_missing,speed/burrow_missing,speed/climb_missing,speed/fly_missing,speed/swim_missing,conditionInflict_missing,damageTags_missing,savingThrowForced_missing,legendaryActions_missing,legendary_missing,vulnerable_missing,languages_missing,languageTags_missing,environment_missing,miscTags_missing,source_missing,summonedBySpell_missing,summonedBySpellLevel_missing,variant_missing,reprinted_missing,sidekickHidden_missing
10,Regisaur,0,0,17,17,181,11d20 + 66,U,monstrosity,dinosaur,,G,27,8,23,4,12,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,,40,,-1,,-1,,-1,,-1,True,"[""Magic Resistance""]",,,,,,True,"[""Multiattack""]",True,False,,"A, B, P","[""constitution""]",-1,0,,,,False,,,,,,,,,"MW, RCH",BGG,False,"[""Dinosaurs""]",,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1
11,Flesh Colossus,0,0,23,14,280,16d20 + 112,U,construct,,,G,24,9,24,6,10,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,SD,60,,-1,,-1,,-1,,-1,True,"[""Immutable Form"",""Magic Resistance"",""Siege Monster""]",,,,,,True,"[""Breath Weapon"",""Multiattack""]",True,False,,"B, O","[""dexterity""]",-1,0,,,,False,,,"[""lightning"",""poison"",""psychic"",{""cond"":true,""immune"":[""bludgeoning"",""piercing"",""slashing""],""note"":""from nonmagical attacks""}]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]","[""understands Giant but can't speak""]","CS,GI",,,"AOE, MW, RCH",BGG,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
12,Vlazok,0,1,14,17,136,16d10 + 48,C E,fiend,demon,,L,21,18,16,6,9,9,-1,-1,-1,7,-1,9,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,SD,30,,-1,,30,,-1,,-1,True,"[""Magic Resistance"",""Spider Climb""]",,,,,,True,"[""Multiattack""]",True,False,,"B, P",,-1,0,,,,False,"[""cold"",""fire"",""lightning""]",,"[""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""Abyssal"",""telepathy 120 ft.""]","AB,TP",,,MW,VEoR,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
13,Tree Blight,0,1,10,15,92,8d12 + 40,N E,plant,,,H,23,10,20,6,10,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,B,30,,-1,,-1,,-1,,-1,True,"[""False Appearance"",""Siege Monster""]",,,,,,True,"[""Multiattack""]",True,False,"[""grappled""]","B, P,S",,-1,0,,,,False,,,,"[""blinded"",""deafened""]","[""understands Common and Druidic but doesn't speak""]","C,DU",,,"MW, RCH",CoS,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1
14,"Strahd, Master of Death House",0,0,18,16,136,16d8 + 64,L E,undead,"vampire, wizard",,M,18,18,18,20,15,18,9,-1,7,-1,9,-1,15,-1,-1,12,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,0,22,SD,30,,-1,,-1,,-1,,-1,True,"[""Legendary Resistances"",""Regeneration"",""Spider Climb"",""Sunlight Sensitivity""]",Int,,O,"[""invisible""]","[""strength"",""wisdom""]",True,"[""Multiattack"",""Shapechanger""]",True,False,"[""charmed""]","A, F,N,P,R,S","[""dexterity"",""wisdom""]",-1,1,,,,False,"[""necrotic"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,,"[""Abyssal"",""Common"",""Draconic"",""Elvish"",""Giant"",""Infernal""]","AB,C,DR,E,GI,I",,,"AOE, HPR, MW",VEoR,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
15,Slithering Bloodfin,0,1,12,16,93,11d10 + 33,U,aberration,,,L,20,14,16,2,10,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,B,5,,-1,,-1,,-1,,50,True,"[""Death Burst"",""Water Breathing""]",,,,,,True,"[""Multiattack""]",True,False,"[""grappled"",""restrained""]","B, I,N,P","[""constitution""]",-1,0,,,,False,,,"[""poison""]","[""poisoned""]",,,,,"AOE, MW, RCH",CRCotN,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1
16,Gem Stalker,0,0,8,17,67,9d10 + 18,N,monstrosity,,,L,17,15,14,15,10,6,-1,5,-1,-1,5,-1,-1,-1,-1,3,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,SD,40,,-1,,40,,-1,,-1,True,"[""Spider Climb"",""Unusual Nature""]",,,,,,True,"[""Multiattack""]",True,True,"[""poisoned"",""prone""]","O,S","[""constitution"",""strength""]",-1,0,,,,False,"[""psychic""]",,,,"[""telepathy 60 ft. understands Draconic but can't speak""]","CS,DR,TP",,,MW,FTD,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
17,Troll Amalgam,0,0,20,15,217,14d20 + 70,C E,giant,,,G,25,14,21,9,16,5,-1,-1,9,11,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,19,SD,60,,-1,,60,,-1,,-1,True,"[""Legendary Resistances"",""Magic Resistance"",""Regeneration""]",,,,,,True,"[""Multiattack""]",True,False,,"B, S",,-1,0,,,,False,"[""poison"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""frightened"",""poisoned""]","[""Giant"",""Undercommon""]","GI,U",,,"MW, RCH, RW",BGG,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
18,Volguloth,0,0,7,14,78,12d8 + 24,N E,fiend,,,M,16,15,14,12,13,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,"B, D",30,,-1,,30,,-1,,-1,True,"[""Magic Resistance""]",,,,,,True,"[""Multiattack""]",True,False,"[""blinded"",""grappled"",""restrained""]","B, I,S","[""strength""]",-1,0,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""acid"",""poison""]","[""poisoned""]","[""Abyssal"",""Infernal"",""telepathy 60 ft.""]","AB,I,TP",,"any, planar",MW,ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
19,Brother Adramalech,0,0,24,19,212,25d8 + 100,L E,fiend,devil,,M,14,16,18,25,25,25,14,14,14,-1,-1,-1,14,-1,14,-1,-1,-1,-1,-1,-1,-1,21,14,-1,-1,21,14,-1,-1,0,17,SD,30,,-1,,-1,,-1,,-1,True,"[""Devil's Sight"",""Magic Resistance""]",,,,,,True,"[""Multiattack""]",True,False,"[""exhaustion""]",Y,"[""intelligence"",""wisdom""]",-1,1,,,,False,"[""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""charmed"",""poisoned""]","[""Celestial"",""Common"",""Draconic"",""Infernal"",""telepathy 120 ft.""]","C,CE,DR,I,TP",,,"AOE, MW, RW",CoA,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
20,Aeshma,0,0,5,15,45,7d8 + 14,C N,humanoid,tiefling,,M,10,16,14,14,14,16,5,-1,-1,-1,5,-1,-1,-1,4,-1,7,5,-1,-1,-1,-1,7,-1,-1,-1,7,-1,7,-1,0,12,,30,,-1,,-1,,-1,,-1,False,,,,,,,True,"[""Multiattack""]",True,False,,P,,-1,0,,,,False,,,,,"[""Common"",""Infernal""]","C,I","hand crossbow, shortsword",,"MLW,MW, RW",CoA,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
21,Zaratan,0,0,25,21,307,15d20 + 150,N,elemental,,,G,30,10,30,2,21,18,11,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,15,"D, T",40,,-1,,-1,,-1,,40,True,"[""Legendary Resistances"",""Siege Monster""]",,,,,,True,"[""Multiattack""]",True,False,"[""prone"",""restrained""]","B, O,T","[""constitution"",""dexterity""]",-1,1,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""exhaustion"",""paralyzed"",""petrified"",""poisoned"",""stunned""]",,,,"desert, forest, grassland, hill, mountain, underdark","AOE, MW, RCH, RW",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1
22,Gnoll Hunter,0,0,2,13,22,4d8 + 4,C E,monstrosity,,,M,14,14,12,8,12,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,D,30,,-1,,-1,,-1,,-1,False,,,,,,,True,"[""Multiattack""]",True,False,,P,,-1,0,,,,False,,,,,gnoll,OTH,"longbow, spear","arctic, forest, grassland, hill","MLW,MW, RNG, RW, THW",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
23,Gnoll Flesh Gnawer,0,0,4,14,22,4d8 + 4,C E,monstrosity,,,M,12,14,12,8,10,8,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,D,30,,-1,,-1,,-1,,-1,False,,,,,,,True,"[""Multiattack""]",True,False,,P,,-1,0,,,,False,,,,,gnoll,OTH,shortsword,"arctic, forest, grassland, hill","MLW,MW",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
24,Gnoll Witherling,0,0,1,12,11,2d8 + 2,C E,undead,,,M,14,8,12,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,D,30,,-1,,-1,,-1,,-1,True,"[""Unusual Nature""]",,,,,,True,"[""Multiattack""]",True,True,,"N,P",,-1,0,,,,False,,,"[""poison""]","[""exhaustion"",""poisoned""]","[""understands Gnoll but can't speak""]","CS,OTH",,"arctic, forest, grassland, hill","MLW,MW",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
25,Agdon Longscarf,0,0,5,19,36,8d8,C E,fey,harengon,,M,11,20,11,11,14,16,-1,-1,4,-1,7,-1,-1,-1,-1,6,-1,7,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,0,16,,35,,-1,,-1,,-1,,-1,True,,,,,,,True,"[""Multiattack""]",True,True,,"F,P",,-1,0,,,,False,,,,,"[""Common"",""Sylvan""]","C,S",dagger,,"CUR, MLW,MW, RW, THW",WBtW,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
