name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden
Flesh Colossus,,,20,14,280,16d20 + 112,U,construct,,,G,24,9,24,6,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,10,SD,60,,,,,,,,,TRUE,"[""Immutable Form"",""Magic Resistance"",""Siege Monster""]",,,,,,TRUE,"[""Breath Weapon"",""Multiattack""]",TRUE,FALSE,,"B, O","[""dexterity""]",,FALSE,,,,FALSE,,,"[""lightning"",""poison"",""psychic"",{""cond"":true,""immune"":[""bludgeoning"",""piercing"",""slashing""],""note"":""from nonmagical attacks""}]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]","[""understands Giant but can't speak""]","CS,GI",,,"AOE, MW, RCH",BGG,FALSE,,,,,,,
Vlazok,FALSE,FALSE,11,17,136,16d10 + 48,C E,fiend,demon,,L,21,18,16,6,9,9,,,,7,,9,,,,3,,,,,,,,,,,,,,,,13,SD,30,,,,30,,,,,TRUE,"[""Magic Resistance"",""Spider Climb""]",,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,,"B, P",,,FALSE,,,,FALSE,"[""cold"",""fire"",""lightning""]",,"[""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""Abyssal"",""telepathy 120 ft.""]","AB,TP",,,MW,VEoR,FALSE,,,,,,,
Tree Blight,FALSE,FALSE,7,15,92,8d12 + 40,N E,plant,,,H,23,10,20,6,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,10,B,30,,,,,,,,,TRUE,"[""False Appearance"",""Siege Monster""]",,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,"[""grappled""]","B, P,S",,,FALSE,,,,FALSE,,,,"[""blinded"",""deafened""]","[""understands Common and Druidic but doesn't speak""]","C,DU",,,"MW, RCH",CoS,FALSE,,,,,,TRUE,
"Strahd, Master of Death House",TRUE,TRUE,15,16,136,16d8 + 64,L E,undead,"vampire, wizard",,M,18,18,18,20,15,18,9,,7,,9,,15,,,12,,14,,,,,,,,,,10,,,,22,SD,30,,,,,,,,,TRUE,"[""Legendary Resistances"",""Regeneration"",""Spider Climb"",""Sunlight Sensitivity""]",Int,,O,"[""invisible""]","[""strength"",""wisdom""]",TRUE,"[""Multiattack"",""Shapechanger""]",TRUE,FALSE,"[""charmed""]","A, F,N,P,R,S","[""dexterity"",""wisdom""]",,TRUE,,,,FALSE,"[""necrotic"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,,"[""Abyssal"",""Common"",""Draconic"",""Elvish"",""Giant"",""Infernal""]","AB,C,DR,E,GI,I",,,"AOE, HPR, MW",VEoR,FALSE,,,,,,,
Slithering Bloodfin,FALSE,FALSE,9,16,93,11d10 + 33,U,aberration,,,L,20,14,16,2,10,3,,,,,,,,,,4,,,,,,,,,,,,,,,,14,B,5,,,,,,,,50,TRUE,"[""Death Burst"",""Water Breathing""]",,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,"[""grappled"",""restrained""]","B, I,N,P","[""constitution""]",,FALSE,,,,FALSE,,,"[""poison""]","[""poisoned""]",,,,,"AOE, MW, RCH",CRCotN,FALSE,,,,,,,
Gem Stalker,,,5,17,67,9d10 + 18,N,monstrosity,,,L,17,15,14,15,10,6,,5,,,5,,,,,3,,5,,,,,,,,,,,,,,13,SD,40,,,,40,,,,,TRUE,"[""Spider Climb"",""Unusual Nature""]",,,,,,TRUE,"[""Multiattack""]",TRUE,TRUE,"[""poisoned"",""prone""]","O,S","[""constitution"",""strength""]",,FALSE,,,,FALSE,"[""psychic""]",,,,"[""telepathy 60 ft. understands Draconic but can't speak""]","CS,DR,TP",,,MW,FTD,FALSE,,,,,,,
Troll Amalgam,,,17,15,217,14d20 + 70,C E,giant,,,G,25,14,21,9,16,5,,,9,11,,,,,,9,,,,,,,,,,,,,,,,19,SD,60,,,,60,,,,,TRUE,"[""Legendary Resistances"",""Magic Resistance"",""Regeneration""]",,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,,"B, S",,,FALSE,,,,FALSE,"[""poison"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""frightened"",""poisoned""]","[""Giant"",""Undercommon""]","GI,U",,,"MW, RCH, RW",BGG,FALSE,,,,,,,
Volguloth,FALSE,,4,14,78,12d8 + 24,N E,fiend,,,M,16,15,14,12,13,11,,,,,,,,,,3,,6,,,,,,,,,,,,,,13,"B, D",30,,,,30,,,,,TRUE,"[""Magic Resistance""]",,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,"[""blinded"",""grappled"",""restrained""]","B, I,S","[""strength""]",,FALSE,,,,FALSE,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""acid"",""poison""]","[""poisoned""]","[""Abyssal"",""Infernal"",""telepathy 60 ft.""]","AB,I,TP",,"any, planar",MW,ToB1-2023,FALSE,,,,,,,
Brother Adramalech,TRUE,TRUE,21,19,212,25d8 + 100,L E,fiend,devil,,M,14,16,18,25,25,25,14,14,14,,,,14,,14,,,,,,,,21,14,,,21,14,,,,17,SD,30,,,,,,,,,TRUE,"[""Devil's Sight"",""Magic Resistance""]",,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,"[""exhaustion""]",Y,"[""intelligence"",""wisdom""]",,TRUE,,,,FALSE,"[""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""charmed"",""poisoned""]","[""Celestial"",""Common"",""Draconic"",""Infernal"",""telepathy 120 ft.""]","C,CE,DR,I,TP",,,"AOE, MW, RW",CoA,FALSE,,,,,,,
Aeshma,TRUE,TRUE,2,15,45,7d8 + 14,C N,humanoid,tiefling,,M,10,16,14,14,14,16,5,,,,5,,,,4,,7,5,,,,,7,,,,7,,7,,,12,,30,,,,,,,,,FALSE,,,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Common"",""Infernal""]","C,I","hand crossbow, shortsword",,"MLW,MW, RW",CoA,FALSE,,,,,,,
Zaratan,FALSE,,22,21,307,15d20 + 150,N,elemental,,,G,30,10,30,2,21,18,11,,12,,,,,,,,,,,,,,,,,,,,,,,15,"D, T",40,,,,,,,,40,TRUE,"[""Legendary Resistances"",""Siege Monster""]",,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,"[""prone"",""restrained""]","B, O,T","[""constitution"",""dexterity""]",,TRUE,,,,FALSE,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""poison""]","[""exhaustion"",""paralyzed"",""petrified"",""poisoned"",""stunned""]",,,,"desert, forest, grassland, hill, mountain, underdark","AOE, MW, RCH, RW",MPMM,FALSE,,,,,,,
Gnoll Hunter,FALSE,,2-Jan,13,22,4d8 + 4,C E,monstrosity,,,M,14,14,12,8,12,8,,,,,,,,,,3,,4,,,,,,,,,,,,,,13,D,30,,,,,,,,,FALSE,,,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,,P,,,FALSE,,,,FALSE,,,,,gnoll,OTH,"longbow, spear","arctic, forest, grassland, hill","MLW,MW, RNG, RW, THW",MPMM,FALSE,,,,,,,
Gnoll Flesh Gnawer,FALSE,,1,14,22,4d8 + 4,C E,monstrosity,,,M,12,14,12,8,10,8,,,,,4,,,,,,,,,,,,,,,,,,,,,10,D,30,,,,,,,,,FALSE,,,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,,P,,,FALSE,,,,FALSE,,,,,gnoll,OTH,shortsword,"arctic, forest, grassland, hill","MLW,MW",MPMM,FALSE,,,,,,,
Gnoll Witherling,FALSE,,4-Jan,12,11,2d8 + 2,C E,undead,,,M,14,8,12,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,7,D,30,,,,,,,,,TRUE,"[""Unusual Nature""]",,,,,,TRUE,"[""Multiattack""]",TRUE,TRUE,,"N,P",,,FALSE,,,,FALSE,,,"[""poison""]","[""exhaustion"",""poisoned""]","[""understands Gnoll but can't speak""]","CS,OTH",,"arctic, forest, grassland, hill","MLW,MW",MPMM,FALSE,,,,,,,
Agdon Longscarf,TRUE,TRUE,2,19,36,8d8,C E,fey,harengon,,M,11,20,11,11,14,16,,,4,,7,,,,,6,,7,,7,,,,,,,,,7,,,16,,35,,,,,,,,,TRUE,,,,,,,TRUE,"[""Multiattack""]",TRUE,TRUE,,"F,P",,,FALSE,,,,FALSE,,,,,"[""Common"",""Sylvan""]","C,S",dagger,,"CUR, MLW,MW, RW, THW",WBtW,FALSE,,,,,,,
Demon Lord Akyishigal,FALSE,,12,18,138,12d10 + 72,C E,fiend,demon,,L,21,17,22,19,14,20,9,,6,10,7,9,,,,6,,7,,11,,9,,,,,,,,,,16,"SD, U",40,,20,,40,,40,,,TRUE,"[""Legendary Resistances"",""Magic Resistance""]",Cha,P,O,"[""blinded"",""poisoned"",""stunned""]","[""constitution""]",TRUE,"[""Multiattack"",""Shapechanger""]",TRUE,FALSE,"[""poisoned""]","I,P,S","[""constitution""]",,TRUE,,,,FALSE,"[""acid"",""fire"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""cold"",""lightning"",""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Draconic"",""Elvish"",""Infernal"",""telepathy 60 ft.""]","AB,C,DR,E,I,TP",,"planar, urban","AOE, MW, RCH",ToB1-2023,FALSE,,,,,,,
Alyxian the Dispossessed,TRUE,TRUE,13,15,153,18d8 + 72,L E,humanoid,Human,,M,19,15,18,13,14,20,,,7,9,,9,,,7,7,,,,,,,,,,,10,,,,,17,SD,30,,,,,,,,,TRUE,"[""Legendary Resistances""]",,,,,,TRUE,"[""Multiattack"",""Parry""]",TRUE,TRUE,"[""exhaustion"",""petrified""]","O,P,R","[""charisma"",""constitution""]",,TRUE,,"[""dexterity"",""wisdom""]",,FALSE,,,,"[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""stunned""]","[""Celestial"",""Common"",""Elvish"",""telepathy 120 ft.""]","C,CE,E,TP",spear,,"AOE, MLW,MW, RW, THW",CRCotN,FALSE,,,,,,,
Anagwendol,TRUE,TRUE,16,17,190,20d8 + 100,L G,celestial,,,M,20,18,20,18,20,22,11,9,10,,,,,,,10,,,,,,,,,,,,,,,,20,U,30,,,,,,90,,,TRUE,"[""Magic Resistance""]",,,,,,TRUE,"[""Multiattack""]",TRUE,FALSE,,"P,R,S",,,FALSE,,,,FALSE,"[""radiant"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""exhaustion"",""frightened""]","[""all"",""telepathy 120 ft.""]","TP,XX",longbow,,"MLW,MW, RW",CoA,FALSE,,,,,,,
Minsc and Boo!,TRUE,,10,13,187,22d8 + 88,N G,humanoid,Human,,M,20,12,18,10,10,10,,,,8,,9,,,,4,,,,,,9,,,,,,,,8,,14,,30,,,,,,,,,TRUE,"[""Reckless""]",,,,,,TRUE,"[""Multiattack""]",TRUE,TRUE,,S,"[""constitution""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Sylvan""]","C,S",greatsword,,"MLW,MW",MaBJoV,FALSE,,,,,,,
Asteria,TRUE,,18,18,195,26d8 + 78,C G,humanoid,"Human, paladin",,M,12,21,17,15,11,20,11,,6,9,11,,14,,,12,,,8,11,,,,,,,11,,,6,,22,,30,,,,,with item ,30,,,TRUE,"[""Legendary Resistances""]",Cha,,O,,"[""charisma"",""dexterity""]",TRUE,"[""Multiattack""]",TRUE,FALSE,,"O,R,S","[""dexterity""]",,TRUE,,,,FALSE,,,"[""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""Common"",""Druidic""]","C,DU",,,MW,BMT,FALSE,,,,,,,
Boss Augustus,FALSE,,9,13,150,20d8 + 60,N,monstrosity,,,M,18,16,17,14,15,12,,,,,7,8,,,,10,,7,,,,,,,,,,,7,,,20,,40,,,,,,,,,TRUE,"[""Regeneration""]",,,,,,TRUE,"[""Multiattack"",""Shapechanger""]",TRUE,FALSE,,"P,S","[""constitution"",""strength""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Thieves' cant (can't speak in wolf form)""]","C,CS,TC",,,"CUR, MLW,MW",BMT,FALSE,,,,,,,
Ayo Jabe (Tier 3),TRUE,TRUE,8,17,150,20d8 + 60,C G,humanoid,"ranger, genasi""",,M,16,20,16,10,16,14,,,,,8,6,,,,6,,,,,,6,,,,,,,,6,,16,,30,,,,,,,,30,TRUE,"[""Amphibious""]",Wis,,O,"[""charmed""]","[""wisdom""]",TRUE,"[""Multiattack""]",TRUE,FALSE,"[""exhaustion""]","P,Y","[""charisma""]",,FALSE,,,,FALSE,"[""acid""]",,,"[""frightened""]","[""Common"",""Goblin"",""Orc""]","C,GO,O",longbow,,"MW, RNG, RW",CRCotN,FALSE,,,,,,,
Ayo Jabe (Tier 2),TRUE,TRUE,5,15,97,15d8 + 30,C G,humanoid,"ranger, genasi""",,M,14,16,14,10,14,12,,,,,6,5,,,,5,,,,,,5,,,,,,,,5,,15,,30,,,,,,,,30,TRUE,"[""Amphibious""]",Wis,,O,"[""charmed""]","[""wisdom""]",TRUE,"[""Multiattack""]",TRUE,FALSE,,P,,,FALSE,,,,FALSE,"[""acid""]",,,,"[""Common"",""Goblin"",""Orc""]","C,GO,O",longbow,,"MW, RNG, RW",CRCotN,FALSE,,,,,,,
Baalzebul,TRUE,FALSE,26,19,540,40d12 + 280,L E,fiend,devil,,H,28,15,25,21,24,26,16,13,,15,,17,,,15,,,,,,,17,24,16,,,16,,,,,17,"SD, T",30,,,,,,60,,,TRUE,"[""Devil's Sight"",""Legendary Resistances"",""Magic Resistance"",""Regeneration""]",Cha,N,F,"[""frightened"",""incapacitated"",""paralyzed"",""stunned"",""unconscious""]","[""charisma"",""constitution"",""intelligence"",""wisdom""]",TRUE,"[""Multiattack""]",TRUE,FALSE,,"A, B, N,P","[""charisma"",""constitution""]",,TRUE,,,,FALSE,"[""acid"",""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""all"",""telepathy 120 ft.""]","TP,XX",,,"AOE, MW, RCH",CoA,FALSE,,,,,,,
Baalzebul,TRUE,,26,19,540,40d12 + 280,L E,fiend,devil,,H,28,15,25,24,24,26,16,15,,15,,17,,,15,,,,,,,17,24,16,,,16,,,,,17,"SD, T",20,,20,,20,,,,,TRUE,"[""Devil's Sight"",""Legendary Resistances"",""Magic Resistance"",""Regeneration""]",Cha,N,O,"[""frightened"",""incapacitated"",""paralyzed"",""stunned"",""unconscious""]","[""charisma"",""constitution"",""intelligence"",""wisdom""]",TRUE,"[""Multiattack""]",TRUE,FALSE,,"A, B, N,P","[""charisma"",""constitution""]",,TRUE,,,,FALSE,"[""acid"",""cold"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""all"",""telepathy 120 ft.""]","TP,XX",,,"AOE, MW, RCH",MaBJoV,FALSE,,,,,,,
Bak Mei,TRUE,TRUE,13,17,102,12d8 + 48,L E,humanoid,Human,,M,10,18,18,13,17,16,8,6,8,9,9,5,,,,,,9,,9,,5,,,8,,,6,,,,13,,40,,,,,,,,,TRUE,"[""Legendary Resistances""]",,,,,,TRUE,"[""Multiattack""]",TRUE,TRUE,"[""deafened"",""stunned""]","B, T","[""constitution""]",,TRUE,,,,FALSE,"[""poison"",""thunder""]",,,"[""charmed"",""frightened"",""paralyzed""]","[""Auran"",""Common""]","AU,C",,,MW,CM,FALSE,,,,,,,
Bavlorna Blightstraw,TRUE,TRUE,7,15,110,13d8 + 52,N E,fey,hag,,M,22,11,18,16,12,15,5,6,4,7,,,9,,,4,,3,,,,,5,,,,,,,,,14,U,30,,,,,,,,30,TRUE,"[""Amphibious""]",Int,,O,,"[""charisma"",""wisdom""]",TRUE,"[""Multiattack""]",TRUE,FALSE,"[""blinded"",""grappled"",""restrained""]","A, N,P",,,FALSE,,,,FALSE,,,,,"[""Common"",""Elvish"",""Sylvan""]","C,E,S",,,MW,WBtW,FALSE,,,,,,,
Borivik Windheim,TRUE,,10,17,195,30d8 + 60,N G,humanoid,Human,,M,11,20,14,11,16,11,,,7,,9,,,,,11,,13,,,,,,,,8,,,,11,,21,,30,,,,,,,,,TRUE,,Wis,P,O,"[""restrained""]","[""dexterity"",""strength""]",TRUE,"[""Multiattack""]",TRUE,TRUE,,P,"[""constitution""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Elvish"",""Sylvan""]","C,E,S","heavy crossbow, shortsword",,"MLW,MW, RW",MaBJoV,FALSE,,,,,,,
Alustriel Silverhand,TRUE,TRUE,21,18,272,32d8 + 128,C G,humanoid,"Human, wizard",,M,12,20,18,24,23,22,,14,13,11,,,14,14,13,,,,,,,,,,,,,14,,,,16,,30,,,,,,,,,TRUE,"[""Legendary Resistances""]",Int,,O,,"[""wisdom""]",TRUE,"[""Multiattack""]",TRUE,TRUE,"[""incapacitated""]","B, O,R","[""charisma"",""dexterity""]",,FALSE,,,,FALSE,"[""radiant""]",,"[""poison""]","[""charmed"",""exhaustion"",""poisoned""]","[""Common"",""Draconic"",""Elvish""]","C,DR,E",,,MW,VEoR,FALSE,,,,,,,
Brusipha,TRUE,,3,14,90,12d8 + 36,C E,humanoid,"minotaur, warlock",,M,18,11,16,12,16,16,5,,5,,,,,,,7,,,,,,,5,,,,,3,,,,17,D,40,,,,,,,,,TRUE,,Cha,N,O,"[""charmed"",""prone""]","[""wisdom""]",TRUE,"[""Multiattack""]",TRUE,TRUE,"[""prone""]","N,O,P","[""strength""]",,FALSE,,,,FALSE,,,,,"[""Abyssal"",""Common""]","AB,C",,,MW,BMT,FALSE,,,,,,,
Buer,TRUE,TRUE,21,21,315,30d10 + 150,L E,fiend,devil,,L,23,22,21,16,18,17,,,,14,13,15,10,,11,11,,,,,,22,,17,,,,,,11,,21,SD,25,,,,,,,,,TRUE,"[""Devil's Sight"",""Magic Resistance""]",,,,,,TRUE,"[""Multiattack""]",TRUE,TRUE,,"B, C,F,O,S","[""constitution"",""wisdom""]",,TRUE,,,,FALSE,"[""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""fire"",""poison""]","[""charmed"",""poisoned""]","[""Celestial"",""Common"",""Draconic"",""Infernal"",""telepathy 120 ft.""]","C,CE,DR,I,TP",,,"MW, RCH",CoA,FALSE,,,,,,,
