,name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha,legendary_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing
16,adult-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-red-dragon,20,dragon,Huge,19,256,fly,chaotic evil,1,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0,0,0,0,0,0,0,0
17,adult-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-silver-dragon,19,dragon,Huge,19,243,fly,lawful good,1,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0,0,0,0,0,0,0,0
18,adult-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-white-dragon,16,dragon,Huge,18,200,"fly, swim",chaotic evil,1,Monster Manual (SRD),22.0,10.0,22.0,8.0,12.0,12.0,0,0,0,0,0,0,0
19,air-elemental,https://www.aidedd.org/dnd/monstres.php?vo=air-elemental,8,elemental,Large,15,90,fly,neutral,0,Monster Manual (SRD),14.0,20.0,14.0,6.0,10.0,6.0,1,0,0,0,0,0,0
20,air-elemental-myrmidon,,10,elemental,Medium,18,117,fly,neutral,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
21,albino-dwarf-warrior,,1,humanoid (dwarf),Medium,13,30,,any alignment,0,Adventures (Tomb of Annihilation),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
22,aldani,,4,monstrosity,Medium,0,0,swim,lawful neutral,0,Adventures (Tomb of Annihilation),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
23,alhoon,,13,undead,Medium,15,120,,any evil alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
24,alkilith,,14,fiend (demon),Medium,17,157,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
25,allip,,8,undead,Medium,13,40,fly,neutral evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
26,allosaurus,https://www.aidedd.org/dnd/monstres.php?vo=allosaurus,5,beast,Large,13,51,,unaligned,0,Monster Manual (SRD),19.0,13.0,17.0,2.0,12.0,5.0,1,0,0,0,0,0,0
27,ambush-drake,,2,dragon,Medium,13,22,,unaligned,0,Adventures (Tyranny of Dragons),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
28,amnizu,,21,fiend (devil),Medium,21,202,fly,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
29,ancient-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-black-dragon,24,dragon,Gargantuan,22,367,"fly, swim",chaotic evil,1,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,19.0,0,0,0,0,0,0,0
30,ancient-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-blue-dragon,26,dragon,Gargantuan,22,481,fly,lawful evil,1,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0,0,0,0,0,0,0,0
31,ancient-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-brass-dragon,23,dragon,Gargantuan,20,297,fly,chaotic good,1,Monster Manual (SRD),27.0,10.0,25.0,16.0,15.0,19.0,0,0,0,0,0,0,0
32,ancient-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-bronze-dragon,25,dragon,Gargantuan,22,444,"fly, swim",lawful good,1,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0,0,0,0,0,0,0,0
33,ancient-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-copper-dragon,24,dragon,Gargantuan,21,350,fly,chaotic good,1,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0,0,0,0,0,0,0,0
34,ancient-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-gold-dragon,27,dragon,Gargantuan,22,546,"fly, swim",lawful good,1,Monster Manual (SRD),30.0,14.0,29.0,18.0,17.0,28.0,0,0,0,0,0,0,0
35,ancient-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-green-dragon,25,dragon,Gargantuan,21,385,"fly, swim",lawful evil,1,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0,0,0,0,0,0,0,0
36,ancient-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-red-dragon,27,dragon,Gargantuan,22,546,fly,chaotic evil,1,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0,0,0,0,0,0,0,0
37,ancient-shadow,https://www.aidedd.org/dnd/monstres.php?vo=ancient-shadow,4,undead,Medium,13,32,,chaotic evil,0,Extra (AideDD),6.0,16.0,14.0,6.0,10.0,8.0,1,0,0,0,0,0,0
38,ancient-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-silver-dragon,26,dragon,Gargantuan,22,487,fly,lawful good,1,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0,0,0,0,0,0,0,0
39,ancient-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-white-dragon,23,dragon,Gargantuan,20,333,"fly, swim",chaotic evil,1,Monster Manual (SRD),26.0,10.0,26.0,10.0,13.0,14.0,0,0,0,0,0,0,0
40,androsphinx,https://www.aidedd.org/dnd/monstres.php?vo=androsphinx,20,monstrosity,Large,17,199,fly,lawful neutral,1,Monster Manual (SRD),22.0,10.0,20.0,16.0,18.0,23.0,0,0,0,0,0,0,0
41,animated-armor,https://www.aidedd.org/dnd/monstres.php?vo=animated-armor,4,construct,Medium,18,33,,unaligned,0,Monster Manual (SRD),14.0,11.0,13.0,1.0,3.0,1.0,1,0,0,0,0,0,0
42,ankheg,https://www.aidedd.org/dnd/monstres.php?vo=ankheg,5,monstrosity,Large,14,39,,unaligned,0,Monster Manual (SRD),17.0,11.0,13.0,1.0,13.0,6.0,1,0,0,0,0,0,0
43,ankylosaurus,https://www.aidedd.org/dnd/monstres.php?vo=ankylosaurus,6,beast,Huge,15,68,,unaligned,0,Monster Manual (SRD),19.0,11.0,15.0,2.0,12.0,5.0,1,0,0,0,0,0,0
44,annis-hag,https://www.aidedd.org/dnd/monstres.php?vo=annis-hag,9,fey,Large,17,75,,chaotic evil,0,Volo's Guide to Monsters,21.0,12.0,14.0,13.0,14.0,15.0,1,0,0,0,0,0,0
45,ape,https://www.aidedd.org/dnd/monstres.php?vo=ape,2,beast,Medium,12,19,,unaligned,0,Monster Manual (SRD),16.0,14.0,14.0,6.0,12.0,7.0,1,0,0,0,0,0,0
46,apprentice-wizard,,1,humanoid (any race),Medium,10,9,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
47,arcanaloth,,15,fiend (yugoloth),Medium,17,104,fly,neutral evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
48,archdruid,,15,humanoid (any race),Medium,16,132,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
49,archer,,6,humanoid (any race),Medium,16,75,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
50,archmage,https://www.aidedd.org/dnd/monstres.php?vo=archmage,15,humanoid (any race),Medium,12,99,,any alignment,0,Monster Manual (SRD),10.0,14.0,12.0,20.0,15.0,16.0,1,0,0,0,0,0,0
51,armanite,,10,fiend (demon),Large,16,84,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
52,assassin,https://www.aidedd.org/dnd/monstres.php?vo=assassin,11,humanoid (any race),Medium,15,78,,any non-good alignment,0,Monster Manual (SRD),11.0,16.0,14.0,13.0,11.0,10.0,1,0,0,0,0,0,0
53,assassin-vine,,6,plant,Large,13,85,,unaligned,0,Adventures (Tomb of Annihilation),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
54,astral-dreadnought,https://www.aidedd.org/dnd/monstres.php?vo=astral-dreadnought,24,monstrosity (titan),Gargantuan,20,297,fly,unaligned,1,Mordenkainen's Tome of Foes,28.0,7.0,25.0,5.0,14.0,18.0,0,0,0,0,0,0,0
55,atropal,,16,undead (titan),Huge,7,225,fly,neutral evil,0,Adventures (Tomb of Annihilation),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
56,aurochs,https://www.aidedd.org/dnd/monstres.php?vo=aurochs,5,beast,Large,11,38,,unaligned,0,Volo's Guide to Monsters,20.0,10.0,19.0,2.0,12.0,5.0,1,0,0,0,0,0,0
57,autumn-eladrin,,13,fey (elf),Medium,19,127,,chaotic neutral,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
58,awakened-shrub,https://www.aidedd.org/dnd/monstres.php?vo=awakened-shrub,3,plant,Small,9,10,,unaligned,0,Monster Manual (SRD),3.0,8.0,11.0,10.0,10.0,6.0,1,0,0,0,0,0,0
59,awakened-tree,https://www.aidedd.org/dnd/monstres.php?vo=awakened-tree,5,plant,Huge,13,59,,unaligned,0,Monster Manual (SRD),19.0,6.0,15.0,10.0,10.0,7.0,1,0,0,0,0,0,0
60,axe-beak,https://www.aidedd.org/dnd/monstres.php?vo=axe-beak,1,beast,Large,11,19,,unaligned,0,Monster Manual (SRD),14.0,12.0,12.0,2.0,10.0,5.0,1,0,0,0,0,0,0
61,azer,https://www.aidedd.org/dnd/monstres.php?vo=azer,5,elemental,Medium,17,39,,lawful neutral,0,Monster Manual (SRD),17.0,12.0,15.0,12.0,13.0,10.0,1,0,0,0,0,0,0
62,babau,,7,fiend (demon),Medium,16,82,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
63,baboon,https://www.aidedd.org/dnd/monstres.php?vo=baboon,3,beast,Small,12,3,,unaligned,0,Monster Manual (SRD),8.0,14.0,11.0,4.0,12.0,6.0,1,0,0,0,0,0,0
64,badger,https://www.aidedd.org/dnd/monstres.php?vo=badger,3,beast,Tiny,10,3,,unaligned,0,Monster Manual (SRD),4.0,11.0,12.0,2.0,12.0,5.0,1,0,0,0,0,0,0
65,bael,,22,fiend (devil),Large,18,189,,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
66,balhannoth,,14,aberration,Large,17,114,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
67,balor,https://www.aidedd.org/dnd/monstres.php?vo=balor,22,fiend (demon),Huge,19,262,fly,chaotic evil,0,Monster Manual (SRD),26.0,15.0,22.0,20.0,16.0,22.0,1,0,0,0,0,0,0
68,banderhobb,,8,monstrosity,Large,15,84,,neutral evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
69,bandit,https://www.aidedd.org/dnd/monstres.php?vo=bandit,0,humanoid (any race),Medium,12,11,,any non-lawful alignment,0,Monster Manual (SRD),11.0,12.0,12.0,10.0,10.0,10.0,1,0,0,0,0,0,0
70,bandit-captain,https://www.aidedd.org/dnd/monstres.php?vo=bandit-captain,5,humanoid (any race),Medium,15,65,,any non-lawful alignment,0,Monster Manual (SRD),15.0,16.0,14.0,14.0,11.0,14.0,1,0,0,0,0,0,0
71,banshee,https://www.aidedd.org/dnd/monstres.php?vo=banshee,7,undead,Medium,12,58,fly,chaotic evil,0,Monster Manual (SRD),1.0,14.0,10.0,12.0,11.0,17.0,1,0,0,0,0,0,0
72,baphomet,,26,fiend (demon),Huge,22,275,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
73,barbed-devil,https://www.aidedd.org/dnd/monstres.php?vo=barbed-devil,8,fiend (devil),Medium,15,110,,lawful evil,0,Monster Manual (SRD),16.0,17.0,18.0,12.0,14.0,14.0,1,0,0,0,0,0,0
74,bard,,5,humanoid (any race),Medium,15,44,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
75,barghest,https://www.aidedd.org/dnd/monstres.php?vo=barghest,7,fiend (shapechanger),Large,17,90,,neutral evil,0,Volo's Guide to Monsters,19.0,15.0,14.0,13.0,12.0,14.0,1,0,0,0,0,0,0
76,barlgura,https://www.aidedd.org/dnd/monstres.php?vo=barlgura,8,fiend (demon),Large,15,68,,chaotic evil,0,Monster Manual (BR),18.0,15.0,16.0,7.0,14.0,9.0,1,0,0,0,0,0,0
77,basilisk,https://www.aidedd.org/dnd/monstres.php?vo=basilisk,6,monstrosity,Medium,15,52,,unaligned,0,Monster Manual (SRD),16.0,8.0,15.0,2.0,8.0,7.0,1,0,0,0,0,0,0
78,bat,https://www.aidedd.org/dnd/monstres.php?vo=bat,3,beast,Tiny,12,1,fly,unaligned,0,Monster Manual (SRD),2.0,15.0,8.0,2.0,12.0,4.0,1,0,0,0,0,0,0
79,bearded-devil,https://www.aidedd.org/dnd/monstres.php?vo=bearded-devil,6,fiend (devil),Medium,13,52,,lawful evil,0,Monster Manual (SRD),16.0,15.0,15.0,9.0,11.0,11.0,1,0,0,0,0,0,0
80,behir,https://www.aidedd.org/dnd/monstres.php?vo=behir,14,monstrosity,Huge,17,168,,neutral evil,0,Monster Manual (SRD),23.0,16.0,18.0,7.0,14.0,12.0,1,0,0,0,0,0,0
81,beholder,,16,aberration,Large,18,180,fly,lawful evil,1,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,1,1,1,1,1
82,beholder-zombie,,8,undead,Large,15,93,fly,neutral evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
83,belaphoss,https://www.aidedd.org/dnd/monstres.php?vo=belaphoss,23,fiend (demon),Huge,19,262,fly,chaotic evil,0,Extra (Dragon Mag),26.0,15.0,22.0,20.0,16.0,22.0,1,0,0,0,0,0,0
84,berbalang,,5,aberration,Medium,14,38,fly,neutral evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
85,berserker,https://www.aidedd.org/dnd/monstres.php?vo=berserker,5,humanoid (any race),Medium,13,67,,any chaotic alignment,0,Monster Manual (SRD),16.0,12.0,17.0,9.0,11.0,9.0,1,0,0,0,0,0,0
86,bheur-hag,,10,fey,Medium,17,91,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
87,black-abishai,,10,fiend (devil),Medium,15,58,fly,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
88,black-bear,https://www.aidedd.org/dnd/monstres.php?vo=black-bear,2,beast,Medium,11,19,,unaligned,0,Monster Manual (SRD),15.0,10.0,14.0,2.0,12.0,7.0,1,0,0,0,0,0,0
89,black-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=black-dragon-wyrmling,5,dragon,Medium,17,33,"fly, swim",chaotic evil,0,Monster Manual (SRD),15.0,14.0,13.0,10.0,11.0,13.0,1,0,0,0,0,0,0
90,black-gauntlet-of-bane,,9,humanoid (human),Medium,16,51,,lawful evil,0,Adventures (Descent into Avernus),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
91,black-pudding,https://www.aidedd.org/dnd/monstres.php?vo=black-pudding,7,ooze,Large,7,85,,unaligned,0,Monster Manual (SRD),16.0,5.0,16.0,1.0,6.0,1.0,1,0,0,0,0,0,0
92,blackguard,,11,humanoid (any race),Medium,18,153,,any non-good alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
93,blink-dog,https://www.aidedd.org/dnd/monstres.php?vo=blink-dog,1,fey,Medium,13,22,,lawful good,0,Monster Manual (SRD),12.0,17.0,12.0,10.0,13.0,11.0,1,0,0,0,0,0,0
94,blood-hawk,https://www.aidedd.org/dnd/monstres.php?vo=blood-hawk,0,beast,Small,12,7,fly,unaligned,0,Monster Manual (SRD),6.0,14.0,10.0,3.0,14.0,5.0,1,0,0,0,0,0,0
95,blue-abishai,,20,fiend (devil),Medium,19,195,fly,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
96,blue-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=blue-dragon-wyrmling,6,dragon,Medium,17,52,fly,lawful evil,0,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0,1,0,0,0,0,0,0
97,blue-slaad,,10,aberration,Large,15,123,,chaotic neutral,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
98,boar,https://www.aidedd.org/dnd/monstres.php?vo=boar,1,beast,Medium,11,11,,unaligned,0,Monster Manual (SRD),13.0,11.0,12.0,2.0,9.0,5.0,1,0,0,0,0,0,0
99,bodak,,9,undead,Medium,15,58,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
100,boggle,,0,fey,Small,14,18,,chaotic neutral,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
101,bone-devil,https://www.aidedd.org/dnd/monstres.php?vo=bone-devil,12,fiend (devil),Large,19,142,fly,lawful evil,0,Monster Manual (SRD),18.0,16.0,18.0,13.0,14.0,16.0,1,0,0,0,0,0,0
102,bone-naga,,7,undead,Large,15,58,,lawful evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
103,boneclaw,,15,undead,Large,16,127,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
104,brass-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=brass-dragon-wyrmling,4,dragon,Medium,16,16,fly,chaotic good,0,Monster Manual (SRD),15.0,10.0,13.0,10.0,11.0,13.0,1,0,0,0,0,0,0
105,brontosaurus,,8,beast,Gargantuan,15,121,,unaligned,0,Adventures (Tomb of Annihilation),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
106,bronze-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=bronze-dragon-wyrmling,5,dragon,Medium,17,32,"fly, swim",lawful good,0,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0,1,0,0,0,0,0,0
107,brown-bear,https://www.aidedd.org/dnd/monstres.php?vo=brown-bear,4,beast,Large,11,34,,unaligned,0,Monster Manual (SRD),19.0,10.0,16.0,2.0,13.0,7.0,1,0,0,0,0,0,0
108,bugbear,https://www.aidedd.org/dnd/monstres.php?vo=bugbear,4,humanoid (goblinoid),Medium,16,27,,chaotic evil,0,Monster Manual (SRD),15.0,14.0,13.0,8.0,11.0,9.0,1,0,0,0,0,0,0
109,bugbear-chief,,6,humanoid (goblinoid),Medium,17,65,,chaotic evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
110,bulette,https://www.aidedd.org/dnd/monstres.php?vo=bulette,8,monstrosity,Large,17,94,,unaligned,0,Monster Manual (SRD),19.0,11.0,21.0,2.0,10.0,5.0,1,0,0,0,0,0,0
111,bulezau,,6,fiend (demon),Medium,14,52,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
112,bullywug,https://www.aidedd.org/dnd/monstres.php?vo=bullywug,1,humanoid (bullywug),Medium,15,11,swim,neutral evil,0,Monster Manual (BR),12.0,12.0,13.0,7.0,10.0,7.0,1,0,0,0,0,0,0
113,cadaver-collector,,17,construct,Large,17,189,,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
114,cambion,,8,fiend,Medium,19,82,fly,any evil alignment,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
115,camel,https://www.aidedd.org/dnd/monstres.php?vo=camel,0,beast,Large,9,15,,unaligned,0,Monster Manual (SRD),16.0,8.0,14.0,2.0,8.0,5.0,1,0,0,0,0,0,0
116,canoloth,,11,fiend (yugoloth),Medium,16,120,,neutral evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
117,carrion-crawler,,5,monstrosity,Large,13,51,,unaligned,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
118,cat,https://www.aidedd.org/dnd/monstres.php?vo=cat,3,beast,Tiny,12,2,,unaligned,0,Monster Manual (SRD),3.0,15.0,10.0,3.0,12.0,7.0,1,0,0,0,0,0,0
119,catoblepas,,8,monstrosity,Large,14,84,,unaligned,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
120,cave-fisher,,6,monstrosity,Medium,16,58,,unaligned,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
121,centaur,https://www.aidedd.org/dnd/monstres.php?vo=centaur,5,monstrosity,Large,12,45,,neutral good,0,Monster Manual (SRD),18.0,14.0,14.0,9.0,13.0,11.0,1,0,0,0,0,0,0
122,chain-devil,https://www.aidedd.org/dnd/monstres.php?vo=chain-devil,11,fiend (devil),Medium,16,85,,lawful evil,0,Monster Manual (SRD),18.0,15.0,18.0,11.0,12.0,14.0,1,0,0,0,0,0,0
123,champion,,12,humanoid (any race),Medium,18,143,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
124,chasme,,9,fiend (demon),Large,15,84,fly,chaotic evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
125,chimera,https://www.aidedd.org/dnd/monstres.php?vo=chimera,9,monstrosity,Large,14,114,fly,chaotic evil,0,Monster Manual (SRD),19.0,11.0,19.0,3.0,14.0,10.0,1,0,0,0,0,0,0
126,chitine,,2,monstrosity,Small,14,18,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
127,choker,,4,aberration,Small,16,13,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
128,choldrith,,6,monstrosity,Medium,15,66,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
129,chuul,https://www.aidedd.org/dnd/monstres.php?vo=chuul,7,aberration,Large,16,93,swim,chaotic evil,0,Monster Manual (SRD),19.0,10.0,16.0,5.0,11.0,5.0,1,0,0,0,0,0,0
130,clay-golem,https://www.aidedd.org/dnd/monstres.php?vo=clay-golem,12,construct,Large,14,133,,unaligned,0,Monster Manual (SRD),20.0,9.0,18.0,3.0,8.0,1.0,1,0,0,0,0,0,0
