,name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
11,adult-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-copper-dragon,14,dragon,Huge,18,184,fly,chaotic good,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0
12,adult-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-gold-dragon,17,dragon,Huge,19,256,"fly, swim",lawful good,Legendary,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,24.0
13,adult-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-green-dragon,15,dragon,Huge,19,207,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0
14,adult-kruthik,0,2,monstrosity,Medium,18,39,0,unaligned,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
15,adult-oblex,0,5,ooze,Medium,14,75,0,lawful evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
16,adult-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-red-dragon,17,dragon,Huge,19,256,fly,chaotic evil,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0
17,adult-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-silver-dragon,16,dragon,Huge,19,243,fly,lawful good,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0
18,adult-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-white-dragon,13,dragon,Huge,18,200,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),22.0,10.0,22.0,8.0,12.0,12.0
19,air-elemental,https://www.aidedd.org/dnd/monstres.php?vo=air-elemental,5,elemental,Large,15,90,fly,neutral,0,Monster Manual (SRD),14.0,20.0,14.0,6.0,10.0,6.0
20,air-elemental-myrmidon,0,7,elemental,Medium,18,117,fly,neutral,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
21,albino-dwarf-warrior,0,1/4,humanoid (dwarf),Medium,13,30,0,any alignment,0,Adventures (Tomb of Annihilation),0.0,0.0,0.0,0.0,0.0,0.0
22,aldani,0,1,monstrosity,Medium,0,0,swim,lawful neutral,0,Adventures (Tomb of Annihilation),0.0,0.0,0.0,0.0,0.0,0.0
23,alhoon,0,10,undead,Medium,15,120,0,any evil alignment,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
24,alkilith,0,11,fiend (demon),Medium,17,157,0,chaotic evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
25,allip,0,5,undead,Medium,13,40,fly,neutral evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
26,allosaurus,https://www.aidedd.org/dnd/monstres.php?vo=allosaurus,2,beast,Large,13,51,0,unaligned,0,Monster Manual (SRD),19.0,13.0,17.0,2.0,12.0,5.0
27,ambush-drake,0,1/2,dragon,Medium,13,22,0,unaligned,0,Adventures (Tyranny of Dragons),0.0,0.0,0.0,0.0,0.0,0.0
28,amnizu,0,18,fiend (devil),Medium,21,202,fly,lawful evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
29,ancient-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-black-dragon,21,dragon,Gargantuan,22,367,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,19.0
30,ancient-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-blue-dragon,23,dragon,Gargantuan,22,481,fly,lawful evil,Legendary,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0
31,ancient-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-brass-dragon,20,dragon,Gargantuan,20,297,fly,chaotic good,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,15.0,19.0
32,ancient-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-bronze-dragon,22,dragon,Gargantuan,22,444,"fly, swim",lawful good,Legendary,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0
33,ancient-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-copper-dragon,21,dragon,Gargantuan,21,350,fly,chaotic good,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0
34,ancient-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-gold-dragon,24,dragon,Gargantuan,22,546,"fly, swim",lawful good,Legendary,Monster Manual (SRD),30.0,14.0,29.0,18.0,17.0,28.0
35,ancient-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-green-dragon,22,dragon,Gargantuan,21,385,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0
36,ancient-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-red-dragon,24,dragon,Gargantuan,22,546,fly,chaotic evil,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0
37,ancient-shadow,https://www.aidedd.org/dnd/monstres.php?vo=ancient-shadow,1,undead,Medium,13,32,0,chaotic evil,0,Extra (AideDD),6.0,16.0,14.0,6.0,10.0,8.0
38,ancient-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-silver-dragon,23,dragon,Gargantuan,22,487,fly,lawful good,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0
39,ancient-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-white-dragon,20,dragon,Gargantuan,20,333,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),26.0,10.0,26.0,10.0,13.0,14.0
40,androsphinx,https://www.aidedd.org/dnd/monstres.php?vo=androsphinx,17,monstrosity,Large,17,199,fly,lawful neutral,Legendary,Monster Manual (SRD),22.0,10.0,20.0,16.0,18.0,23.0
41,animated-armor,https://www.aidedd.org/dnd/monstres.php?vo=animated-armor,1,construct,Medium,18,33,0,unaligned,0,Monster Manual (SRD),14.0,11.0,13.0,1.0,3.0,1.0
42,ankheg,https://www.aidedd.org/dnd/monstres.php?vo=ankheg,2,monstrosity,Large,14,39,0,unaligned,0,Monster Manual (SRD),17.0,11.0,13.0,1.0,13.0,6.0
43,ankylosaurus,https://www.aidedd.org/dnd/monstres.php?vo=ankylosaurus,3,beast,Huge,15,68,0,unaligned,0,Monster Manual (SRD),19.0,11.0,15.0,2.0,12.0,5.0
44,annis-hag,https://www.aidedd.org/dnd/monstres.php?vo=annis-hag,6,fey,Large,17,75,0,chaotic evil,0,Volo's Guide to Monsters,21.0,12.0,14.0,13.0,14.0,15.0
45,ape,https://www.aidedd.org/dnd/monstres.php?vo=ape,1/2,beast,Medium,12,19,0,unaligned,0,Monster Manual (SRD),16.0,14.0,14.0,6.0,12.0,7.0
46,apprentice-wizard,0,1/4,humanoid (any race),Medium,10,9,0,any alignment,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
47,arcanaloth,0,12,fiend (yugoloth),Medium,17,104,fly,neutral evil,0,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
48,archdruid,0,12,humanoid (any race),Medium,16,132,0,any alignment,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
49,archer,0,3,humanoid (any race),Medium,16,75,0,any alignment,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
50,archmage,https://www.aidedd.org/dnd/monstres.php?vo=archmage,12,humanoid (any race),Medium,12,99,0,any alignment,0,Monster Manual (SRD),10.0,14.0,12.0,20.0,15.0,16.0
51,armanite,0,7,fiend (demon),Large,16,84,0,chaotic evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
52,assassin,https://www.aidedd.org/dnd/monstres.php?vo=assassin,8,humanoid (any race),Medium,15,78,0,any non-good alignment,0,Monster Manual (SRD),11.0,16.0,14.0,13.0,11.0,10.0
53,assassin-vine,0,3,plant,Large,13,85,0,unaligned,0,Adventures (Tomb of Annihilation),0.0,0.0,0.0,0.0,0.0,0.0
54,astral-dreadnought,https://www.aidedd.org/dnd/monstres.php?vo=astral-dreadnought,21,monstrosity (titan),Gargantuan,20,297,fly,unaligned,Legendary,Mordenkainen's Tome of Foes,28.0,7.0,25.0,5.0,14.0,18.0
55,atropal,0,13,undead (titan),Huge,7,225,fly,neutral evil,0,Adventures (Tomb of Annihilation),0.0,0.0,0.0,0.0,0.0,0.0
56,aurochs,https://www.aidedd.org/dnd/monstres.php?vo=aurochs,2,beast,Large,11,38,0,unaligned,0,Volo's Guide to Monsters,20.0,10.0,19.0,2.0,12.0,5.0
57,autumn-eladrin,0,10,fey (elf),Medium,19,127,0,chaotic neutral,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
58,awakened-shrub,https://www.aidedd.org/dnd/monstres.php?vo=awakened-shrub,0,plant,Small,9,10,0,unaligned,0,Monster Manual (SRD),3.0,8.0,11.0,10.0,10.0,6.0
59,awakened-tree,https://www.aidedd.org/dnd/monstres.php?vo=awakened-tree,2,plant,Huge,13,59,0,unaligned,0,Monster Manual (SRD),19.0,6.0,15.0,10.0,10.0,7.0
60,axe-beak,https://www.aidedd.org/dnd/monstres.php?vo=axe-beak,1/4,beast,Large,11,19,0,unaligned,0,Monster Manual (SRD),14.0,12.0,12.0,2.0,10.0,5.0
61,azer,https://www.aidedd.org/dnd/monstres.php?vo=azer,2,elemental,Medium,17,39,0,lawful neutral,0,Monster Manual (SRD),17.0,12.0,15.0,12.0,13.0,10.0
62,babau,0,4,fiend (demon),Medium,16,82,0,chaotic evil,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
63,baboon,https://www.aidedd.org/dnd/monstres.php?vo=baboon,0,beast,Small,12,3,0,unaligned,0,Monster Manual (SRD),8.0,14.0,11.0,4.0,12.0,6.0
64,badger,https://www.aidedd.org/dnd/monstres.php?vo=badger,0,beast,Tiny,10,3,0,unaligned,0,Monster Manual (SRD),4.0,11.0,12.0,2.0,12.0,5.0
65,bael,0,19,fiend (devil),Large,18,189,0,lawful evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
66,balhannoth,0,11,aberration,Large,17,114,0,chaotic evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
67,balor,https://www.aidedd.org/dnd/monstres.php?vo=balor,19,fiend (demon),Huge,19,262,fly,chaotic evil,0,Monster Manual (SRD),26.0,15.0,22.0,20.0,16.0,22.0
68,banderhobb,0,5,monstrosity,Large,15,84,0,neutral evil,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
69,bandit,https://www.aidedd.org/dnd/monstres.php?vo=bandit,1/8,humanoid (any race),Medium,12,11,0,any non-lawful alignment,0,Monster Manual (SRD),11.0,12.0,12.0,10.0,10.0,10.0
70,bandit-captain,https://www.aidedd.org/dnd/monstres.php?vo=bandit-captain,2,humanoid (any race),Medium,15,65,0,any non-lawful alignment,0,Monster Manual (SRD),15.0,16.0,14.0,14.0,11.0,14.0
71,banshee,https://www.aidedd.org/dnd/monstres.php?vo=banshee,4,undead,Medium,12,58,fly,chaotic evil,0,Monster Manual (SRD),1.0,14.0,10.0,12.0,11.0,17.0
72,baphomet,0,23,fiend (demon),Huge,22,275,0,chaotic evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
73,barbed-devil,https://www.aidedd.org/dnd/monstres.php?vo=barbed-devil,5,fiend (devil),Medium,15,110,0,lawful evil,0,Monster Manual (SRD),16.0,17.0,18.0,12.0,14.0,14.0
74,bard,0,2,humanoid (any race),Medium,15,44,0,any alignment,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
75,barghest,https://www.aidedd.org/dnd/monstres.php?vo=barghest,4,fiend (shapechanger),Large,17,90,0,neutral evil,0,Volo's Guide to Monsters,19.0,15.0,14.0,13.0,12.0,14.0
76,barlgura,https://www.aidedd.org/dnd/monstres.php?vo=barlgura,5,fiend (demon),Large,15,68,0,chaotic evil,0,Monster Manual (BR),18.0,15.0,16.0,7.0,14.0,9.0
77,basilisk,https://www.aidedd.org/dnd/monstres.php?vo=basilisk,3,monstrosity,Medium,15,52,0,unaligned,0,Monster Manual (SRD),16.0,8.0,15.0,2.0,8.0,7.0
78,bat,https://www.aidedd.org/dnd/monstres.php?vo=bat,0,beast,Tiny,12,1,fly,unaligned,0,Monster Manual (SRD),2.0,15.0,8.0,2.0,12.0,4.0
79,bearded-devil,https://www.aidedd.org/dnd/monstres.php?vo=bearded-devil,3,fiend (devil),Medium,13,52,0,lawful evil,0,Monster Manual (SRD),16.0,15.0,15.0,9.0,11.0,11.0
80,behir,https://www.aidedd.org/dnd/monstres.php?vo=behir,11,monstrosity,Huge,17,168,0,neutral evil,0,Monster Manual (SRD),23.0,16.0,18.0,7.0,14.0,12.0
81,beholder,0,13,aberration,Large,18,180,fly,lawful evil,Legendary,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
82,beholder-zombie,0,5,undead,Large,15,93,fly,neutral evil,0,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
83,belaphoss,https://www.aidedd.org/dnd/monstres.php?vo=belaphoss,20,fiend (demon),Huge,19,262,fly,chaotic evil,0,Extra (Dragon Mag),26.0,15.0,22.0,20.0,16.0,22.0
84,berbalang,0,2,aberration,Medium,14,38,fly,neutral evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
85,berserker,https://www.aidedd.org/dnd/monstres.php?vo=berserker,2,humanoid (any race),Medium,13,67,0,any chaotic alignment,0,Monster Manual (SRD),16.0,12.0,17.0,9.0,11.0,9.0
86,bheur-hag,0,7,fey,Medium,17,91,0,chaotic evil,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
87,black-abishai,0,7,fiend (devil),Medium,15,58,fly,lawful evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
88,black-bear,https://www.aidedd.org/dnd/monstres.php?vo=black-bear,1/2,beast,Medium,11,19,0,unaligned,0,Monster Manual (SRD),15.0,10.0,14.0,2.0,12.0,7.0
89,black-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=black-dragon-wyrmling,2,dragon,Medium,17,33,"fly, swim",chaotic evil,0,Monster Manual (SRD),15.0,14.0,13.0,10.0,11.0,13.0
90,black-gauntlet-of-bane,0,6,humanoid (human),Medium,16,51,0,lawful evil,0,Adventures (Descent into Avernus),0.0,0.0,0.0,0.0,0.0,0.0
91,black-pudding,https://www.aidedd.org/dnd/monstres.php?vo=black-pudding,4,ooze,Large,7,85,0,unaligned,0,Monster Manual (SRD),16.0,5.0,16.0,1.0,6.0,1.0
92,blackguard,0,8,humanoid (any race),Medium,18,153,0,any non-good alignment,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
93,blink-dog,https://www.aidedd.org/dnd/monstres.php?vo=blink-dog,1/4,fey,Medium,13,22,0,lawful good,0,Monster Manual (SRD),12.0,17.0,12.0,10.0,13.0,11.0
94,blood-hawk,https://www.aidedd.org/dnd/monstres.php?vo=blood-hawk,1/8,beast,Small,12,7,fly,unaligned,0,Monster Manual (SRD),6.0,14.0,10.0,3.0,14.0,5.0
95,blue-abishai,0,17,fiend (devil),Medium,19,195,fly,lawful evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
96,blue-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=blue-dragon-wyrmling,3,dragon,Medium,17,52,fly,lawful evil,0,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0
97,blue-slaad,0,7,aberration,Large,15,123,0,chaotic neutral,0,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
98,boar,https://www.aidedd.org/dnd/monstres.php?vo=boar,1/4,beast,Medium,11,11,0,unaligned,0,Monster Manual (SRD),13.0,11.0,12.0,2.0,9.0,5.0
99,bodak,0,6,undead,Medium,15,58,0,chaotic evil,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
100,boggle,0,1/8,fey,Small,14,18,0,chaotic neutral,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
101,bone-devil,https://www.aidedd.org/dnd/monstres.php?vo=bone-devil,9,fiend (devil),Large,19,142,fly,lawful evil,0,Monster Manual (SRD),18.0,16.0,18.0,13.0,14.0,16.0
102,bone-naga,0,4,undead,Large,15,58,0,lawful evil,0,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
103,boneclaw,0,12,undead,Large,16,127,0,chaotic evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
104,brass-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=brass-dragon-wyrmling,1,dragon,Medium,16,16,fly,chaotic good,0,Monster Manual (SRD),15.0,10.0,13.0,10.0,11.0,13.0
105,brontosaurus,0,5,beast,Gargantuan,15,121,0,unaligned,0,Adventures (Tomb of Annihilation),0.0,0.0,0.0,0.0,0.0,0.0
106,bronze-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=bronze-dragon-wyrmling,2,dragon,Medium,17,32,"fly, swim",lawful good,0,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0
107,brown-bear,https://www.aidedd.org/dnd/monstres.php?vo=brown-bear,1,beast,Large,11,34,0,unaligned,0,Monster Manual (SRD),19.0,10.0,16.0,2.0,13.0,7.0
108,bugbear,https://www.aidedd.org/dnd/monstres.php?vo=bugbear,1,humanoid (goblinoid),Medium,16,27,0,chaotic evil,0,Monster Manual (SRD),15.0,14.0,13.0,8.0,11.0,9.0
109,bugbear-chief,0,3,humanoid (goblinoid),Medium,17,65,0,chaotic evil,0,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
110,bulette,https://www.aidedd.org/dnd/monstres.php?vo=bulette,5,monstrosity,Large,17,94,0,unaligned,0,Monster Manual (SRD),19.0,11.0,21.0,2.0,10.0,5.0
111,bulezau,0,3,fiend (demon),Medium,14,52,0,chaotic evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
112,bullywug,https://www.aidedd.org/dnd/monstres.php?vo=bullywug,1/4,humanoid (bullywug),Medium,15,11,swim,neutral evil,0,Monster Manual (BR),12.0,12.0,13.0,7.0,10.0,7.0
113,cadaver-collector,0,14,construct,Large,17,189,0,lawful evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
114,cambion,0,5,fiend,Medium,19,82,fly,any evil alignment,0,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
115,camel,https://www.aidedd.org/dnd/monstres.php?vo=camel,1/8,beast,Large,9,15,0,unaligned,0,Monster Manual (SRD),16.0,8.0,14.0,2.0,8.0,5.0
116,canoloth,0,8,fiend (yugoloth),Medium,16,120,0,neutral evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
117,carrion-crawler,0,2,monstrosity,Large,13,51,0,unaligned,0,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
118,cat,https://www.aidedd.org/dnd/monstres.php?vo=cat,0,beast,Tiny,12,2,0,unaligned,0,Monster Manual (SRD),3.0,15.0,10.0,3.0,12.0,7.0
119,catoblepas,0,5,monstrosity,Large,14,84,0,unaligned,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
120,cave-fisher,0,3,monstrosity,Medium,16,58,0,unaligned,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
121,centaur,https://www.aidedd.org/dnd/monstres.php?vo=centaur,2,monstrosity,Large,12,45,0,neutral good,0,Monster Manual (SRD),18.0,14.0,14.0,9.0,13.0,11.0
122,chain-devil,https://www.aidedd.org/dnd/monstres.php?vo=chain-devil,8,fiend (devil),Medium,16,85,0,lawful evil,0,Monster Manual (SRD),18.0,15.0,18.0,11.0,12.0,14.0
123,champion,0,9,humanoid (any race),Medium,18,143,0,any alignment,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
124,chasme,0,6,fiend (demon),Large,15,84,fly,chaotic evil,0,Monster Manual,0.0,0.0,0.0,0.0,0.0,0.0
125,chimera,https://www.aidedd.org/dnd/monstres.php?vo=chimera,6,monstrosity,Large,14,114,fly,chaotic evil,0,Monster Manual (SRD),19.0,11.0,19.0,3.0,14.0,10.0
126,chitine,0,1/2,monstrosity,Small,14,18,0,chaotic evil,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
127,choker,0,1,aberration,Small,16,13,0,chaotic evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
128,choldrith,0,3,monstrosity,Medium,15,66,0,chaotic evil,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
129,chuul,https://www.aidedd.org/dnd/monstres.php?vo=chuul,4,aberration,Large,16,93,swim,chaotic evil,0,Monster Manual (SRD),19.0,10.0,16.0,5.0,11.0,5.0
130,clay-golem,https://www.aidedd.org/dnd/monstres.php?vo=clay-golem,9,construct,Large,14,133,0,unaligned,0,Monster Manual (SRD),20.0,9.0,18.0,3.0,8.0,1.0
131,cloaker,https://www.aidedd.org/dnd/monstres.php?vo=cloaker,8,aberration,Large,14,78,fly,chaotic neutral,0,Monster Manual (SRD),17.0,15.0,12.0,13.0,12.0,14.0
132,cloud-giant,https://www.aidedd.org/dnd/monstres.php?vo=cloud-giant,9,giant,Huge,14,200,0,neutral good ,0,Monster Manual (SRD),27.0,10.0,22.0,12.0,16.0,16.0
133,cloud-giant-smiling-one,0,11,giant (cloud giant),Huge,15,262,0,chaotic neutral,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
134,cockatrice,https://www.aidedd.org/dnd/monstres.php?vo=cockatrice,1/2,monstrosity,Small,11,27,fly,unaligned,0,Monster Manual (SRD),6.0,12.0,12.0,2.0,13.0,5.0
135,commoner,https://www.aidedd.org/dnd/monstres.php?vo=commoner,0,humanoid (any race),Medium,10,4,0,any alignment,0,Monster Manual (SRD),10.0,10.0,10.0,10.0,10.0,10.0
136,conjurer,0,6,humanoid (any race),Medium,12,40,0,any alignment,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
137,constrictor-snake,https://www.aidedd.org/dnd/monstres.php?vo=constrictor-snake,1/4,beast,Large,12,13,swim,unaligned,0,Monster Manual (SRD),15.0,14.0,12.0,1.0,10.0,3.0
138,copper-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=copper-dragon-wyrmling,1,dragon,Medium,16,22,fly,chaotic good,0,Monster Manual (SRD),15.0,12.0,13.0,14.0,11.0,13.0
139,corpse-flower,0,8,plant,Large,12,127,0,chaotic evil,0,Mordenkainen's Tome of Foes,0.0,0.0,0.0,0.0,0.0,0.0
140,couatl,https://www.aidedd.org/dnd/monstres.php?vo=couatl,4,celestial,Medium,19,97,fly,lawful good,0,Monster Manual (SRD),16.0,20.0,17.0,18.0,20.0,18.0
141,cow,https://www.aidedd.org/dnd/monstres.php?vo=cow,1/4,beast,Large,10,15,0,unaligned,0,Volo's Guide to Monsters,18.0,10.0,14.0,2.0,10.0,4.0
142,crab,https://www.aidedd.org/dnd/monstres.php?vo=crab,0,beast,Tiny,11,2,swim,unaligned,0,Monster Manual (SRD),2.0,11.0,10.0,1.0,8.0,2.0
143,crag-cat,0,1,beast,Large,13,34,0,unaligned,0,Adventures (Storm King's Thunder),0.0,0.0,0.0,0.0,0.0,0.0
144,cranium-rat,0,0,beast,Tiny,12,2,0,lawful evil,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
145,crawling-claw,https://www.aidedd.org/dnd/monstres.php?vo=crawling-claw,0,undead,Tiny,12,2,0,neutral evil,0,Monster Manual (BR),13.0,14.0,11.0,5.0,10.0,4.0
146,crocodile,https://www.aidedd.org/dnd/monstres.php?vo=crocodile,1/2,beast,Large,12,19,swim,unaligned,0,Monster Manual (SRD),15.0,10.0,13.0,2.0,10.0,5.0
147,crokek-toeck,0,14,fiend (demon),Gargantuan,15,297,swim,chaotic evil,0,Adventures (Descent into Avernus),0.0,0.0,0.0,0.0,0.0,0.0
148,cult-fanatic,https://www.aidedd.org/dnd/monstres.php?vo=cult-fanatic,2,humanoid (any race),Medium,13,33,0,any non-good alignment,0,Monster Manual (SRD),11.0,14.0,12.0,10.0,13.0,14.0
149,cultist,https://www.aidedd.org/dnd/monstres.php?vo=cultist,1/8,humanoid (any race),Medium,12,9,0,any non-good alignment,0,Monster Manual (SRD),11.0,12.0,10.0,10.0,11.0,10.0
150,cyclops,https://www.aidedd.org/dnd/monstres.php?vo=cyclops,6,giant,Huge,14,138,0,chaotic neutral,0,Monster Manual (SRD),22.0,11.0,20.0,8.0,6.0,10.0
151,dao,https://www.aidedd.org/dnd/monstres.php?vo=dao,11,elemental,Large,18,187,fly,neutral evil,0,Monster Manual (BR),23.0,12.0,24.0,12.0,13.0,14.0
152,darkling,0,1/2,fey,Small,14,13,0,chaotic neutral,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
153,darkling-elder,0,2,fey,Medium,15,27,0,chaotic neutral,0,Volo's Guide to Monsters,0.0,0.0,0.0,0.0,0.0,0.0
