name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
ogre-battering-ram,,4,giant,Large,14,59,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
hydra,https://www.aidedd.org/dnd/monstres.php?vo=hydra,8,monstrosity,Huge,15,172,swim,unaligned,,Monster Manual (SRD),20.0,12.0,20.0,2.0,10.0,7.0
axe-beak,https://www.aidedd.org/dnd/monstres.php?vo=axe-beak,1/4,beast,Large,11,19,,unaligned,,Monster Manual (SRD),14.0,12.0,12.0,2.0,10.0,5.0
oinoloth,,12,fiend (yugoloth),Medium,17,126,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
adult-kruthik,,2,monstrosity,Medium,18,39,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
young-red-shadow-dragon,,13,dragon,Large,18,178,fly,chaotic evil,,Monster Manual,,,,,,
star-spawn-grue,,1/4,aberration,Small,11,17,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
ancient-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-black-dragon,21,dragon,Gargantuan,22,367,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,19.0
death-dog,https://www.aidedd.org/dnd/monstres.php?vo=death-dog,1,monstrosity,Medium,12,39,,neutral evil,,Monster Manual (SRD),15.0,14.0,14.0,3.0,13.0,6.0
hutijin,,21,fiend (devil),Large,19,200,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
gray-ooze,https://www.aidedd.org/dnd/monstres.php?vo=gray-ooze,1/2,ooze,Medium,8,22,,unaligned,,Monster Manual (SRD),12.0,6.0,16.0,1.0,6.0,2.0
mummified-warrior,https://www.aidedd.org/dnd/monstres.php?vo=mummified-warrior,1/4,undead,Medium,8,19,,neutral,,Extra (AideDD),13.0,6.0,14.0,8.0,6.0,8.0
vegepygmy-chief,,2,plant,Small,14,33,,neutral,,Volo's Guide to Monsters,,,,,,
drider,https://www.aidedd.org/dnd/monstres.php?vo=drider,6,monstrosity,Large,19,123,,chaotic evil,,Monster Manual (SRD),16.0,16.0,18.0,13.0,14.0,12.0
aarakocra,https://www.aidedd.org/dnd/monstres.php?vo=aarakocra,1/4,humanoid (aarakocra),Medium,12,13,fly,neutral good,,Monster Manual (BR),10.0,14.0,10.0,11.0,12.0,11.0
yeti,https://www.aidedd.org/dnd/monstres.php?vo=yeti,3,monstrosity,Large,12,51,,chaotic evil,,Monster Manual (SRD),18.0,13.0,16.0,8.0,12.0,7.0
ancient-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-green-dragon,22,dragon,Gargantuan,21,385,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0
thorny,,1,plant,Medium,14,27,,neutral,,Volo's Guide to Monsters,,,,,,
uthgardt-shaman,,2,humanoid (human),Medium,13,38,,neutral evil,,Adventures (Storm King's Thunder),,,,,,
thug,https://www.aidedd.org/dnd/monstres.php?vo=thug,1/2,humanoid (any race),Medium,11,32,,any non-good alignment,,Monster Manual (SRD),15.0,11.0,14.0,10.0,10.0,11.0
flail-snail,,3,elemental,Large,16,52,,unaligned,,Volo's Guide to Monsters,,,,,,
adult-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-gold-dragon,17,dragon,Huge,19,256,"fly, swim",lawful good,Legendary,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,24.0
champion,,9,humanoid (any race),Medium,18,143,,any alignment,,Volo's Guide to Monsters,,,,,,
wild-dog-alpha,https://www.aidedd.org/dnd/monstres.php?vo=wild-dog-alpha,1,beast,Large,12,26,,unaligned,,Extra (Adventurers League),17.0,15.0,13.0,3.0,12.0,8.0
githyanki-warrior,,3,humanoid (gith),Medium,17,49,,lawful evil,,Monster Manual,,,,,,
rakshasa,https://www.aidedd.org/dnd/monstres.php?vo=rakshasa,13,fiend,Medium,16,110,,lawful evil,,Monster Manual (SRD),14.0,17.0,18.0,13.0,16.0,20.0
manshoon,,13,humanoid (human),Medium,19,126,,lawful evil,,Adventures (Dragon Heist),,,,,,
neothelid,,13,aberration,Gargantuan,16,325,,chaotic evil,,Volo's Guide to Monsters,,,,,,
reaper-of-bhaal,,2,humanoid (human),Medium,15,27,,chaotic evil,,Adventures (Descent into Avernus),,,,,,
plesiosaurus,https://www.aidedd.org/dnd/monstres.php?vo=plesiosaurus,2,beast,Large,13,68,swim,unaligned,,Monster Manual (SRD),18.0,15.0,16.0,2.0,12.0,5.0
flumph,,1/8,aberration,Small,12,7,fly,lawful good,,Monster Manual,,,,,,
giant-elk,https://www.aidedd.org/dnd/monstres.php?vo=giant-elk,2,beast,Huge,14,42,,unaligned,,Monster Manual (SRD),19.0,16.0,14.0,7.0,14.0,10.0
young-kruthik,,1/8,monstrosity,Small,16,9,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
guard,https://www.aidedd.org/dnd/monstres.php?vo=guard,1/8,humanoid (any race),Medium,16,11,,any alignment,,Monster Manual (SRD),13.0,12.0,12.0,10.0,11.0,10.0
blue-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=blue-dragon-wyrmling,3,dragon,Medium,17,52,fly,lawful evil,,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0
young-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-gold-dragon,10,dragon,Large,18,178,"fly, swim",lawful good,,Monster Manual (SRD),23.0,14.0,21.0,16.0,13.0,20.0
bheur-hag,,7,fey,Medium,17,91,,chaotic evil,,Volo's Guide to Monsters,,,,,,
homunculus,https://www.aidedd.org/dnd/monstres.php?vo=homunculus,0,construct,Tiny,13,5,fly,neutral,,Monster Manual (SRD),4.0,15.0,11.0,10.0,10.0,7.0
young-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-silver-dragon,9,dragon,Large,18,168,fly,lawful good,,Monster Manual (SRD),23.0,10.0,21.0,14.0,11.0,19.0
saber-toothed-tiger,https://www.aidedd.org/dnd/monstres.php?vo=saber-toothed-tiger,2,beast,Large,12,52,,unaligned,,Monster Manual (SRD),18.0,14.0,15.0,3.0,12.0,8.0
demogorgon,,26,fiend (demon),Huge,22,406,swim,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
allosaurus,https://www.aidedd.org/dnd/monstres.php?vo=allosaurus,2,beast,Large,13,51,,unaligned,,Monster Manual (SRD),19.0,13.0,17.0,2.0,12.0,5.0
succubus,https://www.aidedd.org/dnd/monstres.php?vo=succubus,4,fiend (shapechanger),Medium,15,66,fly,neutral evil,,Monster Manual (SRD),8.0,17.0,13.0,15.0,12.0,20.0
adult-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-green-dragon,15,dragon,Huge,19,207,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0
sea-horse,https://www.aidedd.org/dnd/monstres.php?vo=sea-horse,0,beast,Tiny,11,1,swim,unaligned,,Monster Manual (SRD),1.0,12.0,8.0,1.0,10.0,2.0
gas-spore,,1/2,plant,Large,5,1,fly,unaligned,,Monster Manual,,,,,,
polar-bear,https://www.aidedd.org/dnd/monstres.php?vo=polar-bear,2,beast,Large,12,42,swim,unaligned,,Monster Manual (SRD),20.0,10.0,16.0,2.0,13.0,7.0
expert-lvl-1,,0,humanoid (any race),Medium,14,11,,any alignment,,Essentials Kit,,,,,,
orc-hand-of-yurtrus,,2,humanoid (orc),Medium,12,30,,chaotic evil,,Volo's Guide to Monsters,,,,,,
boar,https://www.aidedd.org/dnd/monstres.php?vo=boar,1/4,beast,Medium,11,11,,unaligned,,Monster Manual (SRD),13.0,11.0,12.0,2.0,9.0,5.0
spectator,https://www.aidedd.org/dnd/monstres.php?vo=spectator,3,aberration,Medium,14,39,fly,lawful neutral,,Monster Manual,8.0,14.0,14.0,13.0,14.0,11.0
dimetrodon,,1/4,beast,Medium,12,19,swim,unaligned,,Adventures (Tomb of Annihilation),,,,,,
fire-giant,https://www.aidedd.org/dnd/monstres.php?vo=fire-giant,9,giant,Huge,18,162,,lawful evil,,Monster Manual (SRD),25.0,9.0,23.0,10.0,14.0,13.0
giant-wolf-spider,https://www.aidedd.org/dnd/monstres.php?vo=giant-wolf-spider,1/4,beast,Medium,13,11,,unaligned,,Monster Manual (SRD),12.0,16.0,13.0,3.0,12.0,4.0
giant-centipede,https://www.aidedd.org/dnd/monstres.php?vo=giant-centipede,1/4,beast,Small,13,4,,unaligned,,Monster Manual (SRD),5.0,14.0,12.0,1.0,7.0,3.0
shadow-mastiff,,2,monstrosity,Medium,12,33,,neutral evil,,Volo's Guide to Monsters,,,,,,
necromancer,,9,humanoid (any race),Medium,12,66,,any alignment,,Volo's Guide to Monsters,,,,,,
choldrith,,3,monstrosity,Medium,15,66,,chaotic evil,,Volo's Guide to Monsters,,,,,,
swarm-of-cranium-rats,,5,swarm of Tiny beasts,Medium,12,36,,lawful evil,,Volo's Guide to Monsters,,,,,,
ettercap,https://www.aidedd.org/dnd/monstres.php?vo=ettercap,2,monstrosity,Medium,13,44,,neutral evil,,Monster Manual (SRD),14.0,15.0,13.0,7.0,12.0,8.0
githzerai-enlightned,,10,humanoid (gith),Medium,18,112,,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
gazer,,1/2,aberration,Tiny,13,13,fly,neutral evil,,Volo's Guide to Monsters,,,,,,
zuggtmoy,,23,fiend (demon),Large,18,304,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
cadaver-collector,,14,construct,Large,17,189,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
satyr,https://www.aidedd.org/dnd/monstres.php?vo=satyr,1/2,fey,Medium,14,31,,chaotic neutral,,Monster Manual (SRD),12.0,16.0,11.0,12.0,10.0,14.0
rhinoceros,https://www.aidedd.org/dnd/monstres.php?vo=rhinoceros,2,beast,Large,11,45,,unaligned,,Monster Manual (SRD),21.0,8.0,15.0,2.0,12.0,6.0
drow-arachnomancer,,13,humanoid (elf),Medium,15,162,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
lion,https://www.aidedd.org/dnd/monstres.php?vo=lion,1,beast,Large,12,26,,unaligned,,Monster Manual (SRD),17.0,15.0,13.0,3.0,12.0,8.0
wastrilith,,13,fiend (demon),Large,18,157,swim,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
gnoll,https://www.aidedd.org/dnd/monstres.php?vo=gnoll,1/2,humanoid (gnoll),Medium,15,22,,chaotic evil,,Monster Manual (SRD),14.0,12.0,11.0,6.0,10.0,7.0
ancient-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-copper-dragon,21,dragon,Gargantuan,21,350,fly,chaotic good,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0
githzerai-anarch,,16,humanoid (gith),Medium,20,144,fly,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
medusa,https://www.aidedd.org/dnd/monstres.php?vo=medusa,6,monstrosity,Medium,15,127,,lawful evil,,Monster Manual (SRD),10.0,15.0,16.0,12.0,13.0,15.0
master-of-souls,,4,humanoid (human),Medium,12,45,,neutral evil,,Adventures (Descent into Avernus),,,,,,
bael,,19,fiend (devil),Large,18,189,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
master-thief,,5,humanoid (any race),Medium,16,84,,any alignment,,Volo's Guide to Monsters,,,,,,
the-lonely,,9,monstrosity,Medium,16,112,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
assassin,https://www.aidedd.org/dnd/monstres.php?vo=assassin,8,humanoid (any race),Medium,15,78,,any non-good alignment,,Monster Manual (SRD),11.0,16.0,14.0,13.0,11.0,10.0
darkling,,1/2,fey,Small,14,13,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
gnoll-pack-lord,https://www.aidedd.org/dnd/monstres.php?vo=gnoll-pack-lord,2,humanoid (gnoll),Medium,15,49,,chaotic evil,,Monster Manual (BR),16.0,14.0,13.0,8.0,11.0,9.0
fire-snake,https://www.aidedd.org/dnd/monstres.php?vo=fire-snake,1,elemental,Medium,14,22,,neutral evil,,Monster Manual (BR),12.0,14.0,11.0,7.0,10.0,8.0
phase-spider,https://www.aidedd.org/dnd/monstres.php?vo=phase-spider,3,monstrosity,Large,13,32,,unaligned,,Monster Manual (SRD),15.0,15.0,12.0,6.0,10.0,6.0
the-wretched,,1/4,monstrosity,Small,15,10,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
rust-monster,https://www.aidedd.org/dnd/monstres.php?vo=rust-monster,1/2,monstrosity,Medium,14,27,,unaligned,,Monster Manual (SRD),13.0,12.0,13.0,2.0,13.0,6.0
worg,https://www.aidedd.org/dnd/monstres.php?vo=worg,1/2,monstrosity,Large,13,26,,neutral evil,,Monster Manual (SRD),16.0,13.0,13.0,7.0,11.0,8.0
quasit,https://www.aidedd.org/dnd/monstres.php?vo=quasit,1,"fiend (demon, shapechanger)",Tiny,13,7,,chaotic evil,,Monster Manual (SRD),5.0,17.0,10.0,7.0,10.0,10.0
froghemoth,https://www.aidedd.org/dnd/monstres.php?vo=froghemoth,10,monstrosity,Huge,14,184,swim,unaligned,,Volo's Guide to Monsters,23.0,13.0,20.0,2.0,12.0,5.0
crocodile,https://www.aidedd.org/dnd/monstres.php?vo=crocodile,1/2,beast,Large,12,19,swim,unaligned,,Monster Manual (SRD),15.0,10.0,13.0,2.0,10.0,5.0
mouth-of-grolantor,,6,giant (hill giant),Huge,14,105,,chaotic evil,,Volo's Guide to Monsters,,,,,,
alkilith,,11,fiend (demon),Medium,17,157,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
amnizu,,18,fiend (devil),Medium,21,202,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
elk,https://www.aidedd.org/dnd/monstres.php?vo=elk,1/4,beast,Large,10,13,,unaligned,,Monster Manual (SRD),16.0,10.0,12.0,2.0,10.0,6.0
goblin-boss,,1,humanoid (goblinoid),Small,17,21,,neutral evil,,Monster Manual,,,,,,
war-priest,,9,humanoid (any race),Medium,18,117,,any alignment,,Volo's Guide to Monsters,,,,,,
banderhobb,,5,monstrosity,Large,15,84,,neutral evil,,Volo's Guide to Monsters,,,,,,
green-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=green-dragon-wyrmling,2,dragon,Medium,17,38,"fly, swim",lawful evil,,Monster Manual (SRD),15.0,12.0,13.0,14.0,11.0,13.0
eidolon,,12,undead,Medium,9,63,fly,any alignment,,Mordenkainen's Tome of Foes,,,,,,
marut,,25,construct (inevitable),Large,22,432,fly,lawful neutral,,Mordenkainen's Tome of Foes,,,,,,
wereboar,https://www.aidedd.org/dnd/monstres.php?vo=wereboar,4,"humanoid (human, shapechanger)",Medium,10,78,,neutral evil,,Monster Manual (SRD),17.0,10.0,15.0,10.0,11.0,8.0
pteranodon,https://www.aidedd.org/dnd/monstres.php?vo=pteranodon,1/4,beast,Medium,13,13,fly,unaligned,,Monster Manual (SRD),12.0,15.0,10.0,2.0,9.0,5.0
young-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-bronze-dragon,8,dragon,Large,18,142,"fly, swim",lawful good,,Monster Manual (SRD),21.0,10.0,19.0,14.0,13.0,17.0
kruthik-hive-lord,,5,monstrosity,Large,20,102,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
darkling-elder,,2,fey,Medium,15,27,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
red-slaad,,5,aberration,Large,14,93,,chaotic neutral,,Monster Manual,,,,,,
octopus,https://www.aidedd.org/dnd/monstres.php?vo=octopus,0,beast,Small,12,3,swim,unaligned,,Monster Manual (SRD),4.0,15.0,11.0,3.0,10.0,4.0
mastiff,https://www.aidedd.org/dnd/monstres.php?vo=mastiff,1/8,beast,Medium,12,5,,unaligned,,Monster Manual (SRD),13.0,14.0,12.0,3.0,12.0,7.0
aboleth,https://www.aidedd.org/dnd/monstres.php?vo=aboleth,10,aberration,Large,17,135,swim,lawful evil,Legendary,Monster Manual (SRD),21.0,9.0,15.0,18.0,15.0,18.0
darkmantle,https://www.aidedd.org/dnd/monstres.php?vo=darkmantle,1/2,monstrosity,Small,11,22,fly,unaligned,,Monster Manual (SRD),16.0,12.0,13.0,2.0,10.0,5.0
iron-cobra,,4,construct,Medium,13,45,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
weasel,https://www.aidedd.org/dnd/monstres.php?vo=weasel,0,beast,Tiny,13,1,,unaligned,,Monster Manual (SRD),3.0,16.0,8.0,2.0,12.0,3.0
drow-favored-consort,,18,humanoid (elf),Medium,15,225,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
death-knight,,17,undead,Medium,20,180,,chaotic evil,,Monster Manual,,,,,,
quaggoth,,2,humanoid (quaggoth),Medium,13,45,,chaotic neutral,,Monster Manual,,,,,,
cyclops,https://www.aidedd.org/dnd/monstres.php?vo=cyclops,6,giant,Huge,14,138,,chaotic neutral,,Monster Manual (SRD),22.0,11.0,20.0,8.0,6.0,10.0
cloud-giant,https://www.aidedd.org/dnd/monstres.php?vo=cloud-giant,9,giant,Huge,14,200,,neutral good ,,Monster Manual (SRD),27.0,10.0,22.0,12.0,16.0,16.0
cave-fisher,,3,monstrosity,Medium,16,58,,unaligned,,Volo's Guide to Monsters,,,,,,
jaculi,,1/2,beast,Large,14,16,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
zariel,https://www.aidedd.org/dnd/monstres.php?vo=zariel,26,fiend (devil),Large,21,580,fly,lawful evil,Legendary,Mordenkainen's Tome of Foes,27.0,24.0,28.0,26.0,27.0,30.0
vine-blight,,1/2,plant,Medium,12,26,,neutral evil,,Monster Manual,,,,,,
young-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-blue-dragon,9,dragon,Large,18,152,fly,lawful evil,,Monster Manual (SRD),21.0,10.0,19.0,14.0,13.0,17.0
firenewt-warrior,,1/2,humanoid (firenewt),Medium,16,22,,neutral evil,,Volo's Guide to Monsters,,,,,,
werebear,https://www.aidedd.org/dnd/monstres.php?vo=werebear,5,"humanoid (human, shapechanger)",Medium,10,135,,neutral good,,Monster Manual (SRD),19.0,10.0,17.0,11.0,12.0,12.0
neogi-hatchling,,1/8,aberration,Tiny,11,7,,lawful evil,,Volo's Guide to Monsters,,,,,,
gorgon,https://www.aidedd.org/dnd/monstres.php?vo=gorgon,5,monstrosity,Large,19,114,,unaligned,,Monster Manual (SRD),20.0,11.0,18.0,2.0,12.0,7.0
baphomet,,23,fiend (demon),Huge,22,275,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
chain-devil,https://www.aidedd.org/dnd/monstres.php?vo=chain-devil,8,fiend (devil),Medium,16,85,,lawful evil,,Monster Manual (SRD),18.0,15.0,18.0,11.0,12.0,14.0
atropal,,13,undead (titan),Huge,7,225,fly,neutral evil,,Adventures (Tomb of Annihilation),,,,,,
mule,https://www.aidedd.org/dnd/monstres.php?vo=mule,1/8,beast,Medium,10,11,,unaligned,,Monster Manual (SRD),14.0,10.0,13.0,2.0,10.0,5.0
derro-savant,,3,humanoid (derro),Small,13,36,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
ogre-zombie,https://www.aidedd.org/dnd/monstres.php?vo=ogre-zombie,2,undead,Large,8,85,,neutral evil,,Monster Manual (SRD),19.0,6.0,18.0,3.0,6.0,5.0
green-abishai,,15,fiend (devil),Medium,18,187,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
the-hungry,,11,monstrosity,Medium,17,225,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
salamander,https://www.aidedd.org/dnd/monstres.php?vo=salamander,5,elemental,Large,15,90,,neutral evil,,Monster Manual (SRD),18.0,14.0,15.0,11.0,10.0,12.0
ultroloth,,13,fiend (yugoloth),Medium,19,153,fly,neutral evil,,Monster Manual,,,,,,
drow-house-captain,https://www.aidedd.org/dnd/monstres.php?vo=drow-house-captain,9,humanoid (elf),Medium,16,162,,neutral evil,,Mordenkainen's Tome of Foes,14.0,19.0,15.0,12.0,14.0,13.0
myconid-adult,,1/2,plant,Medium,12,22,,lawful neutral,,Monster Manual,,,,,,
duergar-kavalrachni,,2,humanoid (dwarf),Medium,16,26,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
orc-eye-of-gruumsh,https://www.aidedd.org/dnd/monstres.php?vo=orc-eye-of-gruumsh,2,humanoid (orc),Medium,16,45,,chaotic evil,,Monster Manual (BR),16.0,12.0,16.0,9.0,13.0,12.0
berbalang,,2,aberration,Medium,14,38,fly,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
grung,,1/4,humanoid (grung),Small,12,11,,lawful evil,,Volo's Guide to Monsters,,,,,,
star-spawn-larva-mage,,16,aberration,Medium,16,168,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
dybbuk,,4,fiend (demon),Medium,14,37,fly,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
helmed-horror,https://www.aidedd.org/dnd/monstres.php?vo=helmed-horror,4,construct,Medium,20,60,fly,neutral,,Monster Manual (BR),18.0,13.0,16.0,10.0,10.0,10.0
grung-wildling,,1,humanoid (grung),Small,13,27,,lawful evil,,Volo's Guide to Monsters,,,,,,
young-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-white-dragon,6,dragon,Large,17,133,"fly, swim",chaotic evil,,Monster Manual (SRD),18.0,10.0,18.0,6.0,11.0,12.0
kamadan,,4,monstrosity,Large,13,67,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
giant-vulture,https://www.aidedd.org/dnd/monstres.php?vo=giant-vulture,1,beast,Large,10,22,fly,neutral evil,,Monster Manual (SRD),15.0,10.0,15.0,6.0,12.0,7.0
trapper,,3,monstrosity,Large,13,85,,unaligned,,Volo's Guide to Monsters,,,,,,
wild-dog,https://www.aidedd.org/dnd/monstres.php?vo=wild-dog,1/8,beast,Medium,12,5,,unaligned,,Extra (Adventurers League),13.0,14.0,12.0,3.0,12.0,7.0
abominable-yeti,,9,monstrosity,Huge,15,137,,chaotic evil,,Monster Manual,,,,,,
ulitharid,,9,aberration,Large,15,127,,lawful evil,,Volo's Guide to Monsters,,,,,,
glabrezu,https://www.aidedd.org/dnd/monstres.php?vo=glabrezu,9,fiend (demon),Large,17,157,,chaotic evil,,Monster Manual (SRD),20.0,15.0,21.0,19.0,17.0,16.0
adult-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-bronze-dragon,15,dragon,Huge,19,212,"fly, swim",lawful good,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0
tiamat,,30,fiend,Gargantuan,25,615,fly,chaotic evil,,Adventures (Tyranny of Dragons),,,,,,
tiger,https://www.aidedd.org/dnd/monstres.php?vo=tiger,1,beast,Large,12,37,,unaligned,,Monster Manual (SRD),17.0,15.0,14.0,3.0,12.0,8.0
remorhaz,https://www.aidedd.org/dnd/monstres.php?vo=remorhaz,11,monstrosity,Huge,17,195,,unaligned,,Monster Manual (SRD),24.0,13.0,21.0,4.0,10.0,5.0
kenku,https://www.aidedd.org/dnd/monstres.php?vo=kenku,1/4,humanoid (kenku),Medium,13,13,,chaotic neutral,,Monster Manual (BR),10.0,16.0,10.0,11.0,10.0,10.0
ancient-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-gold-dragon,24,dragon,Gargantuan,22,546,"fly, swim",lawful good,Legendary,Monster Manual (SRD),30.0,14.0,29.0,18.0,17.0,28.0
hill-giant,https://www.aidedd.org/dnd/monstres.php?vo=hill-giant,5,giant,Huge,13,105,,chaotic evil,,Monster Manual (SRD),21.0,8.0,19.0,5.0,9.0,6.0
knight,https://www.aidedd.org/dnd/monstres.php?vo=knight,3,humanoid (any race),Medium,18,52,,any alignment,,Monster Manual (SRD),16.0,11.0,14.0,11.0,11.0,15.0
githyanki-kith--rak,,12,humanoid (gith),Medium,18,180,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
allip,,5,undead,Medium,13,40,fly,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
