name,cr,type,size,ac,hp,speed,Walk Speed,Swim Speed,Fly Speed,Climb Speed,Burrow Speed,align,legendary,source,str,dex,con,int,wis,cha
axe-beak,1/4,beast,Large,11,19,,,,,,,unaligned,,Monster Manual (SRD),14,12,12,2,10,5
azer,2,elemental,Medium,17,39,,,,,,,lawful neutral,,Monster Manual (SRD),17,12,15,12,13,10
babau,4,fiend (demon),Medium,16,82,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
baboon,0,beast,Small,12,3,,,,,,,unaligned,,Monster Manual (SRD),8,14,11,4,12,6
badger,0,beast,Tiny,10,3,,,,,,,unaligned,,Monster Manual (SRD),4,11,12,2,12,5
bael,19,fiend (devil),Large,18,189,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
balhannoth,11,aberration,Large,17,114,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
balor,19,fiend (demon),Huge,19,262,fly,,,,,,chaotic evil,,Monster Manual (SRD),26,15,22,20,16,22
banderhobb,5,monstrosity,Large,15,84,,,,,,,neutral evil,,Volo's Guide to Monsters,,,,,,
bandit,1/8,humanoid,Medium,12,11,walk,30,0,0,0,0,any non-lawful alignment,,Monster Manual (SRD),11,12,12,10,10,10
bandit-captain,2,humanoid,Medium,15,65,walk,30,0,0,0,0,any non-lawful alignment,,Monster Manual (SRD),15,16,14,14,11,14
banshee,4,undead,Medium,12,58,fly,,,,,,chaotic evil,,Monster Manual (SRD),1,14,10,12,11,17
baphomet,23,fiend (demon),Huge,22,275,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
barbed-devil,5,fiend (devil),Medium,15,110,,,,,,,lawful evil,,Monster Manual (SRD),16,17,18,12,14,14
bard,2,humanoid,Medium,15,44,walk,30,0,0,0,0,any alignment,,Volo's Guide to Monsters,11,14,12,10,13,14
barghest,4,fiend ,Large,17,90,,,,,,,neutral evil,,Volo's Guide to Monsters,19,15,14,13,12,14
barlgura,5,fiend (demon),Large,15,68,,,,,,,chaotic evil,,Monster Manual (BR),18,15,16,7,14,9
basilisk,3,monstrosity,Medium,15,52,,,,,,,unaligned,,Monster Manual (SRD),16,8,15,2,8,7
bat,0,beast,Tiny,12,1,fly,,,,,,unaligned,,Monster Manual (SRD),2,15,8,2,12,4
bearded-devil,3,fiend (devil),Medium,13,52,,,,,,,lawful evil,,Monster Manual (SRD),16,15,15,9,11,11
behir,11,monstrosity,Huge,17,168,,,,,,,neutral evil,,Monster Manual (SRD),23,16,18,7,14,12
beholder,13,aberration,Large,18,180,fly,,,,,,lawful evil,Legendary,Monster Manual,,,,,,
beholder-zombie,5,undead,Large,15,93,fly,,,,,,neutral evil,,Monster Manual,,,,,,
belaphoss,20,fiend (demon),Huge,19,262,fly,,,,,,chaotic evil,,Extra (Dragon Mag),26,15,22,20,16,22
berbalang,2,aberration,Medium,14,38,fly,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
berserker,2,humanoid,Medium,13,67,walk,30,0,0,0,0,any chaotic alignment,,Monster Manual (SRD),16,12,17,9,11,9
bheur-hag,7,fey,Medium,17,91,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
black-abishai,7,fiend (devil),Medium,15,58,fly,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
black-bear,1/2,beast,Medium,11,19,,,,,,,unaligned,,Monster Manual (SRD),15,10,14,2,12,7
black-dragon-wyrmling,2,dragon,Medium,17,33,"fly, swim",,,,,,chaotic evil,,Monster Manual (SRD),15,14,13,10,11,13
black-gauntlet-of-bane,6,humanoid,Medium,16,51,walk,30,0,0,0,0,lawful evil,,Adventures (Descent into Avernus),18,11,18,12,15,18
black-pudding,4,ooze,Large,7,85,,,,,,,unaligned,,Monster Manual (SRD),16,5,16,1,6,1
blackguard,8,humanoid,Medium,18,153,walk,30,0,0,0,0,any non-good alignment,,Volo's Guide to Monsters,18,11,18,11,14,15
blink-dog,1/4,fey,Medium,13,22,,,,,,,lawful good,,Monster Manual (SRD),12,17,12,10,13,11
blood-hawk,1/8,beast,Small,12,7,fly,,,,,,unaligned,,Monster Manual (SRD),6,14,10,3,14,5
blue-abishai,17,fiend (devil),Medium,19,195,fly,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
blue-dragon-wyrmling,3,dragon,Medium,17,52,fly,,,,,,lawful evil,,Monster Manual (SRD),17,10,15,12,11,15
blue-slaad,7,aberration,Large,15,123,,,,,,,chaotic neutral,,Monster Manual,,,,,,
boar,1/4,beast,Medium,11,11,,,,,,,unaligned,,Monster Manual (SRD),13,11,12,2,9,5
bodak,6,undead,Medium,15,58,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
boggle,1/8,fey,Small,14,18,,,,,,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
bone-devil,9,fiend (devil),Large,19,142,fly,,,,,,lawful evil,,Monster Manual (SRD),18,16,18,13,14,16
bone-naga,4,undead,Large,15,58,,,,,,,lawful evil,,Monster Manual,,,,,,
boneclaw,12,undead,Large,16,127,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
brass-dragon-wyrmling,1,dragon,Medium,16,16,fly,,,,,,chaotic good,,Monster Manual (SRD),15,10,13,10,11,13
brontosaurus,5,beast,Gargantuan,15,121,,,,,,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
bronze-dragon-wyrmling,2,dragon,Medium,17,32,"fly, swim",,,,,,lawful good,,Monster Manual (SRD),17,10,15,12,11,15
brown-bear,1,beast,Large,11,34,,,,,,,unaligned,,Monster Manual (SRD),19,10,16,2,13,7
bugbear,1,humanoid,Medium,16,27,walk,30,0,0,0,0,chaotic evil,,Monster Manual (SRD),15,14,13,8,11,9
bugbear-chief,3,humanoid,Medium,17,65,walk,30,0,0,0,0,chaotic evil,,Monster Manual,17,14,14,11,12,11
bulette,5,monstrosity,Large,17,94,,,,,,,unaligned,,Monster Manual (SRD),19,11,21,2,10,5
bulezau,3,fiend (demon),Medium,14,52,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
bullywug,1/4,humanoid,Medium,15,11,"walk, swim",20,40,0,0,0,neutral evil,,Monster Manual (BR),12,12,13,7,10,7
cadaver-collector,14,construct,Large,17,189,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
cambion,5,fiend,Medium,19,82,fly,,,,,,any evil alignment,,Monster Manual,,,,,,
camel,1/8,beast,Large,9,15,,,,,,,unaligned,,Monster Manual (SRD),16,8,14,2,8,5
canoloth,8,fiend (yugoloth),Medium,16,120,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
carrion-crawler,2,monstrosity,Large,13,51,,,,,,,unaligned,,Monster Manual,,,,,,
cat,0,beast,Tiny,12,2,,,,,,,unaligned,,Monster Manual (SRD),3,15,10,3,12,7
catoblepas,5,monstrosity,Large,14,84,,,,,,,unaligned,,Volo's Guide to Monsters,,,,,,
cave-fisher,3,monstrosity,Medium,16,58,,,,,,,unaligned,,Volo's Guide to Monsters,,,,,,
centaur,2,monstrosity,Large,12,45,,,,,,,neutral good,,Monster Manual (SRD),18,14,14,9,13,11
chain-devil,8,fiend (devil),Medium,16,85,,,,,,,lawful evil,,Monster Manual (SRD),18,15,18,11,12,14
champion,9,humanoid,Medium,18,143,,,,,,,any alignment,,Volo's Guide to Monsters,,,,,,
chasme,6,fiend (demon),Large,15,84,fly,,,,,,chaotic evil,,Monster Manual,,,,,,
chimera,6,monstrosity,Large,14,114,fly,,,,,,chaotic evil,,Monster Manual (SRD),19,11,19,3,14,10
chitine,1/2,monstrosity,Small,14,18,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
choker,1,aberration,Small,16,13,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
choldrith,3,monstrosity,Medium,15,66,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
chuul,4,aberration,Large,16,93,swim,,,,,,chaotic evil,,Monster Manual (SRD),19,10,16,5,11,5
clay-golem,9,construct,Large,14,133,,,,,,,unaligned,,Monster Manual (SRD),20,9,18,3,8,1
cloaker,8,aberration,Large,14,78,fly,,,,,,chaotic neutral,,Monster Manual (SRD),17,15,12,13,12,14
cloud-giant,9,giant,Huge,14,200,,,,,,,neutral good ,,Monster Manual (SRD),27,10,22,12,16,16
cloud-giant-smiling-one,11,giant,Huge,15,262,,,,,,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
cockatrice,1/2,monstrosity,Small,11,27,fly,,,,,,unaligned,,Monster Manual (SRD),6,12,12,2,13,5
commoner,0,humanoid,Medium,10,4,,,,,,,any alignment,,Monster Manual (SRD),10,10,10,10,10,10
conjurer,6,humanoid,Medium,12,40,,,,,,,any alignment,,Volo's Guide to Monsters,,,,,,
constrictor-snake,1/4,beast,Large,12,13,swim,,,,,,unaligned,,Monster Manual (SRD),15,14,12,1,10,3
copper-dragon-wyrmling,1,dragon,Medium,16,22,fly,,,,,,chaotic good,,Monster Manual (SRD),15,12,13,14,11,13
corpse-flower,8,plant,Large,12,127,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
couatl,4,celestial,Medium,19,97,fly,,,,,,lawful good,,Monster Manual (SRD),16,20,17,18,20,18
cow,1/4,beast,Large,10,15,,,,,,,unaligned,,Volo's Guide to Monsters,18,10,14,2,10,4
crab,0,beast,Tiny,11,2,swim,,,,,,unaligned,,Monster Manual (SRD),2,11,10,1,8,2
crag-cat,1,beast,Large,13,34,,,,,,,unaligned,,Adventures (Storm King's Thunder),,,,,,
cranium-rat,0,beast,Tiny,12,2,,,,,,,lawful evil,,Volo's Guide to Monsters,,,,,,
crawling-claw,0,undead,Tiny,12,2,,,,,,,neutral evil,,Monster Manual (BR),13,14,11,5,10,4
crocodile,1/2,beast,Large,12,19,swim,,,,,,unaligned,,Monster Manual (SRD),15,10,13,2,10,5
crokek-toeck,14,fiend (demon),Gargantuan,15,297,swim,,,,,,chaotic evil,,Adventures (Descent into Avernus),,,,,,
cult-fanatic,2,humanoid,Medium,13,33,,,,,,,any non-good alignment,,Monster Manual (SRD),11,14,12,10,13,14
cultist,1/8,humanoid,Medium,12,9,,,,,,,any non-good alignment,,Monster Manual (SRD),11,12,10,10,11,10
cyclops,6,giant,Huge,14,138,,,,,,,chaotic neutral,,Monster Manual (SRD),22,11,20,8,6,10
dao,11,elemental,Large,18,187,fly,,,,,,neutral evil,,Monster Manual (BR),23,12,24,12,13,14
darkling,1/2,fey,Small,14,13,,,,,,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
darkling-elder,2,fey,Medium,15,27,,,,,,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
darkmantle,1/2,monstrosity,Small,11,22,fly,,,,,,unaligned,,Monster Manual (SRD),16,12,13,2,10,5
death-dog,1,monstrosity,Medium,12,39,,,,,,,neutral evil,,Monster Manual (SRD),15,14,14,3,13,6
death-kiss,10,aberration,Large,16,161,fly,,,,,,neutral evil,,Volo's Guide to Monsters,,,,,,
death-knight,17,undead,Medium,20,180,,,,,,,chaotic evil,,Monster Manual,,,,,,
death-slaad,10,aberration ,Medium,18,170,,,,,,,chaotic evil,,Monster Manual,,,,,,
death-tyrant,14,undead,Large,19,187,fly,,,,,,lawful evil,Legendary,Monster Manual,,,,,,
death-s-head-of-bhaal,5,humanoid,Medium,15,76,,,,,,,chaotic evil,,Adventures (Descent into Avernus),,,,,,
deathlock,4,undead,Medium,12,36,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
deathlock-mastermind,8,undead,Medium,13,110,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
deathlock-wight,3,undead,Medium,12,37,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
deep-gnome-svirfneblin,1/2,humanoid,Small,15,16,,,,,,,neutral good,,Monster Manual (SRD),15,14,14,12,10,9
deep-scion,3,humanoid,Medium,11,67,swim,,,,,,neutral evil,,Volo's Guide to Monsters,,,,,,
deer,0,beast,Medium,13,4,,,,,,,unaligned,,Monster Manual (SRD),11,16,11,2,14,5
deinonychus,1,beast,Medium,13,26,,,,,,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
demilich,18,undead,Tiny,20,80,fly,,,,,,neutral evil,Legendary,Monster Manual,,,,,,
demogorgon,26,fiend (demon),Huge,22,406,swim,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
derro,1/4,humanoid,Small,13,13,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
derro-savant,3,humanoid,Small,13,36,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
deva,10,celestial,Medium,17,136,fly,,,,,,lawful good,,Monster Manual (SRD),18,18,18,17,20,20
devilroot,7,plant,Medium,15,105,,,,,,,neutral evil,,Extra (AideDD),17,11,17,12,14,14
devourer,13,fiend,Large,16,178,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
dhergoloth,7,fiend (yugoloth),Medium,15,119,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
dimetrodon,1/4,beast,Medium,12,19,swim,,,,,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
dire-troll,13,giant,Huge,15,172,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
dire-wolf,1,beast,Large,14,37,,,,,,,unaligned,,Monster Manual (SRD),17,15,15,3,12,7
displacer-beast,3,monstrosity,Large,13,85,,,,,,,lawful evil,,Monster Manual,,,,,,
diviner,8,humanoid,Medium,12,67,,,,,,,any alignment,,Volo's Guide to Monsters,,,,,,
djinni,11,elemental,Large,17,161,fly,,,,,,chaotic good,,Monster Manual (SRD),21,15,22,15,16,20
dolphin,1/8,beast,Medium,12,11,swim,,,,,,unaligned,,Volo's Guide to Monsters,14,13,13,6,12,7
doppelganger,3,monstrosity ,Medium,14,52,,,,,,,neutral,,Monster Manual (SRD),11,18,14,11,12,14
draegloth,7,fiend (demon),Large,15,123,,,,,,,chaotic evil,,Volo's Guide to Monsters,,,,,,
draft-horse,1/4,beast,Large,10,19,,,,,,,unaligned,,Monster Manual (SRD),18,10,12,2,11,7
dragon-turtle,17,dragon,Gargantuan,20,341,swim,,,,,,neutral,,Monster Manual (SRD),25,10,20,10,12,12
dragonbait,5,humanoid,Medium,17,120,,,,,,,lawful good,,Adventures (Tomb of Annihilation),,,,,,
dretch,1/4,fiend (demon),Small,11,18,,,,,,,chaotic evil,,Monster Manual (SRD),11,11,12,5,8,3
drider,6,monstrosity,Large,19,123,,,,,,,chaotic evil,,Monster Manual (SRD),16,16,18,13,14,12
drow,1/4,humanoid,Medium,15,13,,,,,,,neutral evil,,Monster Manual (SRD),10,14,10,11,11,12
drow-arachnomancer,13,humanoid,Medium,15,162,,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
drow-elite-warrior,5,humanoid,Medium,18,71,,,,,,,neutral evil,,Monster Manual,,,,,,
drow-favored-consort,18,humanoid,Medium,15,225,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
drow-house-captain,9,humanoid,Medium,16,162,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,14,19,15,12,14,13
drow-inquisitor,14,humanoid,Medium,16,143,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,11,15,14,16,21,20
drow-mage,7,humanoid,Medium,12,45,,,,,,,neutral evil,,Monster Manual (BR),9,14,10,17,13,12
drow-matron-mother,20,humanoid,Medium,17,262,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
drow-priestress-of-lolth,8,humanoid,Medium,16,71,,,,,,,neutral evil,,Monster Manual,,,,,,
drow-shadowblade,11,humanoid,Medium,17,150,,,,,,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
druid,2,humanoid,Medium,11,27,,,,,,,any alignment,,Monster Manual (SRD),10,12,13,12,15,11
dryad,1,fey,Medium,11,22,,,,,,,neutral,,Monster Manual (SRD),10,12,11,14,15,18
duergar,1,humanoid,Medium,16,26,,,,,,,lawful evil,,Monster Manual (SRD),14,11,14,11,10,9
duergar-despot,12,humanoid,Medium,21,119,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-kavalrachni,2,humanoid,Medium,16,26,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-mind-master,2,humanoid,Medium,14,39,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-soulblade,1,humanoid,Medium,14,18,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-stone-guard,2,humanoid,Medium,18,39,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-warlord,6,humanoid,Medium,20,75,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duergar-xarrorn,2,humanoid,Medium,18,26,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
duodrone,1/4,construct,Medium,15,11,,,,,,,lawful neutral,,Monster Manual,,,,,,
dust-mephit,1/2,elemental,Small,12,17,fly,,,,,,neutral evil,,Monster Manual (SRD),5,14,10,9,11,10
dybbuk,4,fiend (demon),Medium,14,37,fly,,,,,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
eagle,0,beast,Small,12,3,fly,,,,,,unaligned,,Monster Manual (SRD),6,15,10,2,14,7
earth-elemental,5,elemental,Large,17,126,,,,,,,neutral,,Monster Manual (SRD),20,8,20,5,10,5
earth-elemental-myrmidon,7,elemental,Medium,18,127,,,,,,,neutral,,Mordenkainen's Tome of Foes,,,,,,
eblis,1,monstrosity,Large,13,26,fly,,,,,,neutral evil,,Adventures (Tomb of Annihilation),,,,,,
efreeti,11,elemental,Large,17,200,fly,,,,,,lawful evil,,Monster Manual (SRD),22,12,24,16,15,16
eidolon,12,undead,Medium,9,63,fly,,,,,,any alignment,,Mordenkainen's Tome of Foes,,,,,,
elder-brain,14,aberration,Large,10,210,swim,,,,,,lawful evil,Legendary,Volo's Guide to Monsters,,,,,,
elder-oblex,10,ooze,Huge,16,115,,,,,,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
elder-tempest,23,elemental,Gargantuan,19,264,fly,,,,,,neutral,,Mordenkainen's Tome of Foes,,,,,,
elephant,4,beast,Huge,12,76,,,,,,,unaligned,,Monster Manual (SRD),22,9,17,3,11,6
elk,1/4,beast,Large,10,13,,,,,,,unaligned,,Monster Manual (SRD),16,10,12,2,10,6
empyrean,23,celestial,Huge,22,313,"fly, swim",,,,,,chaotic good ,Legendary,Monster Manual,,,,,,
enchanter,5,humanoid,Medium,12,40,,,,,,,any alignment,,Volo's Guide to Monsters,,,,,,
erinyes,12,fiend (devil),Medium,18,153,fly,,,,,,lawful evil,,Monster Manual (SRD),18,16,18,14,14,18
ettercap,2,monstrosity,Medium,13,44,,,,,,,neutral evil,,Monster Manual (SRD),14,15,13,7,12,8
ettin,4,giant,Large,12,85,,,,,,,chaotic evil,,Monster Manual (SRD),21,8,17,6,10,8
evoker,9,humanoid,Medium,12,66,,,,,,,any alignment,,Volo's Guide to Monsters,,,,,,
expert-lvl-1,0,humanoid,Medium,14,11,,,,,,,any alignment,,Essentials Kit,,,,,,
expert-lvl-2,0,humanoid,Medium,14,16,,,,,,,any alignment,,Essentials Kit,,,,,,
expert-lvl-3,0,humanoid,Medium,14,22,,,,,,,any alignment,,Essentials Kit,,,,,,
expert-lvl-4,0,humanoid,Medium,14,27,,,,,,,any alignment,,Essentials Kit,,,,,,
expert-lvl-5,0,humanoid,Medium,14,33,,,,,,,any alignment,,Essentials Kit,,,,,,
expert-lvl-6,0,humanoid,Medium,14,38,,,,,,,any alignment,,Essentials Kit,,,,,,
faerie-dragon,1,dragon,Tiny,15,14,fly,,,,,,chaotic good,,Monster Manual,,,,,,
female-steeder,1,monstrosity,Large,14,30,,,,,,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
fire-elemental,5,elemental,Large,13,102,,,,,,,neutral,,Monster Manual (SRD),10,17,16,6,10,7
