,name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing
133,cloud-giant-smiling-one,,14,giant (cloud giant),Huge,15,262,,chaotic neutral,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
205,duergar-mind-master,,5,humanoid (dwarf),Medium,14,39,,lawful evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
460,myconid-sovereign,,5,plant,Large,13,60,,lawful neutral,,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
232,expert-lvl-3,,3,humanoid (any race),Medium,14,22,,any alignment,,Essentials Kit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
379,imix,,22,elemental,Huge,17,325,fly,neutral evil,,Adventures (Princes of the Apocalypse),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
1,abjurer,,12,humanoid (any race),Medium,12,84,,any alignment,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
639,sword-wraith-warrior,,6,undead,Medium,16,45,,lawful evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
578,skeleton,https://www.aidedd.org/dnd/monstres.php?vo=skeleton,1,undead,Medium,13,13,,lawful evil,,Monster Manual (SRD),10.0,14.0,15.0,6.0,8.0,5.0,0,0,0,0,0,0
30,ancient-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-blue-dragon,26,dragon,Gargantuan,22,481,fly,lawful evil,Legendary,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0,0,0,0,0,0,0
532,quetzalcoatlus,https://www.aidedd.org/dnd/monstres.php?vo=quetzalcoatlus,5,beast,Huge,13,30,fly,unaligned,,Volo's Guide to Monsters,15.0,13.0,13.0,2.0,10.0,5.0,0,0,0,0,0,0
367,horned-devil,https://www.aidedd.org/dnd/monstres.php?vo=horned-devil,14,fiend (devil),Large,18,178,fly,lawful evil,,Monster Manual (SRD),22.0,17.0,21.0,12.0,16.0,17.0,0,0,0,0,0,0
59,awakened-tree,https://www.aidedd.org/dnd/monstres.php?vo=awakened-tree,5,plant,Huge,13,59,,unaligned,,Monster Manual (SRD),19.0,6.0,15.0,10.0,10.0,7.0,0,0,0,0,0,0
647,the-lost,,10,monstrosity,Medium,15,78,,neutral evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
319,gnoll-hunter,,2,humanoid (gnoll),Medium,13,22,,chaotic evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
386,jackal,https://www.aidedd.org/dnd/monstres.php?vo=jackal,3,beast,Small,12,3,,unaligned,,Monster Manual (SRD),8.0,15.0,11.0,3.0,12.0,6.0,0,0,0,0,0,0
506,owl,https://www.aidedd.org/dnd/monstres.php?vo=owl,3,beast,Tiny,11,1,fly,unaligned,,Monster Manual (SRD),3.0,13.0,8.0,2.0,12.0,7.0,0,0,0,0,0,0
752,yuan-ti-broodguard,,5,humanoid (yuan-ti),Medium,14,45,,neutral evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
533,quickling,,4,fey,Tiny,16,10,,chaotic evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
438,meenlock,,5,fey,Small,15,31,,neutral evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
237,female-steeder,,4,monstrosity,Large,14,30,,unaligned,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
503,orog,https://www.aidedd.org/dnd/monstres.php?vo=orog,5,humanoid (orc),Medium,18,42,,chaotic evil,,Monster Manual (BR),18.0,12.0,18.0,12.0,11.0,12.0,0,0,0,0,0,0
186,dragon-turtle,https://www.aidedd.org/dnd/monstres.php?vo=dragon-turtle,20,dragon,Gargantuan,20,341,swim,neutral,,Monster Manual (SRD),25.0,10.0,20.0,10.0,12.0,12.0,0,0,0,0,0,0
206,duergar-soulblade,,4,humanoid (dwarf),Medium,14,18,,lawful evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
684,veteran,https://www.aidedd.org/dnd/monstres.php?vo=veteran,6,humanoid (any race),Medium,17,58,,any alignment,,Monster Manual (SRD),16.0,13.0,14.0,10.0,11.0,10.0,0,0,0,0,0,0
662,tribal-warrior,https://www.aidedd.org/dnd/monstres.php?vo=tribal-warrior,0,humanoid (any race),Medium,12,11,,any alignment,,Monster Manual (SRD),13.0,11.0,12.0,8.0,11.0,8.0,0,0,0,0,0,0
234,expert-lvl-5,,3,humanoid (any race),Medium,14,33,,any alignment,,Essentials Kit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
8,adult-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-blue-dragon,19,dragon,Huge,19,225,fly,lawful evil,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0,0,0,0,0,0,0
408,lamia,https://www.aidedd.org/dnd/monstres.php?vo=lamia,7,monstrosity,Large,13,97,,chaotic evil,,Monster Manual (SRD),16.0,13.0,15.0,14.0,15.0,16.0,0,0,0,0,0,0
303,girallon,,7,monstrosity,Large,13,59,,unaligned,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
126,chitine,,2,monstrosity,Small,14,18,,chaotic evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
184,draegloth,,10,fiend (demon),Large,15,123,,chaotic evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
20,air-elemental-myrmidon,,10,elemental,Medium,18,117,fly,neutral,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
85,berserker,https://www.aidedd.org/dnd/monstres.php?vo=berserker,5,humanoid (any race),Medium,13,67,,any chaotic alignment,,Monster Manual (SRD),16.0,12.0,17.0,9.0,11.0,9.0,0,0,0,0,0,0
41,animated-armor,https://www.aidedd.org/dnd/monstres.php?vo=animated-armor,4,construct,Medium,18,33,,unaligned,,Monster Manual (SRD),14.0,11.0,13.0,1.0,3.0,1.0,0,0,0,0,0,0
677,vampiric-mist,,6,undead,Medium,13,30,fly,chaotic evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
720,winter-wolf,https://www.aidedd.org/dnd/monstres.php?vo=winter-wolf,6,monstrosity,Large,13,75,,neutral evil,,Monster Manual (SRD),18.0,13.0,14.0,7.0,12.0,8.0,0,0,0,0,0,0
632,swarm-of-poisonous-snakes,https://www.aidedd.org/dnd/monstres.php?vo=swarm-of-poisonous-snakes,5,swarm of Tiny beasts,Medium,14,36,swim,unaligned,,Monster Manual (SRD),8.0,18.0,11.0,1.0,10.0,3.0,0,0,0,0,0,0
255,frog,https://www.aidedd.org/dnd/monstres.php?vo=frog,3,beast,Tiny,11,1,swim,unaligned,,Monster Manual (SRD),1.0,13.0,8.0,1.0,8.0,3.0,0,0,0,0,0,0
215,earth-elemental-myrmidon,,10,elemental,Medium,18,127,,neutral,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
214,earth-elemental,https://www.aidedd.org/dnd/monstres.php?vo=earth-elemental,8,elemental,Large,17,126,,neutral,,Monster Manual (SRD),20.0,8.0,20.0,5.0,10.0,5.0,0,0,0,0,0,0
118,cat,https://www.aidedd.org/dnd/monstres.php?vo=cat,3,beast,Tiny,12,2,,unaligned,,Monster Manual (SRD),3.0,15.0,10.0,3.0,12.0,7.0,0,0,0,0,0,0
414,lizard,https://www.aidedd.org/dnd/monstres.php?vo=lizard,3,beast,Tiny,10,2,,unaligned,,Monster Manual (SRD),2.0,11.0,10.0,1.0,8.0,3.0,0,0,0,0,0,0
362,hobgoblin-devastator,,7,humanoid (goblinoid),Medium,13,45,,lawful evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
253,fomorian,,11,giant,Huge,14,149,,chaotic evil,,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
679,vegepygmy,,1,plant,Small,13,9,,neutral,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
31,ancient-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-brass-dragon,23,dragon,Gargantuan,20,297,fly,chaotic good,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,15.0,19.0,0,0,0,0,0,0
521,pony,https://www.aidedd.org/dnd/monstres.php?vo=pony,0,beast,Medium,10,11,,unaligned,,Monster Manual (SRD),15.0,10.0,13.0,2.0,11.0,7.0,0,0,0,0,0,0
536,rat,https://www.aidedd.org/dnd/monstres.php?vo=rat,3,beast,Tiny,10,1,,unaligned,,Monster Manual (SRD),2.0,11.0,9.0,2.0,10.0,4.0,0,0,0,0,0,0
73,barbed-devil,https://www.aidedd.org/dnd/monstres.php?vo=barbed-devil,8,fiend (devil),Medium,15,110,,lawful evil,,Monster Manual (SRD),16.0,17.0,18.0,12.0,14.0,14.0,0,0,0,0,0,0
289,giant-rat,https://www.aidedd.org/dnd/monstres.php?vo=giant-rat,0,beast,Small,12,7,,unaligned,,Monster Manual (SRD),7.0,15.0,11.0,2.0,10.0,4.0,0,0,0,0,0,0
257,frost-giant,https://www.aidedd.org/dnd/monstres.php?vo=frost-giant,11,giant,Huge,15,138,,neutral evil,,Monster Manual (SRD),23.0,9.0,21.0,9.0,10.0,12.0,0,0,0,0,0,0
464,nalfeshnee,https://www.aidedd.org/dnd/monstres.php?vo=nalfeshnee,16,fiend (demon),Large,18,184,fly,chaotic evil,,Monster Manual (SRD),21.0,10.0,22.0,19.0,12.0,15.0,0,0,0,0,0,0
140,couatl,https://www.aidedd.org/dnd/monstres.php?vo=couatl,7,celestial,Medium,19,97,fly,lawful good,,Monster Manual (SRD),16.0,20.0,17.0,18.0,20.0,18.0,0,0,0,0,0,0
260,galeb-duhr,https://www.aidedd.org/dnd/monstres.php?vo=galeb-duhr,9,elemental,Medium,16,85,,neutral,,Monster Manual (BR),20.0,14.0,20.0,11.0,12.0,11.0,0,0,0,0,0,0
231,expert-lvl-2,,3,humanoid (any race),Medium,14,16,,any alignment,,Essentials Kit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
109,bugbear-chief,,6,humanoid (goblinoid),Medium,17,65,,chaotic evil,,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
739,young-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-brass-dragon,9,dragon,Large,17,110,fly,chaotic good,,Monster Manual (SRD),19.0,10.0,17.0,12.0,11.0,15.0,0,0,0,0,0,0
725,wyvern,https://www.aidedd.org/dnd/monstres.php?vo=wyvern,9,dragon,Large,13,110,fly,unaligned,,Monster Manual (SRD),19.0,10.0,16.0,5.0,12.0,6.0,0,0,0,0,0,0
281,giant-four-armed-gargoyle,,13,elemental,Large,17,147,fly,chaotic evil,,Adventures (Tomb of Annihilation),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
393,ki-rin,,15,celestial,Huge,20,152,fly,lawful good,Legendary,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
610,star-spawn-hulk,,13,aberration,Large,16,136,,chaotic evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
197,drow-matron-mother,,23,humanoid (elf),Medium,17,262,,neutral evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
426,mantrap,,4,plant,Large,12,45,,unaligned,,Adventures (Tomb of Annihilation),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
268,ghost,https://www.aidedd.org/dnd/monstres.php?vo=ghost,7,undead,Medium,11,45,fly,any alignment,,Monster Manual (SRD),7.0,13.0,10.0,10.0,12.0,17.0,0,0,0,0,0,0
295,giant-toad,https://www.aidedd.org/dnd/monstres.php?vo=giant-toad,4,beast,Large,11,39,swim,unaligned,,Monster Manual (SRD),15.0,13.0,13.0,2.0,10.0,3.0,0,0,0,0,0,0
375,ice-devil,https://www.aidedd.org/dnd/monstres.php?vo=ice-devil,17,fiend (devil),Large,18,180,,lawful evil,,Monster Manual (SRD),21.0,14.0,18.0,18.0,15.0,18.0,0,0,0,0,0,0
213,eagle,https://www.aidedd.org/dnd/monstres.php?vo=eagle,3,beast,Small,12,3,fly,unaligned,,Monster Manual (SRD),6.0,15.0,10.0,2.0,14.0,7.0,0,0,0,0,0,0
442,merrow,https://www.aidedd.org/dnd/monstres.php?vo=merrow,5,monstrosity,Large,13,45,swim,chaotic evil,,Monster Manual (SRD),18.0,10.0,15.0,8.0,10.0,9.0,0,0,0,0,0,0
397,kobold-dragonshield,,4,humanoid (kobold),Small,15,44,,lawful evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
495,orc,https://www.aidedd.org/dnd/monstres.php?vo=orc,2,humanoid (orc),Medium,13,15,,chaotic evil,,Monster Manual (SRD),16.0,12.0,16.0,7.0,11.0,10.0,0,0,0,0,0,0
463,nagpa,,20,humanoid (nagpa),Medium,19,187,,neutral evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
422,mammoth,https://www.aidedd.org/dnd/monstres.php?vo=mammoth,9,beast,Huge,13,126,,unaligned,,Monster Manual (SRD),24.0,9.0,21.0,3.0,11.0,6.0,0,0,0,0,0,0
5,acolyte,https://www.aidedd.org/dnd/monstres.php?vo=acolyte,1,humanoid (any race),Medium,10,9,,any alignment,,Monster Manual (SRD),10.0,10.0,10.0,10.0,14.0,11.0,0,0,0,0,0,0
39,ancient-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-white-dragon,23,dragon,Gargantuan,20,333,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),26.0,10.0,26.0,10.0,13.0,14.0,0,0,0,0,0,0
657,tortle-druid,,5,humanoid (tortle),Medium,17,33,,lawful neutral,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
445,mind-flayer,,10,aberration,Medium,15,71,,lawful evil,,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
530,quaggoth-spore-servant,,4,plant,Medium,13,45,,unaligned,,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
584,smoke-mephit,https://www.aidedd.org/dnd/monstres.php?vo=smoke-mephit,1,elemental,Small,12,22,fly,neutral evil,,Monster Manual (SRD),6.0,14.0,12.0,10.0,10.0,11.0,0,0,0,0,0,0
753,yuan-ti-malison,https://www.aidedd.org/dnd/monstres.php?vo=yuan-ti-malison,6,"monstrosity (shapechanger, yuan-ti)",Medium,12,66,,neutral evil,,Monster Manual (BR),16.0,14.0,13.0,14.0,12.0,16.0,0,0,0,0,0,0
655,tlincalli,,8,monstrosity,Large,15,85,,neutral evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
621,stone-golem,https://www.aidedd.org/dnd/monstres.php?vo=stone-golem,13,construct,Large,17,178,,unaligned,,Monster Manual (SRD),22.0,9.0,20.0,3.0,11.0,1.0,0,0,0,0,0,0
286,giant-octopus,https://www.aidedd.org/dnd/monstres.php?vo=giant-octopus,4,beast,Large,11,52,swim,unaligned,,Monster Manual (SRD),17.0,13.0,13.0,4.0,10.0,4.0,0,0,0,0,0,0
121,centaur,https://www.aidedd.org/dnd/monstres.php?vo=centaur,5,monstrosity,Large,12,45,,neutral good,,Monster Manual (SRD),18.0,14.0,14.0,9.0,13.0,11.0,0,0,0,0,0,0
245,fist-of-bane,,2,humanoid (human),Medium,18,22,,lawful evil,,Adventures (Descent into Avernus),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
613,star-spawn-seer,,16,aberration,Medium,17,153,,neutral evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
714,wight,https://www.aidedd.org/dnd/monstres.php?vo=wight,6,undead,Medium,14,45,,neutral evil,,Monster Manual (SRD),15.0,14.0,16.0,10.0,13.0,15.0,0,0,0,0,0,0
283,giant-goat,https://www.aidedd.org/dnd/monstres.php?vo=giant-goat,2,beast,Large,11,19,,unaligned,,Monster Manual (SRD),17.0,11.0,12.0,3.0,12.0,6.0,0,0,0,0,0,0
471,neogi-master,,7,aberration,Medium,15,71,,lawful evil,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
737,young-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-black-dragon,10,dragon,Large,18,127,"fly, swim",chaotic evil,,Monster Manual (SRD),19.0,14.0,17.0,12.0,11.0,15.0,0,0,0,0,0,0
217,efreeti,https://www.aidedd.org/dnd/monstres.php?vo=efreeti,14,elemental,Large,17,200,fly,lawful evil,,Monster Manual (SRD),22.0,12.0,24.0,16.0,15.0,16.0,0,0,0,0,0,0
585,solar,https://www.aidedd.org/dnd/monstres.php?vo=solar,24,celestial,Large,21,243,fly,lawful good,Legendary,Monster Manual (SRD),26.0,22.0,26.0,25.0,25.0,30.0,0,0,0,0,0,0
555,rutterkin,,5,fiend (demon),Medium,12,37,,chaotic evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
441,merrenoloth,,6,fiend (yugoloth),Medium,13,40,swim,neutral evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
664,tridrone,,2,construct,Medium,15,16,,lawful neutral,,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
373,hydroloth,,12,fiend (yugoloth),Medium,15,135,swim,neutral evil,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
586,soul-monger,,14,humanoid (elf),Medium,15,123,,neutral,,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
694,warlock-of-the-great-old-one,,9,humanoid (any race),Medium,12,91,,any alignment,,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1
380,imp,https://www.aidedd.org/dnd/monstres.php?vo=imp,4,"fiend (devil, shapechanger)",Tiny,13,10,fly,lawful evil,,Monster Manual (SRD),6.0,17.0,13.0,11.0,12.0,14.0,0,0,0,0,0,0
