,name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha,legendary_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing
448,minotaur-skeleton,https://www.aidedd.org/dnd/monstres.php?vo=minotaur-skeleton,5,undead,Large,12,67,,lawful evil,0,Monster Manual (SRD),18.0,11.0,15.0,6.0,8.0,5.0,1,0,0,0,0,0,0
546,retriever,,17,construct,Large,19,210,,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
567,sea-spawn,,4,humanoid,Medium,11,32,swim,neutral evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
116,canoloth,,11,fiend (yugoloth),Medium,16,120,,neutral evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
665,troglodyte,https://www.aidedd.org/dnd/monstres.php?vo=troglodyte,1,humanoid (troglodyte),Medium,11,13,,chaotic evil,0,Monster Manual (BR),14.0,10.0,14.0,6.0,10.0,6.0,1,0,0,0,0,0,0
79,bearded-devil,https://www.aidedd.org/dnd/monstres.php?vo=bearded-devil,6,fiend (devil),Medium,13,52,,lawful evil,0,Monster Manual (SRD),16.0,15.0,15.0,9.0,11.0,11.0,1,0,0,0,0,0,0
628,summer-eladrin,,13,fey (elf),Medium,19,127,,chaotic neutral,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
267,ghast,https://www.aidedd.org/dnd/monstres.php?vo=ghast,5,undead,Medium,13,36,,chaotic evil,0,Monster Manual (SRD),16.0,17.0,10.0,11.0,10.0,8.0,1,0,0,0,0,0,0
468,needle-blight,,1,plant,Medium,12,11,,neutral evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
486,ogre-battering-ram,,7,giant,Large,14,59,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
372,hydra,https://www.aidedd.org/dnd/monstres.php?vo=hydra,11,monstrosity,Huge,15,172,swim,unaligned,0,Monster Manual (SRD),20.0,12.0,20.0,2.0,10.0,7.0,1,0,0,0,0,0,0
60,axe-beak,https://www.aidedd.org/dnd/monstres.php?vo=axe-beak,1,beast,Large,11,19,,unaligned,0,Monster Manual (SRD),14.0,12.0,12.0,2.0,10.0,5.0,1,0,0,0,0,0,0
492,oinoloth,,15,fiend (yugoloth),Medium,17,126,,neutral evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
14,adult-kruthik,,5,monstrosity,Medium,18,39,,unaligned,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
746,young-red-shadow-dragon,,16,dragon,Large,18,178,fly,chaotic evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
609,star-spawn-grue,,1,aberration,Small,11,17,,neutral evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
29,ancient-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-black-dragon,24,dragon,Gargantuan,22,367,"fly, swim",chaotic evil,1,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,19.0,0,0,0,0,0,0,0
155,death-dog,https://www.aidedd.org/dnd/monstres.php?vo=death-dog,4,monstrosity,Medium,12,39,,neutral evil,0,Monster Manual (SRD),15.0,14.0,14.0,3.0,13.0,6.0,1,0,0,0,0,0,0
371,hutijin,,24,fiend (devil),Large,19,200,fly,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
328,gray-ooze,https://www.aidedd.org/dnd/monstres.php?vo=gray-ooze,2,ooze,Medium,8,22,,unaligned,0,Monster Manual (SRD),12.0,6.0,16.0,1.0,6.0,2.0,1,0,0,0,0,0,0
456,mummified-warrior,https://www.aidedd.org/dnd/monstres.php?vo=mummified-warrior,1,undead,Medium,8,19,,neutral,0,Extra (AideDD),13.0,6.0,14.0,8.0,6.0,8.0,1,0,0,0,0,0,0
680,vegepygmy-chief,,5,plant,Small,14,33,,neutral,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
189,drider,https://www.aidedd.org/dnd/monstres.php?vo=drider,9,monstrosity,Large,19,123,,chaotic evil,0,Monster Manual (SRD),16.0,16.0,18.0,13.0,14.0,12.0,1,0,0,0,0,0,0
0,aarakocra,https://www.aidedd.org/dnd/monstres.php?vo=aarakocra,1,humanoid (aarakocra),Medium,12,13,fly,neutral good,0,Monster Manual (BR),10.0,14.0,10.0,11.0,12.0,11.0,1,0,0,0,0,0,0
735,yeti,https://www.aidedd.org/dnd/monstres.php?vo=yeti,6,monstrosity,Large,12,51,,chaotic evil,0,Monster Manual (SRD),18.0,13.0,16.0,8.0,12.0,7.0,1,0,0,0,0,0,0
35,ancient-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-green-dragon,25,dragon,Gargantuan,21,385,"fly, swim",lawful evil,1,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0,0,0,0,0,0,0,0
649,thorny,,4,plant,Medium,14,27,,neutral,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
673,uthgardt-shaman,,5,humanoid (human),Medium,13,38,,neutral evil,0,Adventures (Storm King's Thunder),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
651,thug,https://www.aidedd.org/dnd/monstres.php?vo=thug,2,humanoid (any race),Medium,11,32,,any non-good alignment,0,Monster Manual (SRD),15.0,11.0,14.0,10.0,10.0,11.0,1,0,0,0,0,0,0
246,flail-snail,,6,elemental,Large,16,52,,unaligned,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
12,adult-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-gold-dragon,20,dragon,Huge,19,256,"fly, swim",lawful good,1,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,24.0,0,0,0,0,0,0,0
123,champion,,12,humanoid (any race),Medium,18,143,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
716,wild-dog-alpha,https://www.aidedd.org/dnd/monstres.php?vo=wild-dog-alpha,4,beast,Large,12,26,,unaligned,0,Extra (Adventurers League),17.0,15.0,13.0,3.0,12.0,8.0,1,0,0,0,0,0,0
308,githyanki-warrior,,6,humanoid (gith),Medium,17,49,,lawful evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
535,rakshasa,https://www.aidedd.org/dnd/monstres.php?vo=rakshasa,16,fiend,Medium,16,110,,lawful evil,0,Monster Manual (SRD),14.0,17.0,18.0,13.0,16.0,20.0,1,0,0,0,0,0,0
424,manshoon,,16,humanoid (human),Medium,19,126,,lawful evil,0,Adventures (Dragon Heist),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
472,neothelid,,16,aberration,Gargantuan,16,325,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
538,reaper-of-bhaal,,5,humanoid (human),Medium,15,27,,chaotic evil,0,Adventures (Descent into Avernus),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
518,plesiosaurus,https://www.aidedd.org/dnd/monstres.php?vo=plesiosaurus,5,beast,Large,13,68,swim,unaligned,0,Monster Manual (SRD),18.0,15.0,16.0,2.0,12.0,5.0,1,0,0,0,0,0,0
250,flumph,,0,aberration,Small,12,7,fly,lawful good,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
279,giant-elk,https://www.aidedd.org/dnd/monstres.php?vo=giant-elk,5,beast,Huge,14,42,,unaligned,0,Monster Manual (SRD),19.0,16.0,14.0,7.0,14.0,10.0,1,0,0,0,0,0,0
744,young-kruthik,,0,monstrosity,Small,16,9,,unaligned,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
344,guard,https://www.aidedd.org/dnd/monstres.php?vo=guard,0,humanoid (any race),Medium,16,11,,any alignment,0,Monster Manual (SRD),13.0,12.0,12.0,10.0,11.0,10.0,1,0,0,0,0,0,0
96,blue-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=blue-dragon-wyrmling,6,dragon,Medium,17,52,fly,lawful evil,0,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0,1,0,0,0,0,0,0
742,young-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-gold-dragon,13,dragon,Large,18,178,"fly, swim",lawful good,0,Monster Manual (SRD),23.0,14.0,21.0,16.0,13.0,20.0,1,0,0,0,0,0,0
86,bheur-hag,,10,fey,Medium,17,91,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
365,homunculus,https://www.aidedd.org/dnd/monstres.php?vo=homunculus,3,construct,Tiny,13,5,fly,neutral,0,Monster Manual (SRD),4.0,15.0,11.0,10.0,10.0,7.0,1,0,0,0,0,0,0
748,young-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-silver-dragon,12,dragon,Large,18,168,fly,lawful good,0,Monster Manual (SRD),23.0,10.0,21.0,14.0,11.0,19.0,1,0,0,0,0,0,0
556,saber-toothed-tiger,https://www.aidedd.org/dnd/monstres.php?vo=saber-toothed-tiger,5,beast,Large,12,52,,unaligned,0,Monster Manual (SRD),18.0,14.0,15.0,3.0,12.0,8.0,1,0,0,0,0,0,0
169,demogorgon,,29,fiend (demon),Huge,22,406,swim,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
26,allosaurus,https://www.aidedd.org/dnd/monstres.php?vo=allosaurus,5,beast,Large,13,51,,unaligned,0,Monster Manual (SRD),19.0,13.0,17.0,2.0,12.0,5.0,1,0,0,0,0,0,0
627,succubus,https://www.aidedd.org/dnd/monstres.php?vo=succubus,7,fiend (shapechanger),Medium,15,66,fly,neutral evil,0,Monster Manual (SRD),8.0,17.0,13.0,15.0,12.0,20.0,1,0,0,0,0,0,0
13,adult-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-green-dragon,18,dragon,Huge,19,207,"fly, swim",lawful evil,1,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0,0,0,0,0,0,0,0
566,sea-horse,https://www.aidedd.org/dnd/monstres.php?vo=sea-horse,3,beast,Tiny,11,1,swim,unaligned,0,Monster Manual (SRD),1.0,12.0,8.0,1.0,10.0,2.0,1,0,0,0,0,0,0
262,gas-spore,,2,plant,Large,5,1,fly,unaligned,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
520,polar-bear,https://www.aidedd.org/dnd/monstres.php?vo=polar-bear,5,beast,Large,12,42,swim,unaligned,0,Monster Manual (SRD),20.0,10.0,16.0,2.0,13.0,7.0,1,0,0,0,0,0,0
230,expert-lvl-1,,3,humanoid (any race),Medium,14,11,,any alignment,0,Essentials Kit,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
499,orc-hand-of-yurtrus,,5,humanoid (orc),Medium,12,30,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
98,boar,https://www.aidedd.org/dnd/monstres.php?vo=boar,1,beast,Medium,11,11,,unaligned,0,Monster Manual (SRD),13.0,11.0,12.0,2.0,9.0,5.0,1,0,0,0,0,0,0
588,spectator,https://www.aidedd.org/dnd/monstres.php?vo=spectator,6,aberration,Medium,14,39,fly,lawful neutral,0,Monster Manual,8.0,14.0,14.0,13.0,14.0,11.0,1,0,0,0,0,0,0
176,dimetrodon,,1,beast,Medium,12,19,swim,unaligned,0,Adventures (Tomb of Annihilation),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
240,fire-giant,https://www.aidedd.org/dnd/monstres.php?vo=fire-giant,12,giant,Huge,18,162,,lawful evil,0,Monster Manual (SRD),25.0,9.0,23.0,10.0,14.0,13.0,1,0,0,0,0,0,0
300,giant-wolf-spider,https://www.aidedd.org/dnd/monstres.php?vo=giant-wolf-spider,1,beast,Medium,13,11,,unaligned,0,Monster Manual (SRD),12.0,16.0,13.0,3.0,12.0,4.0,1,0,0,0,0,0,0
274,giant-centipede,https://www.aidedd.org/dnd/monstres.php?vo=giant-centipede,1,beast,Small,13,4,,unaligned,0,Monster Manual (SRD),5.0,14.0,12.0,1.0,7.0,3.0,1,0,0,0,0,0,0
571,shadow-mastiff,,5,monstrosity,Medium,12,33,,neutral evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
466,necromancer,,12,humanoid (any race),Medium,12,66,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
128,choldrith,,6,monstrosity,Medium,15,66,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
630,swarm-of-cranium-rats,,8,swarm of Tiny beasts,Medium,12,36,,lawful evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
227,ettercap,https://www.aidedd.org/dnd/monstres.php?vo=ettercap,5,monstrosity,Medium,13,44,,neutral evil,0,Monster Manual (SRD),14.0,15.0,13.0,7.0,12.0,8.0,1,0,0,0,0,0,0
310,githzerai-enlightned,,13,humanoid (gith),Medium,18,112,,lawful neutral,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
264,gazer,,2,aberration,Tiny,13,13,fly,neutral evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
761,zuggtmoy,,26,fiend (demon),Large,18,304,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
113,cadaver-collector,,17,construct,Large,17,189,,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
561,satyr,https://www.aidedd.org/dnd/monstres.php?vo=satyr,2,fey,Medium,14,31,,chaotic neutral,0,Monster Manual (SRD),12.0,16.0,11.0,12.0,10.0,14.0,1,0,0,0,0,0,0
548,rhinoceros,https://www.aidedd.org/dnd/monstres.php?vo=rhinoceros,5,beast,Large,11,45,,unaligned,0,Monster Manual (SRD),21.0,8.0,15.0,2.0,12.0,6.0,1,0,0,0,0,0,0
191,drow-arachnomancer,,16,humanoid (elf),Medium,15,162,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
413,lion,https://www.aidedd.org/dnd/monstres.php?vo=lion,4,beast,Large,12,26,,unaligned,0,Monster Manual (SRD),17.0,15.0,13.0,3.0,12.0,8.0,1,0,0,0,0,0,0
702,wastrilith,,16,fiend (demon),Large,18,157,swim,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
316,gnoll,https://www.aidedd.org/dnd/monstres.php?vo=gnoll,2,humanoid (gnoll),Medium,15,22,,chaotic evil,0,Monster Manual (SRD),14.0,12.0,11.0,6.0,10.0,7.0,1,0,0,0,0,0,0
33,ancient-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-copper-dragon,24,dragon,Gargantuan,21,350,fly,chaotic good,1,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0,0,0,0,0,0,0,0
309,githzerai-anarch,,19,humanoid (gith),Medium,20,144,fly,lawful neutral,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
437,medusa,https://www.aidedd.org/dnd/monstres.php?vo=medusa,9,monstrosity,Medium,15,127,,lawful evil,0,Monster Manual (SRD),10.0,15.0,16.0,12.0,13.0,15.0,1,0,0,0,0,0,0
431,master-of-souls,,7,humanoid (human),Medium,12,45,,neutral evil,0,Adventures (Descent into Avernus),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
65,bael,,22,fiend (devil),Large,18,189,,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
432,master-thief,,8,humanoid (any race),Medium,16,84,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
646,the-lonely,,12,monstrosity,Medium,16,112,,neutral evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
52,assassin,https://www.aidedd.org/dnd/monstres.php?vo=assassin,11,humanoid (any race),Medium,15,78,,any non-good alignment,0,Monster Manual (SRD),11.0,16.0,14.0,13.0,11.0,10.0,1,0,0,0,0,0,0
152,darkling,,2,fey,Small,14,13,,chaotic neutral,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
320,gnoll-pack-lord,https://www.aidedd.org/dnd/monstres.php?vo=gnoll-pack-lord,5,humanoid (gnoll),Medium,15,49,,chaotic evil,0,Monster Manual (BR),16.0,14.0,13.0,8.0,11.0,9.0,1,0,0,0,0,0,0
242,fire-snake,https://www.aidedd.org/dnd/monstres.php?vo=fire-snake,4,elemental,Medium,14,22,,neutral evil,0,Monster Manual (BR),12.0,14.0,11.0,7.0,10.0,8.0,1,0,0,0,0,0,0
512,phase-spider,https://www.aidedd.org/dnd/monstres.php?vo=phase-spider,6,monstrosity,Large,13,32,,unaligned,0,Monster Manual (SRD),15.0,15.0,12.0,6.0,10.0,6.0,1,0,0,0,0,0,0
648,the-wretched,,1,monstrosity,Small,15,10,,neutral evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
554,rust-monster,https://www.aidedd.org/dnd/monstres.php?vo=rust-monster,2,monstrosity,Medium,14,27,,unaligned,0,Monster Manual (SRD),13.0,12.0,13.0,2.0,13.0,6.0,1,0,0,0,0,0,0
723,worg,https://www.aidedd.org/dnd/monstres.php?vo=worg,2,monstrosity,Large,13,26,,neutral evil,0,Monster Manual (SRD),16.0,13.0,13.0,7.0,11.0,8.0,1,0,0,0,0,0,0
531,quasit,https://www.aidedd.org/dnd/monstres.php?vo=quasit,4,"fiend (demon, shapechanger)",Tiny,13,7,,chaotic evil,0,Monster Manual (SRD),5.0,17.0,10.0,7.0,10.0,10.0,1,0,0,0,0,0,0
256,froghemoth,https://www.aidedd.org/dnd/monstres.php?vo=froghemoth,13,monstrosity,Huge,14,184,swim,unaligned,0,Volo's Guide to Monsters,23.0,13.0,20.0,2.0,12.0,5.0,1,0,0,0,0,0,0
146,crocodile,https://www.aidedd.org/dnd/monstres.php?vo=crocodile,2,beast,Large,12,19,swim,unaligned,0,Monster Manual (SRD),15.0,10.0,13.0,2.0,10.0,5.0,1,0,0,0,0,0,0
453,mouth-of-grolantor,,9,giant (hill giant),Huge,14,105,,chaotic evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
24,alkilith,,14,fiend (demon),Medium,17,157,,chaotic evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
28,amnizu,,21,fiend (devil),Medium,21,202,fly,lawful evil,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
223,elk,https://www.aidedd.org/dnd/monstres.php?vo=elk,1,beast,Large,10,13,,unaligned,0,Monster Manual (SRD),16.0,10.0,12.0,2.0,10.0,6.0,1,0,0,0,0,0,0
324,goblin-boss,,4,humanoid (goblinoid),Small,17,21,,neutral evil,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
689,war-priest,,12,humanoid (any race),Medium,18,117,,any alignment,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
68,banderhobb,,8,monstrosity,Large,15,84,,neutral evil,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
333,green-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=green-dragon-wyrmling,5,dragon,Medium,17,38,"fly, swim",lawful evil,0,Monster Manual (SRD),15.0,12.0,13.0,14.0,11.0,13.0,1,0,0,0,0,0,0
218,eidolon,,15,undead,Medium,9,63,fly,any alignment,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
430,marut,,28,construct (inevitable),Large,22,432,fly,lawful neutral,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
708,wereboar,https://www.aidedd.org/dnd/monstres.php?vo=wereboar,7,"humanoid (human, shapechanger)",Medium,10,78,,neutral evil,0,Monster Manual (SRD),17.0,10.0,15.0,10.0,11.0,8.0,1,0,0,0,0,0,0
525,pteranodon,https://www.aidedd.org/dnd/monstres.php?vo=pteranodon,1,beast,Medium,13,13,fly,unaligned,0,Monster Manual (SRD),12.0,15.0,10.0,2.0,9.0,5.0,1,0,0,0,0,0,0
740,young-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=young-bronze-dragon,11,dragon,Large,18,142,"fly, swim",lawful good,0,Monster Manual (SRD),21.0,10.0,19.0,14.0,13.0,17.0,1,0,0,0,0,0,0
403,kruthik-hive-lord,,8,monstrosity,Large,20,102,,unaligned,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
153,darkling-elder,,5,fey,Medium,15,27,,chaotic neutral,0,Volo's Guide to Monsters,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
541,red-slaad,,8,aberration,Large,14,93,,chaotic neutral,0,Monster Manual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
484,octopus,https://www.aidedd.org/dnd/monstres.php?vo=octopus,3,beast,Small,12,3,swim,unaligned,0,Monster Manual (SRD),4.0,15.0,11.0,3.0,10.0,4.0,1,0,0,0,0,0,0
433,mastiff,https://www.aidedd.org/dnd/monstres.php?vo=mastiff,0,beast,Medium,12,5,,unaligned,0,Monster Manual (SRD),13.0,14.0,12.0,3.0,12.0,7.0,1,0,0,0,0,0,0
2,aboleth,https://www.aidedd.org/dnd/monstres.php?vo=aboleth,13,aberration,Large,17,135,swim,lawful evil,1,Monster Manual (SRD),21.0,9.0,15.0,18.0,15.0,18.0,0,0,0,0,0,0,0
154,darkmantle,https://www.aidedd.org/dnd/monstres.php?vo=darkmantle,2,monstrosity,Small,11,22,fly,unaligned,0,Monster Manual (SRD),16.0,12.0,13.0,2.0,10.0,5.0,1,0,0,0,0,0,0
383,iron-cobra,,7,construct,Medium,13,45,,unaligned,0,Mordenkainen's Tome of Foes,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1
