,name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,_copy/_mod/trait/items/entries,_copy/_mod/trait/items/name,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden,hp/average_missing,save/cha_missing,save/int_missing,save/wis_missing,save/con_missing,save/dex_missing,save/str_missing,skill/arcana_missing,skill/history_missing,skill/insight_missing,skill/perception_missing,skill/performance_missing,skill/stealth_missing,skill/investigation_missing,skill/acrobatics_missing,skill/animal handling_missing,skill/athletics_missing,skill/deception_missing,skill/intimidation_missing,skill/medicine_missing,skill/nature_missing,skill/persuasion_missing,skill/religion_missing,skill/sleight of hand_missing,skill/survival_missing,speed/walk_missing,speed/burrow_missing,speed/climb_missing,speed/fly_missing,speed/swim_missing,_copy/_mod/trait/items/entries_missing,_copy/_mod/trait/items/name_missing,legendaryActions_missing,legendary_missing,summonedBySpellLevel_missing,sidekickHidden_missing
663,Avatar of Baalzebul,False,False,21,14,285.0,30d8 + 150,L E,fiend,devil,,M,21,13,20,17,18,20,11.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,11.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,,14,SD,20.0,,-1.0,,-1.0,,30.0,,-1.0,-1.0,-1.0,True,,,,,,,True,"[""Multiattack""]",,False,,"A, P,S","[""constitution"",""dexterity""]",-1.0,0,,,,False,"[""acid"",""cold"",{""cond"":true,""note"":""from nonmagical attacks that aren't silvered"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]","[""radiant""]","[""fire"",""poison""]","[""charmed"",""poisoned""]","[""all"",""telepathy 120 ft.""]","TP,XX",,,"AOE, HPR, MW",CoA,False,,,-1.0,,,,-1.0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1
2581,Allosaurus,,,5,13,51.0,6d10 + 18,U,beast,,,L,19,13,17,2,12,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,15,,60.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,"[""Pounce""]",,,,,,True,,,False,"[""prone""]","P,S","[""strength""]",-1.0,0,,,,False,,,,,,,,grassland,MW,MM,False,"[""Dinosaurs""]",,-1.0,,,True,-1.0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
2148,Barghest,,,7,17,90.0,12d10 + 24,N E,fiend,shapechanger,,L,19,15,14,13,12,14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,15,"B, D",60.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,"[""Keen Senses"",""Shapechanger""]","[{""ability"":""cha"",""daily"":{""1e"":[""{@spell charm person}"",""{@spell dimension door}"",""{@spell suggestion}""]},""headerEntries"":[""The barghest's innate spellcasting ability is Charisma (spell save {@dc 12}). It can innately cast the following spells, requiring no material components:""],""name"":""Innate Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell levitate}"",""{@spell minor illusion}"",""{@spell pass without trace}""]}]",O,I,,"[""constitution"",""wisdom""]",True,,,False,,"P,S","[""charisma""]",-1.0,0,,,,False,"[""cold"",""fire"",""lightning"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""acid"",""poison""]","[""poisoned""]","[""Abyssal"",""Common"",""Goblin"",""Infernal"",""telepathy 60 ft.""]","AB,C,GO,I,TP",,"underdark, mountain, grassland, forest, hill",MW,VGM,False,,,-1.0,,,True,-1.0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
2912,Swarm of Sunflies,False,,4,13,22.0,5d8,C G,celestial,,True,M,6,17,10,4,10,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,10,,10.0,,-1.0,,-1.0,,40.0,,-1.0,-1.0,-1.0,True,,,,,,,True,,"[{""entries"":[""The swarm sheds bright light in a 15-foot radius and dim light for an additional 15 feet, or it uses a bonus action to extinguish the light.""],""name"":""Illumination""}]",False,,P,"[""constitution""]",-1.0,0,,,,False,,,,,"[""understands Celestial but can't speak""]","CE,CS",,,"AOE, MW",MPP,False,,,-1.0,,,,-1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
659,Lord of the Hunt,False,,21,18,229.0,27d8 + 108,L N,fey,,,M,21,18,19,14,18,15,8.0,-1.0,10.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,,20,"B, SD",40.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,"[""Legendary Resistances""]",,,,,,True,"[""Multiattack"",""Parry""]","[{""entries"":[""The Lord of the Hunt can summon or dismiss a magical Fey mount, mounting or dismounting it as part of this bonus action without spending movement. The mount uses the statistics of a warhorse, except it has 40 hp, is a Fey, has the same damage and condition resistances and immunities as the Lord of the Hunt, and uses the Lord's saving throw bonuses in place of its own. If the mount is slain, it disappears, leaving behind no physical form, and the Lord of the Hunt must wait 1 hour before summoning the mount again.""],""name"":""Fey Mount""}]",True,"[""charmed"",""prone""]","I,P","[""charisma""]",-1.0,0,,"[""dexterity"",""wisdom""]",,False,"[{""cond"":true,""note"":""from nonmagical attacks not made with cold iron weapons"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""cold"",""poison""]","[""charmed"",""exhaustion"",""frightened"",""poisoned""]","[""Common"",""Draconic"",""Elvish"",""Sylvan""]","C,DR,E,S","longbow, spear","forest, planar","MLW,MW, RW, THW",ToB1-2023,False,,,-1.0,,,,-1.0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
801,Gar Shatterkeel,True,True,18,17,144.0,17d8 + 68,N E,humanoid,,,M,16,16,18,12,20,14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,10.0,,20,,30.0,,-1.0,,-1.0,,-1.0,,30.0,-1.0,-1.0,True,"[""Amphibious"",""Legendary Resistances""]","[{""ability"":""wis"",""footerEntries"":[""*Circle spells don't count against spells prepared.""],""headerEntries"":[""Gar is a 13th-level spellcaster. His spellcasting ability is Wisdom (spell save {@dc 18}, {@hit 10} to hit with spell attacks). He has the following druid spells prepared:""],""name"":""Spellcasting"",""spells"":{""0"":{""spells"":[""{@spell frostbite|XGE}"",""{@spell mending}"",""{@spell resistance}"",""{@spell shape water|XGE}"",""{@spell thunderclap|XGE}*""]},""1"":{""slots"":4,""spells"":[""{@spell create or destroy water}"",""{@spell charm person}"",""{@spell cure wounds}"",""{@spell thunderwave}""]},""2"":{""slots"":3,""spells"":[""{@spell darkvision}"",""{@spell hold person}"",""{@spell mirror image}*"",""{@spell misty step}*"",""{@spell pass without trace}"",""{@spell protection from poison}""]},""3"":{""slots"":3,""spells"":[""{@spell conjure animals}"",""{@spell dispel magic}"",""{@spell tidal wave|XGE}"",""{@spell water breathing}*"",""{@spell water walk}*""]},""4"":{""slots"":3,""spells"":[""{@spell charm monster|XGE}"",""{@spell control water}*"",""{@spell dominate beast}"",""{@spell freedom of movement}*"",""{@spell watery sphere|XGE}""]},""5"":{""slots"":2,""spells"":[""{@spell conjure elemental}*"",""{@spell maelstrom|XGE}"",""{@spell scrying}*"",""{@spell tree stride}""]},""6"":{""slots"":1,""spells"":[""{@spell heal}""]},""7"":{""slots"":1,""spells"":[""{@spell plane shift}""]}},""type"":""spellcasting""}]","B, C,T",CD,"[""charmed"",""paralyzed"",""prone"",""restrained""]","[""charisma"",""constitution"",""dexterity"",""strength"",""wisdom""]",True,"[""Multiattack""]",,False,"[""grappled""]","B, P","[""constitution""]",-1.0,0,,"[""strength""]","[""restrained""]",False,"[""cold""]",,,,"[""Aquan"",""Common""]","AQ,C",wave,,"AOE, MW, RW",LR,False,,,-1.0,,,,-1.0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1
57,Tribal Warrior,,,0,12,11.0,2d8 + 2,A,humanoid,any,,M,13,11,12,8,11,8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,10,,30.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,"[""Pack Tactics""]",,,,,,True,,,False,,P,,-1.0,0,,,,False,,,,,"[""any one language""]",X,spear,"coastal, mountain, grassland, hill, arctic, forest, swamp, underdark, desert","MLW,MW, RW, THW",MM,False,,,-1.0,,,True,-1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1715,Lupilisk Elder,False,,9,15,97.0,13d10 + 26,N E,fiend,,,L,18,16,15,6,14,8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,15,SD,50.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,"[""Keen Senses"",""Pack Tactics""]",,,,,,True,,,False,"[""petrified"",""poisoned"",""restrained""]","I,P","[""constitution""]",-1.0,0,,,,False,"[""cold"",""fire""]",,"[""poison""]","[""poisoned""]","[""can learn languages but can't speak""]",CS,,,MW,GHLoE,False,,,-1.0,,,,-1.0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
2640,Green Dragon Wyrmling,,,5,17,38.0,7d8 + 7,L E,dragon,,,M,15,12,13,14,11,13,3.0,-1.0,2.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,14,"B, D",30.0,,-1.0,,-1.0,,60.0,,30.0,-1.0,-1.0,True,"[""Amphibious""]",,,,,,True,"[""Breath Weapon""]",,False,,"I,P","[""constitution""]",-1.0,0,,,,False,,,"[""poison""]","[""poisoned""]","[""Draconic""]",DR,,,"AOE, MW",MM,False,"[""Chromatic Dragon""]",,-1.0,,True,True,-1.0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1
374,Skulk,False,,2,14,18.0,4d8,C N,humanoid,,,M,6,19,10,10,7,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,8,SD,30.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,,,,,,,True,,,False,"[""invisible""]","N,S",,-1.0,0,,,,False,,,"[""radiant""]","[""blinded""]","[""understands Common but can't speak""]","C,CS",,"coastal, forest, swamp, underdark, urban",MW,MTF,False,,,-1.0,,,True,-1.0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1358,Treant,,,12,16,138.0,12d12 + 60,C G,plant,,,H,23,8,21,12,16,12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,13,,30.0,,-1.0,,-1.0,,-1.0,,-1.0,-1.0,-1.0,True,"[""False Appearance"",""Siege Monster""]",,,,,,True,"[""Multiattack""]",,False,,B,,-1.0,0,,,,False,"[""bludgeoning"",""piercing""]","[""fire""]",,,"[""Common"",""Druidic"",""Elvish"",""Sylvan""]","C,DU,E,S",,forest,"MW, RW",MM,False,,,-1.0,,,True,-1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
