,Unnamed: 0,name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden,name_missing,isNamedCreature_missing,isNpc_missing,ac_missing,hp/average_missing,hp/formula_missing,alignment_missing,type_missing,swarm_missing,size_missing,str_missing,dex_missing,con_missing,int_missing,wis_missing,cha_missing,save/cha_missing,save/int_missing,save/wis_missing,save/con_missing,save/dex_missing,save/str_missing,skill/arcana_missing,skill/history_missing,skill/insight_missing,skill/perception_missing,skill/performance_missing,skill/stealth_missing,skill/investigation_missing,skill/acrobatics_missing,skill/animal handling_missing,skill/athletics_missing,skill/deception_missing,skill/intimidation_missing,skill/medicine_missing,skill/nature_missing,skill/persuasion_missing,skill/religion_missing,skill/sleight of hand_missing,skill/survival_missing,initiative/advantageMode_missing,passive_missing,senseTags_missing,speed/walk_missing,speed/burrow_missing,speed/climb_missing,speed/fly_missing,speed/swim_missing,conditionInflict_missing,damageTags_missing,savingThrowForced_missing,legendaryActions_missing,legendary_missing,vulnerable_missing,languages_missing,languageTags_missing,environment_missing,miscTags_missing,source_missing,summonedBySpell_missing,summonedBySpellLevel_missing,variant_missing,reprinted_missing,sidekickHidden_missing
663,663,Archon of Redemption,0,0,16,17,136,16d8 + 64,L N,celestial,,,L,18,18,18,17,20,20,9,-1,9,-1,-1,-1,-1,-1,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,19,SD,30,,-1,,-1,,90,,-1,True,"[""Magic Resistance""]",Cha,"N,R,T, Y",I,,"[""constitution"",""wisdom""]",True,"[""Multiattack""]",False,False,,"P,R,S",,-1,0,,,,False,"[""radiant"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""exhaustion"",""frightened""]","[""all"",""telepathy 120 ft.""]","TP,XX",,,"MW, RCH",PSZ,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
2581,2581,Vættir,0,0,10,15,97,13d8 + 39,L E,undead,,,M,20,14,16,10,12,14,-1,-1,3,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,"D, U",30,,-1,,-1,,-1,,-1,True,"[""Rejuvenation"",""Sunlight Sensitivity""]",,,,,,True,"[""Breath Weapon"",""Multiattack""]",False,False,"[""incapacitated"",""poisoned""]","I,N,S","[""charisma"",""constitution""]",-1,0,,,,False,,,"[""necrotic"",""poison""]","[""charmed"",""frightened"",""poisoned""]","[""the languages it knew in life""]",LF,,any,"MLW,MW",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
2148,2148,Shield Guardian,0,0,13,17,142,15d10 + 60,U,construct,,,L,18,8,18,7,10,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,"B, D",30,,-1,,-1,,-1,,-1,True,"[""Regeneration""]",,,,,,True,"[""Multiattack""]",False,True,,B,,-1,0,,,,False,,,"[""poison""]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""poisoned""]","[""understands commands given in any language but can't speak""]","CS,X",,urban,MW,MM,False,,,-1,,,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
2912,2912,Giant Tick,0,0,8,14,52,7d8 + 21,U,monstrosity,,,M,16,10,16,2,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,,30,,-1,,-1,,-1,,-1,False,,,,,,,True,,False,False,,"N,P",,-1,0,,,,False,,,,,,,,,MW,BGG,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
659,659,Drow,0,0,4,15,13,3d8,N E,humanoid,Elf,,M,10,14,10,11,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,12,SD,30,,-1,,-1,,-1,,-1,True,"[""Fey Ancestry"",""Sunlight Sensitivity""]",Cha,,I,,"[""dexterity""]",True,,False,False,"[""poisoned"",""unconscious""]",P,"[""constitution""]",-1,0,,,,False,,,,,"[""Elvish"",""Undercommon""]","E,U","hand crossbow, shortsword",underdark,"MLW,MW, RNG, RW",MM,False,,,-1,,True,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
801,801,Donaar Blit'zen,0,0,9,18,45,7d8 + 14,C G,humanoid,dragonborn,,M,17,8,14,10,10,16,5,-1,2,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,5,-1,-1,-1,0,10,,30,,-1,,-1,,-1,,-1,True,,Cha,"R,Y",CP,"[""frightened"",""prone""]","[""charisma"",""wisdom""]",True,"[""Multiattack""]",False,False,,"A, S","[""dexterity"",""wisdom""]",-1,0,,,,False,"[""acid""]",,,,"[""Common"",""Draconic"",""Orc""]","C,DR,O","greatsword, whip",,"AOE, MLW,MW, RCH",AI,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
57,57,Duergar Mind Master,0,0,8,14,39,6d8 + 12,A,humanoid,dwarf,,M,11,17,14,15,10,12,-1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,12,"SD, U",25,,-1,,-1,,-1,,-1,True,"[""Sunlight Sensitivity""]",,,,,,True,"[""Multiattack""]",True,False,"[""invisible""]","P,Y","[""intelligence""]",-1,0,,,,False,"[""poison""]",,,,"[""Dwarvish"",""Undercommon""]","D, U",,"mountain, underdark","MLW,MW",MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
1715,1715,Styx Dragon,0,1,26,17,296,16d20 + 128,C E,dragon,,,G,27,14,26,19,20,19,10,-1,11,14,8,-1,-1,-1,11,11,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,17,0,21,B,30,,20,,-1,,-1,,60,True,"[""Amphibious""]",,,,,,True,"[""Breath Weapon"",""Frightful Presence"",""Multiattack""]",False,False,"[""grappled"",""unconscious""]","B, I,N,P","[""constitution"",""dexterity"",""wisdom""]",-1,0,,,,False,"[{""special"":""damage from spells""}]",,"[""cold"",""poison""]","[""blinded"",""poisoned""]","[""Draconic"",""Infernal""]","DR,I",,,"DIS, MW, RCH",CoA,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
2640,2640,Redcap,0,0,9,13,45,6d6 + 24,C E,fey,,,S,18,13,18,10,12,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,0,13,D,25,,-1,,-1,,-1,,-1,True,,,,,,,True,"[""Multiattack""]",False,False,"[""prone""]","B, S","[""dexterity""]",-1,0,,,,False,,,,,"[""Common"",""Sylvan""]","C,S",,"forest, swamp, hill","MLW,MW",VGM,False,,,-1,,True,True,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
374,374,Scion of Stronmaus,0,0,33,20,656,32d20 + 320,C G,giant,titan,,G,30,20,30,26,28,24,-1,16,-1,-1,13,-1,16,16,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,27,U,60,,-1,,-1,hover,80,,80,True,"[""Flyby"",""Legendary Resistances"",""Magic Resistance"",""Siege Monster""]",,,,,,True,"[""Multiattack""]",True,False,"[""prone"",""stunned""]","A, B, C,L,O","[""constitution"",""dexterity"",""strength""]",-1,0,,,,False,"[""cold"",""fire"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""lightning"",""thunder""]","[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""prone""]","[""Giant"",""Primordial""]","GI,P",,,"AOE, MW, RCH, RW",BGG,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
1358,1358,Ixitxachitl,0,1,4,15,18,4d6 + 4,C E,aberration,,,S,12,16,13,12,13,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,D,0,,-1,,-1,,-1,,30,False,,,,,,,True,,False,True,,P,,-1,0,,,,False,,,,,"[""Abyssal"",""Ixitxachitl""]","AB,OTH",,,MW,OotA,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
73,73,Pike Trickfoot,0,1,23,23,170,20d8 + 80,,humanoid,gnome,,S,19,12,18,14,20,14,8,-1,11,-1,-1,-1,-1,-1,-1,11,-1,7,-1,-1,-1,10,-1,-1,-1,-1,8,8,-1,-1,0,21,D,25,,-1,,-1,,-1,,-1,True,,Wis,"A, C,F,L,O,R,T",CC,"[""blinded"",""prone""]","[""charisma"",""constitution"",""dexterity"",""wisdom""]",True,,True,True,"[""frightened""]","B, F,R",,-1,0,,,,False,"[""fire"",{""cond"":true,""note"":""from nonmagical attacks"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""frightened""]","[""Common"",""Dwarvish"",""Gnomish"",""Undercommon""]","C,D,G,U",mace of disruption,,"MLW,MW",TDCSR,False,"[""Vox Machina""]",,-1,,,,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
1776,1776,Snow Queen,0,0,22,17,182,28d8 + 56,N E,fey,,,M,16,18,14,18,20,18,9,-1,-1,7,9,-1,-1,-1,-1,10,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,20,"B, SD",40,,-1,,-1,,-1,,-1,True,"[""Legendary Resistances""]",,,,,,True,"[""Multiattack""]",False,False,"[""blinded"",""exhaustion""]","C,P,S","[""constitution"",""dexterity""]",-1,0,,"[""dexterity"",""strength""]",,False,"[{""cond"":true,""note"":""from nonmagical attacks not made with cold iron weapons"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,"[""cold""]","[""charmed"",""exhaustion"",""frightened""]","[""Common"",""Elvish"",""Giant"",""Sylvan""]","C,E,GI,S",,"mountain, planar","AOE, MW",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1
2230,2230,Sandwyrm,0,0,12,15,142,15d10 + 60,U,dragon,,,L,20,12,18,5,13,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,17,"D, T",20,,40,,-1,,-1,,-1,False,,,,,,,True,"[""Multiattack""]",False,True,"[""paralyzed"",""poisoned"",""restrained""]","I,P","[""constitution"",""dexterity""]",-1,0,,,,False,,,,,,,,desert,"MW, RCH",ToB1-2023,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1
1154,1154,Triton Shorestalker,0,0,8,13,32,5d8 + 10,N E,humanoid,triton,,M,11,16,14,10,15,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,5,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,0,14,D,30,,-1,,-1,,-1,,30,True,"[""Amphibious""]",Wis,,I,,"[""strength""]",True,"[""Multiattack""]",False,False,,"I,P",,-1,0,,,,False,"[""cold""]",,,,"[""Common"",""Primordial""]","C,P",,,"MLW,MW, RW",MOT,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
1620,1620,Skulk,0,0,5,14,18,4d8,C N,monstrosity,,,M,6,19,10,10,7,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,SD,30,,-1,,-1,,-1,,-1,True,,,,,,,True,,False,False,"[""invisible""]","N,S",,-1,0,,,,False,,,,"[""blinded""]","[""understands Common but can't speak""]","C,CS",,"coastal, forest, swamp, underdark, urban",MW,MPMM,False,,,-1,,,,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
