name,_copy/name,_copy/_mod/*/flags,_copy/_mod/_/mode,_copy/_mod/_/spells/7,_copy/_mod/action,_copy/_mod/action/items/entries,_copy/_mod/action/items/name,_copy/_mod/action/mode,_copy/_mod/action/replace,_copy/_mod/trait/items,_copy/_mod/trait/mode,_copy/_templates,_copy/source,_copy/_mod/action/names,_copy/_mod/resist/items,_copy/_mod/spellcasting/items/name,_copy/_mod/spellcasting/items/spells/1/slots,_copy/_mod/spellcasting/items/spells/1/spells,_copy/_mod/spellcasting/items/spells/2/slots,_copy/_mod/spellcasting/items/spells/2/spells,_copy/_mod/spellcasting/items/spells/3/slots,_copy/_mod/spellcasting/items/spells/3/spells,_copy/_mod/spellcasting/items/spells/4/slots,_copy/_mod/spellcasting/items/spells/4/spells,_copy/_mod/spellcasting/items/spells/5/slots,_copy/_mod/spellcasting/items/spells/5/spells,_copy/_mod/spellcasting/items/spells/6/slots,_copy/_mod/spellcasting/items/spells/6/spells,_copy/_mod/spellcasting/mode,_copy/_mod/resist/mode,_copy/_mod/trait/replace,_copy/_mod/*,_copy/_mod/trait/names,_copy/_mod/action/items,_copy/_mod/trait,level,type/sidekickTags,type/sidekickType,_copy/_mod/conditionImmune/items,_copy/_mod/conditionImmune/mode,_copy/_mod/_/spells/0/spells,_copy/_mod/_/spells/5/spells,_copy/_mod/spellcasting/items/footerEntries,_copy/_mod/spellcasting/items/headerEntries,_copy/_mod/_/spells/3,_copy/_mod/_/daily/1e,_copy/_mod/_/daily/3e,_copy/_mod/_/will,_copy/_mod/_/spells/4,_copy/_mod/_/spells/5,_copy/_mod/trait/items/type,_copy/_preserve/legendaryGroup,_copy/_preserve/hasFluff,_copy/_preserve/hasFluffImages,_copy/_preserve/page,_copy/_preserve/variant,_copy/_mod/spellcasting/items/ability,_copy/_mod/spellcasting/items/will,_copy/_preserve/environment,_copy/_mod/_/spells/2,_copy/_mod/spellcasting/items/spells/0/spells,_copy/_mod/reaction/items/entries,_copy/_mod/reaction/items/name,_copy/_mod/reaction/mode,_copy/_mod/trait/items/page,_copy/_mod/trait/items/source,_copy/_mod/variant,_copy/_mod/languages,_copy/_mod/languages/items,_copy/_mod/languages/mode,_copy/_mod/spellcasting,_copy/_mod/spellcasting/items,_copy,shortName,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,_copy/_mod/trait/items/entries,_copy/_mod/trait/items/name,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reactionHeader,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,legendaryHeader,mythic,mythicHeader,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden
Zendikar Dragon,Young Red Dragon,,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSZ,FALSE,,,,,,,
Young Amonkhet Dragon,Young Red Dragon,,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSA,FALSE,,,,,,,
Ignia,Young Red Dragon,i,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSotDQ,FALSE,,,,,,,
Grisdelfawr,Young Red Dragon,i,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QftIS,FALSE,,,,,,,
Venomfang,Young Green Dragon,i,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMoP,FALSE,,,,,,,
Vuuthramis,Young Bronze Dragon,i,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QftIS,FALSE,,,,,,,
Tower Dragon,Young Bronze Dragon,,,,,,,,,"[{""entries"":[""The dragon doesn't require air, food, drink, or sleep.""],""name"":""Constructed Nature""},{""entries"":[""While the dragon remains motionless, it is indistinguishable from an inanimate bronze statue.""],""name"":""False Appearance""},{""entries"":[""The creature(s) that caused the dragon to animate becomes its quarry. The dragon knows the direction and distance to its quarry as long the quarry remains within Drakkenheim or until the dragon is destroyed.""],""name"":""Faultless Tracker""},{""entries"":[""The dragon is immune to any spell or effect that would alter its form.""],""name"":""Immutable Form""},{""entries"":[""The dragon has advantage on saving throws against spells and other magical effects.""],""name"":""Magic Resistance""},{""entries"":[""The dragon's weapon attacks are magical.""],""name"":""Magic Weapons""},{""entries"":[""If the tower dragon is destroyed, it regains all its hit points in 1 hour unless a {@spell disintegrate} spell is cast on its remains.""],""name"":""Rejuvenation""}]",appendArr,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B, SD, U",,,,,,,,,,,,,"[""Amphibious"",""False Appearance"",""Immutable Form"",""Magic Resistance"",""Magic Weapons"",""Rejuvenation""]",,,,,,,,,,,,"L,P,S","[""dexterity"",""strength""]",,,,,,,,,"[""poison"",""psychic"",{""cond"":true,""note"":""from nonmagical attacks that aren't adamantine"",""resist"":[""bludgeoning"",""piercing"",""slashing""]}]",,,"[""charmed"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]",,,,,"AOE, MW, RCH",DoDk,FALSE,,,,,,,
Belephaion,Young Blue Dragon,i,,,,"[""Belephaion magically transforms into an {@creature eagle} or a {@creature priest}, while retaining his alignment, damage immunities, hit points, Hit Dice, and Intelligence, Wisdom, and Charisma scores. This transformation ends if he is reduced to 0 hit points or uses a bonus action to end it.""]",Alter Shape,appendArr,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSotDQ,FALSE,,,,,,,
Yeti Leader,Yeti,,,,"[{""items"":{""entries"":[""The yeti can use its Chilling Gaze and makes two greatsword attacks.""],""name"":""Multiattack""},""mode"":""replaceArr"",""replace"":""Multiattack""},{""items"":{""entries"":[""{@atk mw} {@hit 6} to hit, reach 5 ft., one target. {@h}11 ({@damage 2d6 + 4}) slashing damage plus 3 ({@damage 1d6}) cold damage.""],""name"":""Frost Brand Greatsword""},""mode"":""replaceArr"",""replace"":""Claw""}]",,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TftYP,FALSE,,,,,,,
Allowak Yeti,Yeti,,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,N,,,,,,,,16,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Common"",""Yeti""]","C,OTH",,,,EGW,FALSE,,,,,,,
Chief Kartha-Kaya,Yakfolk Warrior,i,,,"[{""items"":{""entries"":[""Chief Kartha makes two attacks, either with his flame tongue greatsword or his longbow.""],""name"":""Multiattack""},""mode"":""replaceArr"",""replace"":""Multiattack""},{""items"":{""entries"":[""{@atk mw} {@hit 6} to hit, reach 5 ft., one target. {@h}18 ({@damage 4d6 + 4}) slashing damage plus 7 ({@damage 2d6}) fire damage.""],""name"":""Flame Tongue Greatsword""},""mode"":""replaceArr"",""replace"":""Greatsword""}]",,,,,,,,SKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,4,,70,8d10 + 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"F,P,S",,,,,,,,,,,,,,,,,,,SKT,FALSE,,,,,,,
Big Xorn,Xorn,,,,,,,,,,,,MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,8,,103,9d10 + 54,,,,,L,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""entries"":[""The xorn makes three claw attacks and one bite attack.""],""name"":""Multiattack""},{""entries"":[""{@atk mw} {@hit 8} to hit, reach 5 ft., one target. {@h}22 ({@damage 5d6 + 5}) piercing damage.""],""name"":""Bite""},{""entries"":[""{@atk mw} {@hit 8} to hit, reach 10 ft., one target. {@h}9 ({@damage 1d8 + 5}) slashing damage.""],""name"":""Claw""}]",,,,,,,,,,,,,,,,,,,,,,,,"MW, RCH",WDMM,FALSE,,,,,,,
