name,isNamedCreature,isNpc,cr,ac,hp/average,hp/formula,alignment,type,type/tags,swarm,size,str,dex,con,int,wis,cha,save/cha,save/int,save/wis,save/con,save/dex,save/str,skill/arcana,skill/history,skill/insight,skill/perception,skill/performance,skill/stealth,skill/investigation,skill/acrobatics,skill/animal handling,skill/athletics,skill/deception,skill/intimidation,skill/medicine,skill/nature,skill/persuasion,skill/religion,skill/sleight of hand,skill/survival,initiative/advantageMode,passive,senseTags,speed/walk,speed/burrow/condition,speed/burrow,speed/climb/condition,speed/climb,speed/fly/condition,speed/fly,speed/swim/condition,speed/swim,_copy/_mod/trait/items/entries,_copy/_mod/trait/items/name,trait,traitTags,spellcasting,damageTagsSpell,spellcastingTags,conditionInflictSpell,savingThrowForcedSpell,action,actionTags,bonus,reaction,conditionInflict,damageTags,savingThrowForced,legendaryActions,legendary,damageTagsLegendary,savingThrowForcedLegendary,conditionInflictLegendary,mythic,resist,vulnerable,immune,conditionImmune,languages,languageTags,items,environment,miscTags,source,familiar,group,summonedBySpell,summonedBySpellLevel,summonedByClass,variant,reprinted,sidekickHidden
Giant Crab,,,1/8,15,13,3d8,U,beast,,,M,13,15,11,1,9,3,,,,,,,,,,,,4,,,,,,,,,,,,,,9,B,30,,,,,,,,30,,,TRUE,"[""Amphibious""]",,,,,,TRUE,,,FALSE,"[""grappled""]",B,,,FALSE,,,,FALSE,,,,,,,,coastal,MW,MM,FALSE,,,,,,TRUE,
Giant Rat,,,1/8,12,7,2d6,U,beast,,,S,7,15,11,2,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,30,,,,,,,,,,,TRUE,"[""Keen Senses"",""Pack Tactics""]",,,,,,TRUE,,,FALSE,,P,"[""constitution""]",,FALSE,,,,FALSE,,,,,,,,"underdark, forest, swamp, urban","DIS, MW",MM,FALSE,,,,,TRUE,TRUE,
Giant Weasel,,,1/8,13,9,2d8,U,beast,,,M,11,16,10,4,12,5,,,,,,,,,,3,,5,,,,,,,,,,,,,,13,D,40,,,,,,,,,,,TRUE,"[""Keen Senses""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,,,,"grassland, forest, hill",MW,MM,FALSE,,,,,,TRUE,
Knifewing,FALSE,,1/8,13,9,2d6 + 2,U,beast,,,S,6,15,13,2,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,10,B,30,,,,30,,30,,,,,TRUE,"[""Flyby""]",,,,,,TRUE,,,FALSE,,"P,S",,,FALSE,,,,FALSE,,,,,,,,,MW,GHLoE,FALSE,,,,,,,
Mastiff,,,1/8,12,5,1d8 + 1,U,beast,,,M,13,14,12,3,12,7,,,,,,,,,,3,,,,,,,,,,,,,,,,13,,40,,,,,,,,,,,TRUE,"[""Keen Senses""]",,,,,,TRUE,,,FALSE,"[""prone""]",P,"[""strength""]",,FALSE,,,,FALSE,,,,,,,,"forest, hill, urban",MW,MM,FALSE,,,,,,TRUE,
Mountain Goat,FALSE,FALSE,1/8,11,13,2d8 + 4,U,beast,,,M,14,12,14,2,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,10,,40,,,,30,,,,,,,TRUE,"[""Charge""]",,,,,,TRUE,,,FALSE,"[""prone""]",B,"[""strength""]",,FALSE,,,,FALSE,,,,,,,,,MW,IDRotF,FALSE,,,,,,,
Mule,,,1/8,10,11,2d8 + 2,U,beast,,,M,14,10,13,2,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,10,,40,,,,,,,,,,,TRUE,"[""Beast of Burden""]",,,,,,TRUE,,,FALSE,,B,,,FALSE,,,,FALSE,,,,,,,,"hill, urban, desert",MW,MM,FALSE,,,,,,TRUE,
Poisonous Snake,,,1/8,13,2,1d4,U,beast,,,T,2,16,11,1,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,10,B,30,,,,,,,,30,,,FALSE,,,,,,,TRUE,,,FALSE,,"I,P","[""constitution""]",,FALSE,,,,FALSE,,,,,,,,"grassland, forest, swamp, hill, desert, coastal",MW,MM,TRUE,,TRUE,1,"wizard, warlock",,TRUE,
Pony,,,1/8,10,11,2d8 + 2,U,beast,,,M,15,10,13,2,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,10,,40,,,,,,,,,,,FALSE,,,,,,,TRUE,,,FALSE,,B,,,FALSE,,,,FALSE,,,,,,,,urban,MW,MM,FALSE,,,,,,TRUE,
Stirge,,,1/8,14,2,1d4,U,beast,,,T,4,16,11,2,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,9,D,10,,,,,,40,,,,,FALSE,,,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,,,,"grassland, forest, swamp, hill, urban, desert, coastal, mountain, underdark",MW,MM,FALSE,,,,,,TRUE,
Wharfling,FALSE,,1/8,12,10,4d4,U,beast,,,T,4,14,10,2,12,8,,,,,,,,,,3,,,,,,,,,,,,,4,,,13,D,30,,,,10,,,,30,,,TRUE,"[""Amphibious""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,,,,"coastal, underwater",MW,ToB1-2023,FALSE,,,,,,,
Expeditious Messenger,FALSE,FALSE,1/8,13,7,2d4 + 2,N,construct,,,T,6,16,13,8,12,7,,,,,,,,,,,,5,,5,,,,,,,,,,,,11,D,25,,,,,,60,,,,,TRUE,"[""Flyby""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,"[""poison""]","[""exhaustion"",""poisoned""]","[""one language spoken by its creator""]",,,,MW,ERLW,FALSE,"[""Homunculi""]",,,,,,
Flying Rocking Horse,FALSE,FALSE,1/8,15,22,4d8 + 4,U,construct,,,M,10,10,13,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,B,0,,,,,mounted; hover,40,,,,,TRUE,"[""False Appearance"",""Unusual Nature""]",,,,,,TRUE,,,FALSE,,B,,,FALSE,,,,FALSE,,,"[""poison"",""psychic""]","[""blinded"",""charmed"",""deafened"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]",,,,,MW,WBtW,FALSE,,,,,,,
Monodrone,,,1/8,15,5,1d8 + 1,L N,construct,,,M,10,13,12,4,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,10,U,30,,,,,,30,,,,,TRUE,,,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Modron""]",OTH,"dagger, javelin",,"MLW,MW, RW, THW",MM,FALSE,"[""Modrons""]",,,,TRUE,TRUE,
Vox Seeker,FALSE,FALSE,1/8,14,7,2d4 + 2,U,construct,,,T,2,10,12,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,B,20,,,,20,,,,,,,TRUE,"[""Spider Climb""]",,,,,,TRUE,,,FALSE,,"L,P",,,FALSE,,,,FALSE,,,"[""poison"",""psychic""]","[""blinded"",""charmed"",""deafened"",""exhaustion"",""frightened"",""paralyzed"",""petrified"",""poisoned""]",,,,,MW,EGW,FALSE,,,,,,,
Khargra,FALSE,,1/8,20,11,2d6 + 4,N,elemental,,,S,13,10,14,5,11,6,,,,,,,,,,2,,2,,,,,,,,,,,,,,12,D,5,,,,,,30,,,,,TRUE,,,,,,,TRUE,,,TRUE,,"O,P",,,FALSE,,,,FALSE,,,,,"[""Terran""]",T,,,MW,MFF,FALSE,,,,,,,
Boggle,,,1/8,14,18,4d6 + 4,C N,fey,,,S,8,18,13,6,12,7,,,,,,,,,,3,,6,,,,,,,,,,,6,,,13,D,30,,,,30,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,"[""prone"",""restrained""]",B,"[""dexterity"",""strength""]",,FALSE,,,,FALSE,"[""fire""]",,,,"[""Sylvan""]",S,,"underdark, forest, hill, urban",MW,VGM,FALSE,,,,,,TRUE,
Boggle,FALSE,,1/8,14,18,4d6 + 4,C N,fey,,,S,8,18,13,6,12,7,,,,,,,,,,5,,6,,,,,,,,,,,6,,,15,D,30,,,,30,,,,,,,FALSE,,,,,,,TRUE,,"[{""entries"":[""The boggle excretes nonflammable oil from its pores, giving itself one of the following benefits of its choice until it uses this bonus action again:"",{""items"":[{""entries"":[""The boggle has advantage on Dexterity ({@skill Acrobatics}) checks made to escape bonds and end grapples, and it can move through openings large enough for a Tiny creature without squeezing.""],""name"":""Slippery Oil"",""type"":""item""},{""entries"":[""The boggle has advantage on Strength ({@skill Athletics}) checks made to grapple and any ability check made to maintain a hold on another creature, a surface, or an object. The boggle can also climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.""],""name"":""Sticky Oil"",""type"":""item""}],""style"":""list-hang-notitle"",""type"":""list""}],""name"":""Boggle Oil""},{""entries"":[""The boggle creates an {@condition invisible} and immobile rift within an opening or frame it can see within 5 feet of it, provided that the space is no bigger than 10 feet on any side. The dimensional rift bridges the distance between that space and a point within 30 feet of it that the boggle can see or specify by distance and direction (such as \""30 feet straight up\""). While next to the rift, the boggle can see through it and is considered to be next to the destination as well, and anything the boggle puts through the rift (including a portion of its body) emerges at the destination. Only the boggle can use the rift, and it lasts until the end of the boggle's next turn.""],""name"":""Dimensional Rift""}]",FALSE,"[""prone"",""restrained""]",B,"[""dexterity"",""strength""]",,FALSE,,,,FALSE,"[""fire""]",,,,"[""Sylvan""]",S,,"forest, hill, underdark, urban",MW,MPMM,FALSE,,,,,,,
Brigganock,FALSE,FALSE,1/8,12,9,2d4 + 4,N G,fey,,,T,4,15,14,10,11,13,,,,4,4,,,,,,,,,,,,,,,,,,,,,10,,15,,,,,,,,,,,TRUE,"[""Fey Ancestry"",""Tunneler""]","[{""ability"":""cha"",""daily"":{""1e"":[""{@spell animal friendship}"",""{@spell faerie fire}"",""{@spell meld into stone}"",""{@spell silence}""]},""displayAs"":""action"",""headerEntries"":[""The brigganock casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save {@dc 11}):""],""name"":""Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell minor illusion}"",""{@spell spare the dying}""]}]",B,O,"[""charmed"",""deafened"",""prone""]","[""dexterity"",""wisdom""]",TRUE,,"[{""entries"":[""The brigganock moves its soul light up to 30 feet in any direction to an unoccupied space it can see. At the end of the current turn, the light returns to the brigganock.""],""name"":""Move Soul Light""}]",FALSE,,P,,,FALSE,,,,FALSE,,,,"[""exhaustion""]","[""Common"",""Sylvan""]","C,S",,,"AOE, MW",WBtW,FALSE,,,,,,,
Cikavak,FALSE,,1/8,12,17,7d4,N,fey,,,T,4,15,10,12,12,4,,,,,,,,,,5,,6,,,,,,,,,,,,,,15,D,10,,,,,,40,,,,,TRUE,,,,,,,TRUE,,,FALSE,"[""deafened""]",P,"[""constitution""]",,FALSE,,,,FALSE,"[""acid"",""fire"",""poison""]",,,,"[""understands Common but can't speak""]","C,CS",,"farmland, forest","AOE, MW",ToB1-2023,FALSE,,,,,,,
Valenar Hawk,FALSE,FALSE,1/8,14,10,4d4,N,fey,,,T,8,18,10,9,16,11,,,,,,,,,,5,,,,,,,,,,,,,,,,15,,10,,,,,,60,,,,,TRUE,"[""Keen Senses""]",,,,,,TRUE,,,FALSE,,S,,,FALSE,,,,FALSE,,,,,"[""understands Common"",""Elvish"",""and Sylvan but can't speak""]","C,CS,E,S",,,MW,ERLW,FALSE,,,,,,,
Manes,,,1/8,9,9,2d6 + 2,C E,fiend,demon,,S,10,9,13,3,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,9,D,20,,,,,,,,,,,FALSE,,,,,,,TRUE,,,FALSE,,S,,,FALSE,,,,FALSE,"[""cold"",""fire"",""lightning""]",,"[""poison""]","[""charmed"",""frightened"",""poisoned""]","[""understands Abyssal but can't speak""]","AB,CS",,,MW,MM,FALSE,,,,,,TRUE,
Aarakocra Simulacrum,FALSE,FALSE,1/8,12,6,3d4,N G,humanoid,aarakocra,,M,10,14,10,11,12,11,,,,,,,,,,5,,,,,,,,,,,,,,,,15,,20,,,,,,50,,,,,TRUE,,,,,,,TRUE,,,FALSE,,"P,S",,,FALSE,,,,FALSE,,,,,"[""Auran"",""Aarakocra""]","AU,OTH",javelin,,"MLW,MW, RW, THW",SKT,FALSE,,,,,,,
Bandit,,,1/8,12,11,2d8 + 2,NX C G NY E,humanoid,any,,M,11,12,12,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,,30,,,,,,,,,,,FALSE,,,,,,,TRUE,,,FALSE,,"P,S",,,FALSE,,,,FALSE,,,,,"[""any one language (usually Common)""]","C,X","light crossbow, scimitar","coastal, hill, arctic, urban, forest, desert","MLW,MW, RNG, RW",MM,FALSE,,,,,,TRUE,
Beast Gnoll,FALSE,,1/8,11,9,2d8,C E,humanoid,gnoll,,M,13,12,11,6,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,30,,,,,,,,,,,TRUE,"[""Rampage""]",,,,,,TRUE,,,FALSE,,"P,S",,,FALSE,,,,FALSE,,,,,gnoll,OTH,,,"MW, RW",GHLoE,FALSE,,,,,,,
Clown,FALSE,FALSE,1/8,13,11,2d8 + 2,A,humanoid,any,,M,13,12,12,10,11,10,,,,,,,,,,2,,,,,,,,,,,,,,,,12,,30,,,,,,,,,,,FALSE,,,,,,,TRUE,,,FALSE,,B,,,FALSE,,,,FALSE,,,,,"[""Common""]",C,,,"MLW,MW",NRH-CoI,FALSE,,,,,,,
Crystal Cave Merfolk,FALSE,FALSE,1/8,11,11,,N,humanoid,merfolk,,M,10,13,12,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10,,,,,,,,40,,,TRUE,"[""Amphibious""]",,,,,,TRUE,,,FALSE,,P,"[""wisdom""]",,FALSE,,,,FALSE,,,,,,,,,MW,AWM,FALSE,,,,,,,
Cultist,,,1/8,12,9,2d8,L NX C NY E,humanoid,any,,M,11,12,10,10,11,10,,,,,,,,,,,,,,,,,2,,,,,2,,,,10,,30,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,S,,,FALSE,,,,FALSE,,,,,"[""any one language (usually Common)""]","C,X",scimitar,urban,"MLW,MW",MM,FALSE,,,,,,TRUE,
Faerl,TRUE,TRUE,1/8,15,9,2d8,N E,humanoid,Elf,,M,11,12,11,12,14,16,,,,,,,,,4,,,,,,,,5,,,,5,,,,,12,,30,,,,,,,,,,,TRUE,"[""Fey Ancestry""]",,,,,,TRUE,"[""Parry""]",,TRUE,,P,,,FALSE,,,,FALSE,,,,,"[""Common"",""Elvish""]",C E,rapier,,"MLW,MW",CM,FALSE,,,,,,,
Goon,,,1/8,12,9,2d8,A,humanoid,any,,M,11,12,10,10,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,10,,30,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,S,,,FALSE,,,,FALSE,,,,,"[""Common""]",C,scimitar,,"MLW,MW",NRH-ASS,FALSE,,,,,,,
Guard,,,1/8,16,11,2d8 + 2,A,humanoid,any,,M,13,12,12,10,11,10,,,,,,,,,,2,,,,,,,,,,,,,,,,12,,30,,,,,,,,,,,FALSE,,,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""any one language (usually Common)""]","C,X",spear,"coastal, mountain, grassland, hill, urban, forest, desert","MLW,MW, RW, THW",MM,FALSE,,,,,,TRUE,
Guardian of Gorm,FALSE,FALSE,1/8,16,9,2d8,L G,humanoid,,,M,15,10,10,10,13,12,,,,,,,,,3,,,,,,,4,,,,,,2,,,,11,,30,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,"L,P,S",,,FALSE,,,,FALSE,,,,,"[""Common""]",C,handaxe,,"MLW,MW, RW, THW",QftIS,FALSE,,,,,,,
Hadozee Shipmate,,,1/8,12,9,2d8,A,humanoid,,,M,11,14,11,10,14,12,,,,2,4,,,,,4,,,,,,,,,,,,,,6,,14,,30,,,,30,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,,P,,,FALSE,,,,FALSE,,,,,"[""Common"",""Hadozee""]",C,dagger,,"MLW,MW, RW, THW",BAM,FALSE,,,,,,,
Harengon Brigand,FALSE,FALSE,1/8,14,9,2d8,A,humanoid,,,M,14,17,11,10,11,10,,,,,5,,,,,4,,,,5,,,,,,,,,,,,14,,30,,,,,,,,,,,TRUE,"[""Pack Tactics""]",,,,,,TRUE,,,FALSE,,B,,,FALSE,,,,FALSE,,,,,"[""Common"",""Sylvan""]","C,S","club, sling",,"MLW,MW, RNG, RW",WBtW,FALSE,,,,,,,
Howling Hatred Initiate,FALSE,FALSE,1/8,13,9,2d8,N E,humanoid,Human,,M,10,15,10,10,9,11,,,,,,,,,,,,4,,,,,2,,,,,2,,,,9,,30,,,,,,,,,,,TRUE,"[""Hold Breath""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Common""]",C,dagger,,"MLW,MW, RW, THW",PotA,FALSE,,,,,,,
Icewind Kobold,FALSE,FALSE,1/8,14,9,2d6 + 2,A,humanoid,kobold,,S,7,15,12,8,8,8,,,,3,4,,,,,1,,4,,,,,,,,,,,,1,,11,D,30,,,,20,,,,,,,TRUE,"[""Pack Tactics"",""Sunlight Sensitivity""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Common"",""Draconic""]","C,DR","dagger, javelin",,"MLW,MW, RW, THW",IDRotF,FALSE,,,,,,,
Jermlaine,FALSE,,1/8,11,3,1d4 + 1,N E,humanoid,jermlaine,,T,4,12,13,10,11,7,,,,,,,,,,,,5,,,,,,,,,,,,,,10,D,30,,,,,,,,,,,TRUE,"[""Magic Resistance""]",,,,,,TRUE,,,FALSE,,"B, P",,,FALSE,,,,FALSE,,,,,"[""Undercommon""]",U,"club, dart",,"MLW,MW, RW, THW",MFF,FALSE,,,,,,,
Kobold,,,1/8,12,5,2d6 - 2,L E,humanoid,kobold,,S,7,15,9,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,8,D,30,,,,,,,,,,,TRUE,"[""Pack Tactics"",""Sunlight Sensitivity""]",,,,,,TRUE,,,FALSE,,"B, P",,,FALSE,,,,FALSE,,,,,"[""Common"",""Draconic""]","C,DR","dagger, sling","forest, swamp, hill, urban, desert, coastal, arctic, mountain, underdark","MLW,MW, RNG, RW",MM,FALSE,,,,,,TRUE,
Kobold Underling,FALSE,FALSE,1/8,13,7,3d6 - 3,L E,humanoid,kobold,,S,7,16,9,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,9,D,30,,,,,,,,,,,TRUE,"[""Pack Tactics"",""Sunlight Sensitivity""]",,,,,,TRUE,,,FALSE,,"B, P","[""dexterity""]",,FALSE,,,,FALSE,,,,,"[""Common"",""Draconic""]","C,DR","hand crossbow, shortsword",,"MLW,MW, RNG, RW",EGW,FALSE,,,,,,,
Mage of Usamigaras,FALSE,FALSE,1/8,11,9,2d8,C N,humanoid,,,M,10,12,10,15,10,13,,,,,,,4,,,,,,,,,,5,,,,,,3,,,10,,30,,,,,,,,,,,FALSE,,"[{""ability"":""int"",""daily"":{""1e"":[""{@spell Charm Person}"",""{@spell Disguise Self}"",""{@spell Silent Image}""]},""displayAs"":""action"",""headerEntries"":[""The mage casts one of the following spells, using Intelligence as the spellcasting ability (spell save {@dc 12}):""],""name"":""Spellcasting"",""type"":""spellcasting"",""will"":[""{@spell Light}"",""{@spell Mage Hand}"",""{@spell Minor Illusion}""]}]",,O,"[""charmed""]","[""dexterity"",""wisdom""]",TRUE,,,FALSE,,O,,,FALSE,,,,FALSE,,,,,"[""Common""]",C,,,,QftIS,FALSE,,,,,,,
Merfolk,,,1/8,11,11,2d8 + 2,N,humanoid,merfolk,,M,10,13,12,11,11,12,,,,,,,,,,2,,,,,,,,,,,,,,,,12,,10,,,,,,,,40,,,TRUE,"[""Amphibious""]",,,,,,TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Aquan"",""Common""]","AQ,C",spear,"underwater, coastal","MLW,MW, RW, THW",MM,FALSE,,,,,,TRUE,
Morbus Kobold,FALSE,,1/8,12,9,2d6 + 2,L E,humanoid,kobold,,S,6,14,13,10,9,8,,,,3,,,,,,,,4,,,,,,,1,,,,,,,9,D,30,,,,,,,,30,,,TRUE,"[""Pack Tactics"",""Sunlight Sensitivity""]",,,,,,TRUE,,,FALSE,,"B, P",,,FALSE,,,,FALSE,"[""poison""]",,,,"[""Draconic and one other language""]","DR,X","dagger, sling",,"AOE, DIS, MLW,MW, RW, THW",GHLoE,FALSE,,,,,,,
Mwaxanaré,TRUE,TRUE,1/8,10,13,3d8,L N,humanoid,Human,,M,6,10,11,13,12,16,,,,,,,,,,,,,,,,,5,,,3,5,3,,,,11,,30,,,,,,,,,,,FALSE,,"[{""ability"":""cha"",""headerEntries"":[""Mwaxanaré is a 2nd-level spellcaster. Her spellcasting ability is Charisma (spell save {@dc 13}, {@hit 5} to hit with spell attacks). She regains her expended spell slots when she finishes a short or long rest. She knows the following warlock spells:""],""name"":""Spellcasting"",""spells"":{""0"":{""spells"":[""{@spell eldritch blast}"",""{@spell mage hand}""]},""1"":{""lower"":1,""slots"":2,""spells"":[""{@spell charm person}"",""{@spell protection from evil and good}"",""{@spell unseen servant}""]}},""type"":""spellcasting""}]",O,CL,,"[""wisdom""]",TRUE,,,FALSE,,P,,,FALSE,,,,FALSE,,,,,"[""Auran"",""Common"",""telepathy 30 ft.""]","AU,C,TP",dagger,,"MLW,MW, RW, THW",ToA,FALSE,,,,,,,
Noble,,,1/8,15,9,2d8,A,humanoid,any,,M,11,12,11,12,14,16,,,,,,,,,4,,,,,,,,5,,,,5,,,,,12,,30,,,,,,,,,,,FALSE,,,,,,,TRUE,"[""Parry""]",,TRUE,,P,,,FALSE,,,,FALSE,,,,,"[""any two languages""]",X,rapier,urban,"MLW,MW",MM,FALSE,,,,,,TRUE,
Orond Gralhund,TRUE,TRUE,1/8,15,9,2d8,L E,humanoid,Human,,M,11,12,11,9,14,16,,,,,,,,,4,,,,,,,,5,,,,5,,,,,12,,30,,,,,,,,,,,FALSE,,,,,,,TRUE,"[""Parry""]",,TRUE,,P,,,FALSE,,,,FALSE,,,,,"[""Common""]",C,rapier,,"MLW,MW",WDH,FALSE,,,,,,,
Ott Steeltoes,TRUE,TRUE,1/8,12,9,2d8,C E,humanoid,dwarf,,M,11,12,10,6,11,10,,,,,,,,,,,,,,,,,2,,,,,0,,,,10,D,25,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,S,,,FALSE,,,,FALSE,"[""poison""]",,,,"[""Common"",""Dwarvish""]","C,D",scimitar,,"MLW,MW",WDH,FALSE,,,,,,,
